Date,Revenue,Consensus Estimate,Comparable Actual,GAAP Actual,Adjusted Actual,Earnings Per Share,EPS Surprise %,EBIT,EBITDA,Gross Margin %,Pretax Income (Loss),Net Income,Source: Bloomberg
03/31/1995,,,10.841,10.841,10.841,,,,,,,,
06/30/1995,,,9.812,8.43,8.43,,,,,,,,
09/30/1995,,,6.469,6.469,6.469,,,,,,,,
12/31/1995,,,0.0,7.985,7.985,,,,,,,,
03/31/1996,,,7.696,7.696,7.696,,,,,,,,
06/30/1996,,,8.256,8.256,8.256,,,,,,,,
09/30/1996,,,8.009,8.009,8.009,,,,,,,,
12/31/1996,,,0.0,8.764,8.764,,,,,,,,
03/31/1997,,,9.589,9.589,9.589,,,,,,,,
06/30/1997,,,9.32,9.32,9.32,,,,,,,,
09/30/1997,,,8.836,8.836,8.836,,,,,,,,
12/31/1997,,,0.0,9.518,9.518,,,,,,,,
03/31/1998,,,17.978001,17.506001,17.506001,,,,,,,,
06/30/1998,,,19.57,16.84,16.84,,,,,,,,
09/30/1998,,,18.558001,18.558001,18.558001,,,,,,,,
12/31/1998,,,0.0,20.947001,20.947001,,,,,,,,
03/31/1999,,,12.389,19.798,19.798,,,,,,,,
06/30/1999,,,13.213,22.42,22.42,,,,,,,,
09/30/1999,,,12.519,17.811,17.811,,,,,,,,
12/31/1999,,,17.5595,-23.406,-23.406,,,,,,,,
03/31/2000,,,14.446,16.41,16.41,,,,,,,,
06/30/2000,,,6.031,8.023,8.023,,,,,,,,
09/30/2000,,,10.984,-3.529,-3.529,,25.0,,,,,,
12/31/2000,,,9.865,4.489,4.489,,-2.54237288135592,,,,,,
03/31/2001,,,8.821,10.361,10.361,,-20.4545454545455,,,,,,
06/30/2001,,,7.381,7.961,7.961,,-15.0,,,,,,
09/30/2001,,,2.85,6.393,6.393,,-50.0,,,,,,
12/31/2001,,,2.497,37.063999,37.063999,,20.0,,,,,,
03/31/2002,,,2.629,-59.438999,-59.438999,,20.0,,,,,,
06/30/2002,,,4.764,4.821,4.821,,3.77358490566038,,,,,,
09/30/2002,,,3.842,3.89,3.89,,-33.8235294117647,,,,,,
12/31/2002,,,5.51378,5.248999,5.248999,,8.33333333333334,,,,,,
03/31/2003,,,5.566,5.683,5.683,,8.33333333333334,,,,,,
06/30/2003,,,6.884,5.526,5.526,,17.6470588235294,,,,,,
09/30/2003,,,5.55,5.603,5.603,,-18.75,,,,,,
12/31/2003,,,6.909,5.891,5.891,,7.14285714285713,,,,,,
03/31/2004,,,4.807,4.807,4.807,,-21.4285714285714,,,,,,
06/30/2004,,,8.963,8.963,8.963,,25.0,,,,,,
09/30/2004,,,9.428,9.428,9.428,,3.09278350515464,,,,,,
12/31/2004,,,8.898,9.247,9.247,,-20.8333333333333,,,,,,
03/31/2005,,,13.007,9.248,9.248,,40.0,,,,,,
06/30/2005,,,15.151,15.151,15.151,,18.5185185185185,,,,,,
09/30/2005,,,15.351,15.076,15.076,,1.26582278481013,,,,,,
03/31/2018,,141.5,,,,,,,,,,,
06/30/2018,,169.571,,,,,,,,,,,
