Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
12/31/1990,103.699989,,,,,,,,,,,,,3.3,,,3.3,,,,,0.066667,0.066667,0.0,0.066667,0.066667,0.066667,0.0,
03/31/1991,101.897995,,,,,,,,,,,,,3.532,,,3.532,,,,,0.073333,0.073333,0.0,0.073333,0.073333,0.073333,0.0,
06/30/1991,107.604996,,,,,,,,,,,,,4.651,,,4.651,,,,,0.096667,0.096667,0.0,0.096667,0.096667,0.096667,0.0,
09/30/1991,124.577003,,,,,,,,,,,,,4.943,,,4.943,,,,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,
12/31/1991,103.220001,,,,,,,,,,,,,4.774,,,4.774,,,,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,
03/31/1992,118.137993,-95.880997,22.256996,-10.099,12.158,-3.746,0.0,0.089,8.501,-2.975,5.526,0.0,0.0,5.526,0.0,,5.526,,,5.526,,0.113333,0.113333,48.761999,0.113333,0.113333,0.113333,48.761999,
06/30/1992,122.363991,-97.428001,24.935989,-11.019,13.917,-3.336,0.0,0.047,10.628,-3.932,6.696,0.0,0.0,6.696,0.0,,6.696,,,6.696,,0.136667,0.136667,48.761999,0.136667,0.136667,0.136667,48.761999,
09/30/1992,126.589989,-101.224998,25.36499,-11.218,14.147,-3.053,0.0,0.039,11.133,-4.118,7.015,0.0,0.0,7.014999,0.0,,7.014999,,,7.015,,0.143333,0.143333,48.761999,0.143333,0.143333,0.143333,48.761999,
12/31/1992,130.051987,-104.757004,25.294983,-10.343,14.952,-2.801,0.0,0.04,12.191,-4.887,7.304,0.0,0.0,7.303999,0.0,,7.303999,,,7.303999,,0.15,0.15,48.761999,0.15,0.15,0.15,48.761999,
03/31/1993,132.175995,-106.634003,25.541992,-10.826,14.716,-2.737,0.0,,11.979,-4.312,7.667,1.43,0.0,9.097,0.0,,9.097,,,7.667,,0.16,0.186667,48.811501,0.16,0.16,0.186667,48.811501,
06/30/1993,139.195007,-111.611,27.584007,-11.548,16.035999,-2.414,0.0,,13.621999,-4.904,8.718,0.0,0.0,8.718,0.0,,8.718,,,8.717999,,0.173333,0.173333,50.031,0.173333,0.173333,0.173333,50.031,
09/30/1993,143.244995,-115.906998,27.337997,-11.698,15.64,-2.344,0.0,,13.296,-4.783,8.513,0.0,0.0,8.513,0.0,,8.513,,,8.513,,0.173333,0.173333,49.912502,0.173333,0.173333,0.173333,49.912502,
12/31/1993,144.727997,-116.568001,28.159996,-12.242,15.918,-2.109,0.0,0.114,13.923,-4.752,9.171,0.0,0.0,9.171,0.0,,9.171,,,9.171,,0.186667,0.186667,51.135,0.186667,0.186667,0.186667,51.135,
03/31/1994,150.326996,-121.165001,29.161995,-12.805,16.357,-2.081,0.0,,14.276,-4.64,9.636,0.0,0.0,9.636,0.0,,9.636,,,9.636,,0.193333,0.193333,50.317497,0.193333,0.193333,0.193333,50.317497,
06/30/1994,151.666,-121.035004,30.630997,-12.586,18.045,-2.534,0.0,,15.511,-5.041,10.47,0.0,0.0,10.47,0.0,,10.47,,,10.47,,0.206667,0.206667,50.201998,0.206667,0.206667,0.206667,50.201998,
09/30/1994,155.507996,-124.324997,31.182999,-13.079,18.104,-2.049,0.0,,16.055,-5.218,10.837,0.0,0.0,10.837,0.0,,10.837,,,10.837,,0.213333,0.213333,50.065498,0.213333,0.213333,0.213333,50.065498,
12/31/1994,157.602005,-126.464996,31.137009,-12.71,18.427,-2.479,0.0,0.481,16.429,-5.339,11.09,0.0,0.0,11.09,0.0,,11.09,,,11.09,,0.22,0.22,49.658998,0.22,0.22,0.22,49.658998,
03/31/1995,171.335007,-138.026001,33.309006,-13.432,19.877001,-2.507,0.0,,17.370001,-5.385,11.985,0.0,0.0,11.985,0.0,,11.985,,,11.985001,,0.24,0.24,49.590002,0.24,0.24,0.24,49.590002,
06/30/1995,176.886002,-143.272003,33.613998,-13.565,20.049,-2.265,0.0,,17.784,-5.335,12.449,0.0,0.0,12.449,0.0,,12.449,,,12.449,,0.253333,0.253333,49.1355,0.253333,0.253333,0.253333,49.1355,
09/30/1995,181.824997,-146.776001,35.048996,-14.359,20.690001,-2.457,0.0,0.104,18.337001,-5.501,12.836,0.0,0.0,12.836,0.0,,12.836,,,12.836001,,0.266667,0.266667,48.6555,0.266667,0.266667,0.266667,48.6555,
12/31/1995,183.423004,-147.388,36.035004,-15.057,20.978001,-3.43,0.0,1.251,18.799001,-5.466,13.333,0.0,0.0,13.333,0.0,,13.333,,,13.333001,,0.273333,0.273333,48.477001,0.273333,0.273333,0.273333,48.477001,
