Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Capital Expenditures,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,15.517,139.606003,6.235,2.641,163.998993,,,,,,
06/30/1990,,58.484001,72.961998,-2.913,-18.117001,110.416,,,,,,
09/30/1990,,16.007,129.781006,-180.108994,-4.094,-38.415001,,,,,,
12/31/1990,,-22.959999,142.580002,-27.541,0.522,92.600998,,,,92.600998,,
03/31/1991,,18.341999,145.438995,-17.636999,8.357,154.501007,,,,,,
06/30/1991,,29.177,115.807999,6.044,-3.524,147.505005,,,,,,
09/30/1991,,36.976002,109.717003,-50.818001,-31.811001,64.064003,,,,,,
12/31/1991,,-3.053,228.057007,-19.733999,-59.639999,145.630005,,,,145.630005,,
03/31/1992,,67.569,111.541,22.334,720.408997,921.853027,,,,,,
06/30/1992,,62.599998,87.462997,903.117981,-757.640015,295.540985,,,,,,
09/30/1992,,71.322998,103.429001,-792.669006,791.221008,173.304001,,,,,,
12/31/1992,,6.164,94.556,-579.69397,117.43,-361.544006,,,,-361.544006,,
03/31/1993,,92.302002,77.828003,602.71698,-14.285,758.562012,,,,,,
06/30/1993,,104.209999,68.318001,31.343,9.827,213.697998,,,,,,
09/30/1993,,111.143997,58.522999,52.618999,-8.167,214.119003,,,,,,
12/31/1993,,113.337997,53.192001,-48.096001,6.586,125.019997,,,,125.019997,,
03/31/1994,,117.961998,52.965,23.742001,-13.39,181.279007,,,,,,
06/30/1994,,121.208,44.936001,5.205,8.32,179.669006,,,,,,
09/30/1994,,123.444,21.646999,42.240002,5.642,192.973007,,,,,,
12/31/1994,,125.357002,47.257,-50.07,-336.872009,-214.328003,,,,-214.328003,,
03/31/1995,,128.699005,72.153999,-82.028,10.437,129.261993,,-28.726999,,,,
06/30/1995,,132.177002,87.115997,-113.635002,-418.319,-312.661011,,-40.814999,,,,
09/30/1995,,134.087997,96.875,27.176001,-1136.530029,-878.390991,,-40.57,,,,
12/31/1995,,138.337006,101.053001,-116.400002,984.461975,1107.452026,-76.712997,-76.712997,,1030.739029,,
03/31/1996,,148.199005,105.961998,-189.764008,-20.513,43.883999,,-40.375,,,,
06/30/1996,,139.531006,105.513,98.456001,-124.709999,218.789993,,-33.541,,,,
09/30/1996,,126.949997,101.829002,-5.044,29.561001,253.296005,,-66.332001,,,,
12/31/1996,,149.811005,92.324997,-95.749001,-11.957,134.429993,,-58.837002,,,,
03/31/1997,,145.649994,93.560997,-255.406006,60.867001,44.672001,,-70.442001,,,,
06/30/1997,,157.028,151.591003,-255.082993,-4.682,48.854,,-348.494995,,,,
09/30/1997,,122.612,161.156006,204.153,187.526993,675.447998,,-403.096008,,,,
