Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Capital Expenditures,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,-79,399,110.0,465.0,-1053.0,,,,,,
06/30/1990,-298,207,61.0,2719.0,-3285.0,,,,,,
09/30/1990,491,208,34.0,-2601.0,2850.0,,,,,,
12/31/1990,-463,191,107.0,705.0,-1466.0,,,,-463.0,,
03/31/1991,-824,273,48.0,-1706.0,561.0,,,,,,
06/30/1991,1079,231,33.0,1694.0,-879.0,,,,,,
09/30/1991,-3158,373,37.0,-2753.0,-815.0,,,,,,
12/31/1991,-499,269,167.0,-1073.0,138.0,,,,-499.0,,
03/31/1992,3062,716,64.0,2058.0,224.0,,,,,,
06/30/1992,-1764,325,81.0,153.0,-2323.0,,,,,,
09/30/1992,-1255,320,118.0,-1142.0,-551.0,,,,,,
12/31/1992,925,221,33.0,-917.0,1588.0,,,,925.0,,
03/31/1993,-2625,295,69.0,-2222.0,-767.0,,,,,,
06/30/1993,-3414,431,56.0,155.0,-4056.0,,,,,,
09/30/1993,78,468,79.0,-75.0,-394.0,,,,,,
12/31/1993,-5587,392,54.0,1868.0,-7901.0,,,,-5587.0,,
03/31/1994,-4332,345,-142.0,-91.0,-4444.0,,,,,,
06/30/1994,-2582,350,409.0,-2213.0,-1128.0,,,,,,
09/30/1994,2369,327,58.0,2205.0,-221.0,,,,,,
12/31/1994,769,193,46.0,-23.0,553.0,,,,769.0,,
03/31/1995,-2188,255,80.0,-9.0,-2514.0,,-53.0,,,,
06/30/1995,-1438,315,86.0,-33.0,-1806.0,,-52.0,,,,
09/30/1995,870,360,124.0,22.0,364.0,,-55.0,,,,
12/31/1995,578,366,275.0,-1.0,-62.0,-77.0,-77.0,,501.0,,
03/31/1996,1070,439,268.0,-434.0,797.0,,-42.0,,,,
06/30/1996,-4680,440,133.0,473.0,-5726.0,,-30.0,,,,
09/30/1996,109,276,196.0,-4368.0,4005.0,,-11.0,,,,
12/31/1996,-10128,419,458.0,-2325.0,-8680.0,-100.0,-100.0,,-10228.0,,
03/31/1997,-987,424,155.0,2656.0,-4222.0,,-29.0,,,,
06/30/1997,-7536,374,267.0,6584.0,-14761.0,,-43.0,,,,
09/30/1997,715,396,279.0,-4253.0,4293.0,,-41.0,,,,
12/31/1997,-3190,271,,,,-25.0,-25.0,,-3215.0,,
03/31/1998,3222,237,150.0,-1288.0,4123.0,,-63.0,,,,
06/30/1998,-2577,481,323.0,-1335.0,-2046.0,,-50.0,,,,
09/30/1998,6476,156,446.0,845.0,5029.0,,-98.0,,,,
12/31/1998,9448,89,,-665.0,10024.0,,-36.0,,,,
03/31/1999,-6017,600,452.0,-1173.0,-5896.0,,-97.0,,,,
06/30/1999,-2890,504,390.0,-1218.0,-2566.0,,-62.0,,,,
09/30/1999,10299,442,376.0,-209.0,9690.0,,-68.0,,,,
12/31/1999,-6128,509,115.0,-4857.0,-1895.0,,-87.0,,,,
03/31/2000,-804,628,608.0,-246.0,-1794.0,,-53.0,,,,
06/30/2000,2422,542,139.0,258.0,1483.0,,-94.0,,,,
09/30/2000,800,514,135.0,561.0,-410.0,,-34.0,,,,
