Date,Revenue,Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,Real Estate Tax,Other Property Expense,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,Impairment of Assets,Disposal of Con Assets,Disposal of Uncon Assets,Disposal of Assets from Disc Ops,Income Taxes,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Stock-Based Compensation,Recurring Capital Expenditure,Accounting Adjustments,Tenant Improv & Leasing Com,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/1994,25.533001,20.334,,4.091,0.0,1.108,-13.721,9.262,,,0.44,4.019,0.0,,0.0,11.812,-4.05,4.231,,-0.181,7.762,0.0,,,,0.0,,,7.762,,5.599,0.0,,5.599,5.599,,32.091999,0.175,0.175,0.175,32.091999,0.175,0.175,0.175,,,,,,,,,,11.228,,11.228,,,,,,11.228,0.349869,0.349869,0.225,64.30976,64.30976,64.312437,
06/30/1994,26.327,21.509001,,4.265,0.0,0.553,-14.017,9.416,,,0.482,4.119,0.0,,0.0,12.31,-4.538,4.492,,0.046,7.772,0.0,,,,0.0,,,7.772,,5.821,0.0,,5.821,5.821,,32.091999,0.18,0.18,0.18,32.091999,0.18,0.18,0.18,,,,,,,,,,11.661,,11.661,,,,,,11.661,0.363362,0.363362,0.225,61.921786,61.921786,61.924364,
09/30/1994,28.240999,22.558001,,4.663,0.0,1.02,-15.472,10.207,,,0.692,4.573,0.0,,0.0,12.769,-3.1,5.163,,-2.063,9.669,0.0,,,,0.0,,,9.669,,7.685,0.0,,7.685,7.685,,32.243999,0.24,0.24,0.24,32.243999,0.24,0.24,0.24,,,,,,,,,,11.735,,11.735,,,,,,11.735,0.363944,0.363944,0.235,64.570431,64.570431,78.28718,
12/31/1994,28.785999,23.841999,,4.172,0.0,0.772,-14.899,9.043,,,0.531,5.325,0.0,,0.0,13.887,-5.034,5.034,,0.0,8.853,0.0,,,,0.0,,,8.853,,7.111,0.0,,7.111,7.111,,40.608002,0.175,0.175,0.175,40.608002,0.175,0.175,0.175,,,,,,,,,,14.735,,14.735,,,,,,14.735,0.36286,0.36286,0.235,64.763357,64.763357,65.042415,
03/31/1995,29.860001,24.929001,,3.631,0.0,1.3,-15.648,9.529,,,0.527,5.592,0.0,,0.0,14.212,-5.145,5.145,,0.0,9.067,0.0,,,,0.0,,,9.067,,7.416,0.0,,7.416,7.416,,40.784,0.18,0.18,0.18,40.784,0.18,0.18,0.18,,,,,,,,,,11.848,,11.848,,,,,,11.848,0.290506,0.290506,0.235,80.893319,80.893319,80.891289,
06/30/1995,31.441,26.580999,,4.08,0.0,0.78,-16.09,10.137,,,0.442,5.511,0.0,,0.0,15.351,-4.908,4.908,,0.0,10.443,0.0,,,,0.0,,,10.443,,8.29,0.0,,8.29,8.29,,43.958,0.19,0.19,0.19,43.958,0.19,0.19,0.19,,,,,,,,,,13.109,,13.109,,,,,,13.109,0.298216,0.298216,0.235,78.801814,78.801814,86.528341,
09/30/1995,34.645,28.812,,4.786,0.0,1.047,-18.124,11.366,,,0.461,6.297,0.0,,0.0,16.521,-4.87,4.87,,0.0,11.651,0.0,,,,0.0,,,11.651,,9.306,0.0,,9.306,9.306,,48.271999,0.195,0.195,0.195,48.271999,0.195,0.195,0.195,,,,,,,,,,14.888,,14.888,,,,,,14.888,0.308419,0.308419,0.245,79.437402,79.437402,79.439818,
12/31/1995,37.372002,32.609001,,4.223,0.0,0.54,-19.855,12.179,,,0.739,6.937,0.0,,0.0,17.517,-6.218,6.501,,-0.283,11.299,0.0,,,,0.0,,,11.299,,10.007,0.0,,10.007,10.007,,48.301998,0.205,0.205,0.205,48.301998,0.205,0.205,0.205,,,,,,,,,,19.552999,,19.552999,,,,,,19.552999,0.404807,0.404807,0.245,60.522631,60.522631,60.522682,
03/31/1996,41.229,35.334999,,4.031,0.0,1.863,-21.628,13.515,,,1.067,7.046,0.0,,0.0,19.601,-7.981,7.967,,0.014,11.62,0.0,,,,0.0,,,11.62,,9.648,0.0,,9.648,9.648,,48.568001,0.2,0.2,0.2,48.568001,0.2,0.2,0.2,,,,,,,,,,15.823,,15.823,,,,,,15.823,0.325791,0.325791,0.245,75.201671,75.201671,90.722364,
06/30/1996,43.127998,36.379002,,4.784,0.0,1.965,-23.853,13.546,,,1.196,9.111,0.0,,0.0,19.275,-5.032,6.65,,-1.618,14.243,0.0,,,,0.0,,,14.243,,12.299,0.0,,12.299,12.299,,58.287998,0.21,0.21,0.21,58.287998,0.21,0.21,0.21,,,,,,,,,,19.087999,,19.087999,,,,,,19.087999,0.327477,0.327477,0.245,74.814335,74.814335,75.267184,
09/30/1996,46.806,40.000999,,4.771,0.0,2.034,-22.15,13.994,,,1.081,7.075,0.0,,0.0,24.656,-8.093,7.858,,0.235,16.563,0.0,,,,0.0,,,16.563,,14.35,-0.872,,13.478,13.478,,58.714001,0.23,0.23,0.23,58.714001,0.23,0.23,0.23,,,,,,,,,,20.200001,,20.200001,,,,,,20.200001,0.344041,0.344041,0.255,74.119155,74.119155,74.287124,
12/31/1996,52.119999,44.676998,,4.805,0.0,2.638,-27.238999,16.525,,,1.375,9.339,0.0,,0.0,24.881,-5.706,8.869,,-3.163,19.174999,0.0,,,,0.0,,,19.174999,,17.134001,-1.687,,15.447001,15.447001,,58.91,0.26,0.26,0.26,1.06,0.265,0.265,0.265,,,,,,,,,,20.966,,20.966,,,,,,20.966,19.779246,19.779246,0.255,1.28923,1.28923,71.725653,
03/31/1997,53.247002,49.057999,0.0,3.707,0.0,0.482,-28.35,17.191,,,1.316,9.843,0.0,,0.0,24.897,-6.462,8.602,-1.86,-0.28,18.435,0.0,,,,0.0,,,18.435,,16.691999,-1.706,,14.985999,14.985999,,61.624001,0.245,0.245,0.245,69.580002,0.245,0.245,0.245,,,,,,,,,,23.716999,,23.716999,,,,,,23.716999,0.340859,0.340859,0.255,74.810899,74.810899,66.648399,
06/30/1997,55.108002,49.801998,0.0,4.859,0.0,0.447,-29.231001,17.259001,,,1.574,10.398,0.0,,0.0,25.877,-7.463,9.349,-1.784,-0.102,18.414,0.0,,,,0.0,,,18.414,,16.402,-1.706,,14.696,14.696,,63.167999,0.235,0.235,0.235,63.167999,0.235,0.235,0.235,,,,,,,,,,24.406,,24.406,,,,,,24.406,0.386367,0.386367,0.255,65.999506,65.999506,65.983774,
09/30/1997,60.441002,53.729,0.0,5.7,0.0,1.012,-31.762,19.048,,,1.457,11.037,0.0,,0.22,28.679001,-5.357,9.271,-2.489,-1.425,23.322001,0.0,,,,0.0,,,23.322001,,21.281,-4.37,,16.911,16.911,,65.308998,0.26,0.26,0.26,65.308998,0.26,0.26,0.26,,,,,,,,,,26.007,,26.007,,,,,,26.007,0.398215,0.398215,0.59,148.161292,148.161292,71.838353,
12/31/1997,76.725998,68.380997,0.0,7.179,0.0,1.166,-39.161,22.587,,,2.183,13.528,0.0,,0.863,37.565,-10.507,13.074,-2.599,0.032,27.057999,0.0,,,,0.0,,,27.057999,,24.108999,-4.703,,19.405999,19.405999,,75.466003,0.26,0.26,0.26,84.031998,0.26,0.26,0.26,,,,,,,,,,33.125999,,33.125999,,,,,,33.125999,0.394207,0.394207,0.3,76.102158,76.102158,68.191152,
03/31/1998,81.924004,76.834999,0.0,4.596,0.0,0.493,-42.315,25.684,,,2.34,14.26,0.0,,0.031,39.608999,-9.452,12.879,-2.841,-0.586,30.157,0.0,,,,0.0,,,30.157,,26.965,-4.703,,22.262,22.262,,76.654999,0.29,0.29,0.29,88.596001,0.29,0.29,0.29,,,,,,,,,,34.73,,34.73,,,,,,34.73,0.392004,0.392004,0.3,76.529806,76.529806,66.215089,
06/30/1998,87.925003,80.502998,0.0,3.597,0.0,3.825,-46.752,22.486,,,7.711,16.525,0.0,,0.03,41.172999,-11.402,14.346,-2.576,-0.368,29.771,0.0,,,,0.0,,,29.771,,26.561001,-4.703,,21.858001,21.858001,,80.080002,0.27,0.27,0.27,91.830002,0.27,0.27,0.27,,,,,,,,,,36.932999,,36.932999,,,,,,36.932999,0.402189,0.402189,0.3,74.591836,74.591836,65.047521,
09/30/1998,95.500999,87.698997,0.0,7.031,0.0,0.771,-50.151,25.712,,,6.648,17.66,0.0,,0.131,45.35,-13.391,16.701,-2.649,-0.661,31.959,0.0,,,,0.0,,,31.959,,28.150999,-4.702,,23.448999,23.448999,,81.594002,0.29,0.29,0.29,93.278999,0.29,0.29,0.29,,,,,,,,,,39.421001,,39.421001,,,,,,39.421001,0.422614,0.422614,0.34,80.451686,80.451686,70.373556,
12/31/1998,98.695999,92.731003,0.0,8.382,0.0,-2.417,-52.621999,22.243999,,,9.944,20.320999,0.0,,0.113,46.074001,-13.764,16.291,-2.791,0.264,32.310001,0.0,,,,0.0,,,32.310001,,29.027,-5.725,,23.302001,23.302001,,84.393997,0.28,0.28,0.28,96.073997,0.27,0.27,0.27,,,,,,,,,,42.990002,,42.990002,,,,,,42.990002,0.447468,0.447468,0.34,75.983155,75.983155,66.74566,
03/31/1999,112.345001,99.478996,0.0,11.973,0.0,0.893,-60.975001,29.443001,,,10.846,20.454,0.0,,0.232,51.370002,-11.169,15.991,-2.508,-2.314,40.201001,0.0,,,,0.0,,,40.201001,,36.236,-8.842,,27.394,27.394,,86.370003,0.32,0.32,0.32,98.094002,0.32,0.32,0.32,,,,,,,,,,53.073002,,53.073002,,,,,,53.073002,0.541042,0.541042,0.34,62.84167,62.84167,55.299305,
06/30/1999,113.807999,104.369003,0.0,3.795,0.0,5.644,-59.023,29.982,,,8.0,20.934999,0.0,,0.106,54.784998,-12.379,17.129,-2.779,-1.971,42.405998,0.0,,,,0.0,,,42.405998,,38.849998,-9.254,,29.595999,29.595999,,88.352997,0.33,0.33,0.33,98.855003,0.33,0.33,0.33,,,,,,,,,,56.283001,,56.283001,,,,,,56.283001,0.569349,0.569349,0.34,59.717323,59.717323,53.373133,
09/30/1999,173.102005,157.001007,0.0,15.072,0.0,1.029,-90.530998,45.717999,,,11.942,32.737999,0.0,,0.133,82.570999,-19.592999,25.959999,-3.272,-3.095,62.978,0.0,,,,0.0,,,62.978,,62.361,-14.356,,48.005,48.005,,137.720993,0.35,0.35,0.35,138.923004,0.35,0.35,0.35,,,,,,,,,,82.795998,,82.795998,,,,,,82.795998,0.595985,0.595985,0.39,65.437909,65.437909,55.968889,
12/31/1999,181.399994,163.100998,0.0,17.216999,0.0,1.082,-110.922002,73.665001,,,0.0,36.637001,0.0,,0.62,84.710001,-21.99,27.677,-3.054,-2.633,62.720001,0.0,,,,0.0,,,62.720001,,53.438,-12.254,,41.184,41.184,,125.412003,0.33,0.33,0.33,151.960999,0.33,0.33,0.33,,,,,,,,,,86.446999,,86.446999,,,,,,86.446999,0.568876,0.568876,0.39,68.556212,68.556212,54.833599,
03/31/2000,187.595001,171.910004,0.0,13.231,0.0,2.454,-101.115998,56.050999,,,5.164,39.778999,0.0,,0.122,86.479,-15.171,32.681,-2.824,-14.686,71.308,0.0,,,,0.0,,,71.308,,61.111,-12.252,,48.859,48.859,,126.07,0.39,0.39,0.39,146.326004,0.39,0.39,0.39,,,,,,,,,,89.606003,,89.606003,,,,,,89.606003,0.612372,0.612372,0.39,63.686739,63.686739,54.870208,
06/30/2000,201.505997,174.182007,0.0,6.582,0.0,20.742001,-105.819997,58.280998,,,4.51,39.765999,0.0,,3.263,95.685997,-28.621998,36.252998,-4.226,-3.405,67.063999,0.0,,,,0.0,,,67.063999,,57.773998,-12.249,,45.524998,45.524998,,126.597,0.36,0.36,0.36,147.181,0.36,0.36,0.36,,,,,,,,,,93.879997,,93.879997,,,,,,93.879997,0.637854,0.637854,0.39,61.142514,61.142514,52.591609,
09/30/2000,201.598999,182.524994,0.0,5.937,0.0,13.137,-96.974998,49.154999,,,5.825,41.883999,0.0,,0.111,104.624,-28.681999,36.375999,-3.235,-4.459,75.942001,0.0,,,,0.0,,,75.942001,,57.391998,-12.243,,45.148998,45.148998,,127.010002,0.36,0.36,0.36,147.916,0.35,0.35,0.35,,,,,,,,,,97.146004,,97.146004,,,,,,97.146004,0.656765,0.656765,0.43,65.472461,65.472461,56.218471,
12/31/2000,196.235001,168.653,0.0,0.0,0.0,27.855,-119.659,75.555,,,5.645,38.459,0.0,,0.0,76.964,11.14,28.638,-4.271,-35.507,88.104,0.0,,,,0.0,,,88.104,,76.760002,-10.135,,66.625002,66.625002,,127.653999,0.58,0.58,0.58,147.440002,0.57,0.57,0.57,,,,,,,,,,97.222,,97.222,,,,,,97.222,0.6594,0.6594,0.43,65.210756,65.210756,56.42447,
03/31/2001,197.753998,173.998001,0.0,10.76,0.0,12.996,-106.938999,61.659,,,4.027,40.313999,0.0,,0.939,90.816,-6.081001,29.613001,-9.97,-13.562,84.734999,0.0,,,,0.0,,,84.734999,,72.042,-13.272,,58.77,58.77,,128.399002,0.46,0.46,0.45,151.031006,0.45,0.45,0.44,,,,,,,,,,101.526001,,101.526001,,,,,,101.526001,0.67222,0.67222,0.43,63.967193,63.967193,54.38213,
06/30/2001,199.647003,174.453003,0.0,7.896,0.0,17.298,-105.312999,62.202,,,4.688,37.994999,0.0,,0.428,94.334002,-21.21,28.671,-7.315,-0.146,73.124002,0.0,,,,0.0,,,73.124002,,63.490002,-13.815,,49.675002,49.675002,,129.130997,0.39,0.39,0.39,149.572006,0.38,0.38,0.38,,,,,,,,,,104.813004,,104.813004,,,,,,104.813004,0.700753,0.700753,0.43,61.362579,61.362579,52.976252,
09/30/2001,194.438004,171.175003,0.0,4.758,0.0,18.504999,-99.839,59.203999,,,1.437,38.282001,0.0,,0.916,94.598999,9.495,28.042,-7.024,-30.513,104.093999,0.0,,,,0.0,,,104.093999,,90.348999,-13.247,,77.101999,77.101999,,130.104004,0.59,0.59,0.59,158.593994,0.58,0.58,0.58,,,,,,,,,,104.541,,104.541,,,,,,104.541,0.659174,0.659174,0.45,68.26728,68.26728,56.003865,
12/31/2001,415.730995,172.331993,0.0,18.552,0.0,224.847001,-330.475002,9.039001,,,5.407,43.123001,0.0,,272.906,85.254999,9.563995,27.503999,-7.082,-29.985994,44.42,0.0,,,,0.0,,,44.42,,56.527999,-12.108,,44.419999,44.419999,,131.005997,0.339068,0.339068,0.339068,147.642994,0.300861,0.300861,0.300861,,,,,,,,,,35.866995,,35.866995,,,,,,35.866995,0.242931,0.242931,0.45,185.23812,185.23812,163.810757,
03/31/2002,198.339005,168.184998,0.0,20.393,0.0,9.761,-113.862,50.280998,,,7.238,42.337002,0.0,,14.006,84.476999,-19.784999,27.191999,-6.296,-1.111,64.692,0.0,,,,-0.824,,,65.516,,57.386002,-12.108,,45.278002,45.278002,,131.932007,0.34,0.33,0.33,133.531998,0.34,0.33,0.33,,,,,,,,,,101.518997,,101.518997,,,,,,101.518997,0.76026,0.76026,0.45,59.1903,59.1903,58.480679,
06/30/2002,189.710007,172.746994,0.0,3.429,0.0,13.534,-106.818002,48.943001,,,7.224,42.658001,0.0,,7.993,82.892,-18.36,27.614,-6.278,-2.976,64.532,0.0,,,,-3.542,,,68.074,,60.634998,-12.107,,48.527998,48.527998,,134.195999,0.36,0.33,0.33,135.977997,0.36,0.33,0.33,,,,,,,,,,102.001999,,102.001999,,,,,,102.001999,0.750136,0.750136,0.45,59.989117,59.989117,59.173352,
09/30/2002,184.688004,171.945999,0.0,3.817,0.0,8.925,-111.554998,51.689999,,,6.804,44.626999,0.0,,8.434,73.133001,-16.315,29.454,-8.344,-4.795,56.818001,0.0,,,,-0.551,,,57.369001,,50.993,-11.753,,38.595,38.595,,134.817993,0.29,0.29,0.29,136.264008,0.29,0.29,0.29,,,,,,,,,,91.931999,,91.931999,,,,,,91.931999,0.674661,0.674661,0.455,67.441287,67.441287,66.725405,
12/31/2002,179.653,166.865005,0.0,3.856,0.0,8.932,-103.971999,48.244999,,,4.059,43.736,0.0,,7.932,75.681,-32.037,31.757,-6.262,6.542,43.644,0.0,,,,1.458,,,42.186,,38.153,-9.085,,21.568,21.568,,134.934998,0.16,0.17,0.17,135.742996,0.16,0.17,0.17,,,,,,,,,,75.320999,,75.320999,,,,,,75.320999,0.554879,0.554879,0.455,81.999793,81.999793,81.529721,
03/31/2003,186.744003,176.341003,0.0,4.094,0.0,6.309,-119.831001,59.584,,,6.268,46.610001,0.0,,7.369,66.912999,-18.815,31.952,-4.269,-8.868,48.097999,0.0,,,,-3.318,,,51.415999,,46.229,-8.752,,37.477,37.477,,135.17,0.28,0.26,0.26,150.627,0.28,0.26,0.26,,,,,,,,,,77.190002,,77.190002,,,,,,77.190002,0.512458,0.512458,0.455,88.787775,88.787775,79.67612,
06/30/2003,181.065994,168.526993,0.0,3.448,0.0,9.091,-109.160002,52.667,,,5.077,44.629002,0.0,,6.787,71.905998,-24.859999,33.299999,-6.693,-1.747,47.045999,0.0,,,,-1.674,,,48.719999,,43.290001,-8.752,,34.538001,34.538001,,135.386002,0.26,0.25,0.25,136.264008,0.25,0.24,0.24,,,,,,,,,,80.332001,,80.332001,,,,,,80.332001,0.589532,0.589532,0.455,77.179857,77.179857,76.683017,
09/30/2003,185.210007,171.287994,0.0,3.409,0.0,10.513,-112.196999,52.935001,,,4.877,46.162998,0.0,,8.222,73.013003,-21.511001,30.273001,-7.368,-1.394,51.502002,0.0,,,,-3.753,,,55.255002,,49.599998,-9.415,,40.184998,40.184998,,135.705994,0.3,0.27,0.27,136.576996,0.3,0.27,0.27,,,,,,,,,,96.370003,,96.370003,,,,,,96.370003,0.705609,0.705609,0.46,65.191882,65.191882,64.77638,
12/31/2003,459.321996,173.18701,0.0,19.266,0.0,266.869,-384.894998,53.189999,,,5.905,50.612999,0.0,,275.187,74.427,-21.804,30.171,-5.358,-3.009,52.623,0.0,,,,-9.301,,,61.924,,60.113001,-10.402,,49.711001,49.711001,,135.650497,0.44,0.37,0.37,143.858998,0.42,0.36,0.36,,,,,,,,,,93.737,,106.191,,,,,,106.191,0.677844,0.677844,0.46,67.862248,67.862248,66.752723,
03/31/2004,270.402008,181.423996,0.0,4.514,0.0,84.463997,-204.630999,60.125999,,,8.317,50.756001,0.0,,85.431999,65.771,-23.041999,32.195999,-4.525,-4.629,42.729001,0.0,,,,-4.552,,,47.281001,,44.099998,-7.6,,32.885998,32.885998,,138.398,0.24,0.21,0.21,156.913,0.23,0.2,0.2,,,,,,,,,,80.981003,,80.981003,,,,,,80.981003,0.516089,0.516089,0.46,89.131991,89.131991,76.780972,
06/30/2004,198.264999,181.962006,0.0,3.855,0.0,12.448,-125.285999,58.216999,,,5.718,51.264,0.0,,10.087,72.979,-25.807999,32.681999,-5.77,-1.104,47.171001,0.0,,,,-0.552,,,47.723001,,43.147999,-8.401,,34.715999,34.715999,,142.104004,0.24,0.24,0.24,142.886993,0.24,0.24,0.24,,,,,,,,,,86.723999,,86.723999,,,,,,86.723999,0.606941,0.606941,0.46,75.789882,75.789882,75.374748,
09/30/2004,260.520996,157.496994,0.0,8.536,0.0,94.487999,-204.860998,54.154999,,,6.858,48.126999,0.0,,95.721001,55.66,-18.372,27.979,-9.607,0.0,37.288,0.0,,,,-16.562,,,53.85,,50.847,-8.32,,42.527,42.527,,142.272995,0.3,0.18,0.18,157.104996,0.3,0.18,0.18,,,,,,,,,,98.041,,98.041,,,,,,98.041,0.624048,0.624048,0.465,74.513544,74.513544,67.478855,
12/31/2004,188.763,160.911,0.0,27.195,0.0,0.657,-122.658,50.646,,,5.436,50.696,0.0,,15.88,66.105,-23.018,29.171,-5.071,-1.082,43.087,0.0,,,,-10.773,,,53.86,,50.606,-9.456,,41.15,41.15,,142.716,0.29,0.21,0.21,143.666,0.29,0.21,0.21,,,,,,,,,,104.661,,104.661,,,,,,104.661,0.728502,0.728502,0.465,63.829593,63.829593,64.82644,
03/31/2005,268.456,165.882,0.0,11.873,0.0,90.701,-208.651,57.573,,,8.476,53.108,0.0,,89.494,59.805,-28.758,28.9,0.0,-0.142,31.047,0.0,,,,-7.995,,,39.042,,37.101,-11.62,,25.481,25.481,,143.089,0.18,0.12,0.12,157.72,0.18,0.12,0.12,,,,,,,,,,,,,,,,,,,,,0.47,,,,
06/30/2005,278.405,158.977,0.0,16.191,0.0,103.237,-221.814,56.731,,,7.035,52.749,0.0,,105.299,56.591,-10.85,29.634,-15.684,-3.1,45.741,0.0,,,,-9.301,,,55.042,,51.919,-11.62,,40.299,40.299,,143.48,0.28,0.22,0.22,157.696,0.28,0.22,0.22,,,,,,,,,,87.841,,87.841,,,,,,87.841,0.557027,0.557027,0.465,83.478831,83.478831,75.95337,
09/30/2005,292.016,170.022,0.0,12.184,0.0,109.81,-231.258,62.186,,,5.803,59.494,0.0,,103.775,60.758,-28.152,30.523,0.0,-2.371,32.606,0.0,,,,-195.654,,,228.26,,224.967,-11.619,,213.348,213.348,,142.663,1.5,0.13,0.13,158.468,1.48,0.12,0.12,,,,,,,,,,87.175,,87.175,,,,,,87.175,0.550111,0.550111,0.47,85.437293,85.437293,76.9161,
12/31/2005,235.022,144.177,0.0,9.783,0.0,81.062,-197.0,49.904,,,9.689,50.049,0.0,,87.358,38.022,-1.557,24.01,-13.865,-8.588,36.465,0.0,,,,-7.257,,,43.722,,41.675,-11.62,,30.055,30.055,,136.8,0.22,0.17,0.17,149.624,0.2,0.15,0.15,,,,,,,,,,84.548,,84.548,,,,,,84.548,0.56507,0.56507,1.515,268.108483,268.108483,246.139897,
03/31/2006,268.53,192.336,0.0,4.665,0.0,71.529,-207.198,65.866,,,13.938,57.63,0.0,,69.764,61.332,-35.123,37.013,0.0,-1.89,26.209,0.0,,,11.448,-1.768,,,27.977,-5.588,26.793,-12.712,,11.448,11.448,,134.781,0.08,0.07,0.07,149.265,0.08,0.07,0.07,,60.582,4.702,,-0.505,-2.962,,,,67.677,,67.677,,,,,,67.677,0.453402,0.453402,0.47,103.660845,103.660845,93.602066,
06/30/2006,262.011,201.263,0.0,4.065,0.0,56.683,-195.647,69.309,,,6.965,64.333,0.0,,55.04,66.364,-35.497,45.467,-9.696,-0.274,30.867,0.0,,,21.717,-5.945,,,36.812,-5.622,34.972,-13.255,,21.717,21.717,,134.969,0.16,0.12,0.12,149.364,0.16,0.12,0.12,,65.167,4.425,,-1.531,-5.4,,,,78.756,,78.756,,,,,,78.756,0.527276,0.527276,0.47,89.137437,89.137437,80.54679,
09/30/2006,316.47,192.568,0.0,15.715,0.0,108.187,-234.984,63.314,,,6.76,59.432,0.0,,105.478,81.486,-43.843,46.825,0.0,-2.982,37.643,0.0,,,61.734,-41.569,,,79.212,6.083,76.96,-15.226,,61.734,61.734,,135.117,0.46,0.15,0.15,150.947,0.45,0.15,0.15,,64.363,4.568,,-39.537,0.28,,,,97.491,,97.491,,,,,,97.491,0.651721,0.651721,0.48,73.651106,73.651106,133.938764,
12/31/2006,,,,,,,,,,,,,,,,,,,,,,,,,145.095,,,,,-18.858,,,,,,,134.665,0.37,0.37,0.37,149.02,0.37,0.37,0.37,,254.268,18.394,,-42.089,-18.802,,,,338.008,,338.008,,,,,,338.008,2.262542,2.262542,,,,0.0,
03/31/2007,275.617,209.796,0.0,9.261,0.0,56.56,-210.411,122.78,,,13.46,66.375,0.0,,7.796,65.206,-30.411,44.408,0.0,-13.997,34.795,0.0,,,68.563,-50.325,,,85.12,-1.263,83.789,-15.226,,68.563,68.563,,136.823,0.5,0.13,0.13,149.465,0.49,0.13,0.13,,67.739,4.968,,-51.72,-1.96,,,,86.327,,86.327,,,,,,86.327,0.582005,0.582005,0.475,81.614472,81.614472,75.284587,
