Date,P/Book,Average,High,Low,P/Sales,P/Free Cash Flow,EV/Total Revenues,Price/Share,Enterprise Value,Source: Bloomberg
09/30/1980,,,,,,,,21.875,,
12/31/1980,,,,,,,,21.1875,,
03/31/1981,,,,,,,,21.8125,,
06/30/1981,,,,,,,,24.5625,,
09/30/1981,,,,,,,,19.75,,
12/31/1981,,,,,,,,20.6875,,
03/31/1982,,,,,,,,22.4375,,
06/30/1982,,,,,,,,18.8125,,
09/30/1982,,,,,,,,19.0,,
12/31/1982,,,,,,,,22.6875,,
03/31/1983,,,,,,,,24.1875,,
06/30/1983,,,,,,,,25.25,,
09/30/1983,,,,,,,,27.125,,
12/31/1983,,,,,,,,27.6875,,
03/31/1984,,,,,,,,29.5,,
06/30/1984,,,,,,,,19.875,,
09/30/1984,,,,,,,,23.875,,
12/31/1984,,,,,,,,27.5,,
03/31/1985,,,,,,,,30.75,,
06/30/1985,,,,,,,,36.75,,
09/30/1985,,,,,,,,31.75,,
12/31/1985,,,,,,,,39.0,,
03/31/1986,,,,,,,,44.75,,
06/30/1986,,,,,,,,39.875,,
09/30/1986,,,,,,,,37.375,,
12/31/1986,,,,,,,,39.75,,
03/31/1987,,,,,,,,41.75,,
06/30/1987,,,,,,,,37.875,,
09/30/1987,,,,,,,,39.5,,
12/31/1987,,,,,,,,28.375,,
03/31/1988,,,,,,,,31.375,,
06/30/1988,,,,,,,,31.5,,
09/30/1988,,,,,,,,30.625,,
12/31/1988,,,,,,,,28.5,,
03/31/1989,,,,,,,,31.25,,
06/30/1989,,,,,,,,31.375,,
09/30/1989,,,,,,,,30.5,,
12/31/1989,,,,,,,,29.0,,
03/31/1990,1.396238,,,,,,,29.0,3534.662041,
06/30/1990,1.343094,3472.275795,3524.202291,3320.926787,,,,26.625,3321.193094,
09/30/1990,1.028897,3056.644839,3362.765788,2505.23506,,,,17.5,2578.265003,
12/31/1990,0.626552,2020.029916,2625.845064,1703.685001,0.150059,,0.407483,7.5,1703.685001,
03/31/1991,0.808865,1861.653453,2071.001252,1663.601002,0.192699,,0.403284,9.5,1665.159016,
06/30/1991,0.785614,1757.354344,1894.485502,1612.582765,0.185197,,0.449051,9.0,1830.332024,
09/30/1991,0.718499,1698.733457,1851.128515,1609.277761,0.166021,,0.445438,7.75,1746.11577,
12/31/1991,0.703893,1665.794311,1797.739522,1577.569765,0.146091,,0.396927,7.25,1655.979269,
03/31/1992,0.819589,1788.654847,1887.730026,1666.513394,0.177822,,0.439274,8.5,1766.320522,
06/30/1992,1.406695,2002.232365,2312.890287,1745.252272,0.310908,,0.599771,14.25,2313.31777,
09/30/1992,1.137255,2167.214852,2355.026789,1986.64364,0.239069,,0.522493,11.0,2024.137032,
12/31/1992,1.28325,2137.37723,2266.979665,1938.030014,0.285202,,0.571543,12.375,2091.848375,
03/31/1993,1.582402,2222.244197,2471.380673,2027.928908,0.381687,,0.676713,16.25,2432.107527,
06/30/1993,1.72084,2501.061339,2683.875259,2419.772133,0.436683,,0.736519,18.125,2583.709938,
09/30/1993,1.356617,2579.781863,2697.129032,2259.769951,0.374181,,0.695558,14.375,2261.954957,
12/31/1993,1.187389,2182.631052,2325.656955,2092.082963,0.384852,,0.710952,14.75,2309.882794,
03/31/1994,1.252272,2289.950877,2372.507954,2161.40196,0.369839,,0.685517,13.25,2165.549263,
06/30/1994,1.220369,2118.642763,2186.861507,2045.481907,0.353416,,0.65097,12.25,2051.855993,
09/30/1994,1.272898,2136.62918,2201.263992,2060.956382,0.382409,,0.667944,13.25,2158.794781,
12/31/1994,1.286531,2183.297123,2281.641409,2106.231993,0.402418,,0.700317,13.625,2318.049834,
04/01/1995,1.162368,2237.554081,2324.23996,2107.298407,0.415363,,0.666247,14.0,2231.925995,
06/30/1995,1.242861,2378.795495,2560.855244,2129.719963,0.493465,,0.765818,16.25,2598.419952,
09/30/1995,1.451291,2644.622185,2930.435944,2343.437244,0.60576,,0.859406,19.375,2958.936283,
12/31/1995,1.139668,2737.493525,2898.601944,2566.585953,0.543703,5.133563,0.786167,16.875,2719.351301,
03/31/1996,1.137326,2492.120615,2625.130779,2316.146275,0.50648,4.834467,0.723088,15.5,2532.978039,
06/30/1996,1.233442,2566.920808,2715.735041,2487.040792,0.538783,5.397984,0.764222,16.25,2687.76878,
09/30/1996,1.381949,2718.153824,2967.911909,2584.558153,0.624111,7.040405,0.812494,18.5,2846.16655,
12/31/1996,1.348084,2974.042308,3208.694683,2808.445658,0.693428,9.082199,0.873943,20.875,3093.759955,
03/31/1997,1.458259,3247.131415,3362.705936,3072.68343,0.715528,12.455684,0.885713,21.5,3114.168427,
06/30/1997,1.516315,3110.318888,3480.310165,2819.71996,0.789526,16.077418,0.94559,24.0,3326.584045,
09/30/1997,1.354716,3283.299883,3486.474915,3091.365666,0.759387,26.876256,0.944134,22.9375,3280.865396,
12/31/1997,,3079.343486,3301.68446,2774.865347,0.74111,,,22.0625,,
