Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1998,2794,2095.0,806.0,1289.0,54,,,0.0,0.0,0.0,0.0,0.0,48,,,,,,2197.0,192,416.0,-224.0,342.0,,63,,,,,63,597,,54,54,,,,4,,,,,,246.0,,,246.0,304.0,137.0,,,,,304.0,,,304.0,441.0,745.0,0.0,448.0,,,0.0,,1601.0,2049,0.0,2049,2794.0,
06/30/1998,4719,3760.0,801.0,2959.0,61,,,0.0,0.0,0.0,0.0,0.0,53,,,,,,3874.0,349,573.0,-224.0,341.0,,155,,,,,155,845,,52,52,,,,5,,,,,,118.0,,,118.0,175.0,2137.0,,,,,306.0,,,306.0,2443.0,2618.0,0.0,694.0,,,0.0,,1407.0,2101,0.0,2101,4719.0,
09/30/1998,4860,3633.0,653.0,2980.0,59,,,0.0,0.0,0.0,0.0,0.0,80,,,,,,3772.0,594,826.0,-232.0,313.0,,181,,,,,181,1088,,126,126,,,,6,,,,,,145.0,,,145.0,277.0,2140.0,,,,,345.0,,,345.0,2485.0,2762.0,0.0,739.0,,,0.0,,1359.0,2098,0.0,2098,4860.0,
12/31/1998,5525,3711.0,848.0,2863.0,57,,,0.0,0.0,0.0,0.0,0.0,109,,,,,,3877.0,1061,1315.0,-254.0,323.0,,264,141.0,,,,123,1648,,276,276,,,,5,,,,,,89.0,,,89.0,370.0,2641.0,,,,,349.0,,,349.0,2990.0,3360.0,0.0,768.0,,,0.0,,1397.0,2165,0.0,2165,5525.0,
03/31/1999,7106,4860.0,862.0,3998.0,65,,,0.0,0.0,0.0,0.0,0.0,181,,,,,,5106.0,1438,1718.0,-280.0,300.0,,262,145.0,145.0,0.0,,117,2000,,338,338,,,,6,,,,,,152.0,,,152.0,496.0,2653.0,,,,,345.0,,,345.0,2998.0,3494.0,0.0,2322.0,,,0.0,,1290.0,3612,0.0,3612,7106.0,
06/30/1999,7350,4178.0,795.0,3383.0,111,,,0.0,0.0,0.0,0.0,,165,,,,,,4454.0,2185,2506.0,-321.0,387.0,,324,0.0,134.0,-134.0,,324,2896,,478,478,,,,6,,,,,,172.0,,,172.0,656.0,2667.0,,,,,418.0,,,418.0,3085.0,3741.0,0.0,2375.0,,,0.0,,1234.0,3609,0.0,3609,7350.0,
09/30/1999,8835,4218.0,1486.0,2732.0,118,,,0.0,0.0,0.0,0.0,0.0,734,,,,,,5070.0,3072,3447.0,-375.0,363.0,,330,,126.0,,,330,3765,,653,653,,,,6,,,,,,280.0,,,280.0,939.0,3977.0,,,,,388.0,,,388.0,4365.0,5304.0,0.0,2438.0,,,0.0,,1093.0,3531,0.0,3531,8835.0,
12/31/1999,8906,3441.0,1214.0,2227.0,150,150.0,,,,,,,347,,,,,,3938.0,4287,,,300.0,,381,,,,,381,4968,,832,832,,,,6,,,,,,252.0,,,252.0,1090.0,3989.0,,,,,422.0,,,422.0,4411.0,5501.0,0.0,2504.0,,,0.0,906.0,-5.0,3405,0.0,3405,8906.0,
03/31/2000,14364,7680.0,2527.0,5153.0,302,302.0,,0.0,0.0,0.0,0.0,0.0,129,,,,,,8111.0,5453,5960.0,-507.0,286.0,,514,96.0,108.0,-12.0,,418,6253,,963,963,,,,6,,,,,,423.0,,,423.0,1392.0,7047.0,,,,,354.0,,,354.0,7401.0,8793.0,0.0,4963.0,,,0.0,635.0,-27.0,5571,0.0,5571,14364.0,
06/30/2000,14691,6405.0,1652.0,4753.0,246,,,0.0,,,,,191,,,,,,6842.0,7042,7678.0,-636.0,286.0,,521,99.0,99.0,0.0,,422,7849,,1175,1175,,,,6,,,,,,655.0,,,655.0,1836.0,7170.0,,,,,368.0,,,368.0,7538.0,9374.0,0.0,5018.0,,,0.0,,299.0,5317,0.0,5317,14691.0,
