Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,1903.0,,-1262.0,,641.0,,-482.0,,,,,159.0,-643.0,,65.0,,,,578.0,-484.0,101.0,-383.0,0.0,,,-383.0,,-383.0,-15.0,,-398.0,-398.0,,500.0,-0.795,-0.795,,500.0,-0.795,-0.795,-0.795,
06/30/1990,2003.0,,-1280.0,,723.0,,-482.0,,,,,241.0,-89.0,,66.0,,,,23.0,152.0,-42.0,110.0,0.0,,,110.0,,110.0,-16.0,,94.0,94.0,,566.0,0.185,0.185,,566.0,0.185,0.185,0.185,
09/30/1990,2020.0,,-1282.0,,738.0,,-484.0,,,,,254.0,-57.0,,64.0,,,,-7.0,197.0,-62.0,135.0,0.0,,,135.0,,135.0,-15.0,,120.0,120.0,,564.0,0.23,0.23,,564.0,0.23,0.23,0.23,
12/31/1990,2174.0,,-1373.0,,801.0,,-527.0,,,,,274.0,-11.0,,64.0,,24.0,,-77.0,263.0,-62.0,201.0,0.0,,,201.0,-23.0,178.0,-6.0,,172.0,172.0,,528.656982,0.325,0.325,0.325,528.656982,0.325,0.325,0.325,
03/31/1991,2122.0,,-1366.0,,756.0,,-533.0,,,,,223.0,-74.0,,55.0,,,,19.0,149.0,-39.0,110.0,0.0,,,110.0,,110.0,-6.0,,104.0,104.0,,560.0,0.185,0.185,,560.0,0.185,0.185,0.185,
06/30/1991,2197.0,,-1388.0,,809.0,,-542.0,,,,,267.0,-72.0,,57.0,,,,15.0,195.0,-54.0,141.0,0.0,,,141.0,,141.0,-6.0,,135.0,135.0,,560.0,0.24,0.24,,560.0,0.24,0.24,0.24,
09/30/1991,2212.0,,-1389.0,,823.0,,-539.0,,,,,284.0,-67.0,,55.0,,,,12.0,217.0,-61.0,156.0,0.0,,,156.0,,156.0,-6.0,,150.0,150.0,,562.0,0.27,0.27,,562.0,0.27,0.27,0.27,
12/31/1991,1268.0,,-681.0,,587.0,,-401.0,,,,,186.0,-59.0,,55.0,,0.0,,4.0,127.0,-27.0,100.0,-84.0,,,184.0,0.0,184.0,-5.0,,179.0,179.0,,560.789978,0.32,0.185,0.185,560.789978,0.32,0.185,0.185,
03/31/1992,2296.0,,-1481.0,,815.0,,-568.0,,,,,247.0,-67.0,,54.0,,,,13.0,180.0,-49.0,131.0,0.0,,,131.0,,131.0,-5.0,,126.0,126.0,,558.0,0.225,0.225,,558.0,0.225,0.225,0.225,
06/30/1992,2080.0,,-1283.0,,797.0,,-540.0,,,,,257.0,-75.0,,54.0,,,,21.0,182.0,-50.0,132.0,5.0,,,127.0,,127.0,0.0,,127.0,127.0,,558.0,0.23,0.24,,558.0,0.23,0.24,0.24,
