Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1993,7.19,5.513,1.683,3.83,0.0,,,0.0,,,,,0.088,,,5.601,1.443,1.85,-0.407,0.0,,,0.146,,,,,0.146,1.589,,0.152,0.152,,,,0.213,,,,,0.282,,,0.282,0.647,0.652,,,,,0.0,,,,,0.0,0.652,1.299,10.697,0.023,,,0.0,,-4.829,5.891,0.0,5.891,7.19,
03/31/1994,7.078,5.377,2.163,3.214,0.0,,,0.0,,,,,0.05,,,5.427,1.513,,,0.0,,,0.138,,,,,0.138,1.651,,0.597,0.597,,,,0.206,,,,,0.648,,,0.648,1.451,0.609,,,,,0.0,,,,,0.0,0.609,2.06,10.697,0.817,,,0.0,,-6.496,5.018,0.0,5.018,7.078,
06/30/1994,20.923,18.891,11.882,7.009,0.0,,,0.0,,,,,0.392,,,19.283001,1.484,,,0.0,,,0.156,,,,,0.156,1.64,,0.728,0.728,,,,0.199,,,,,0.725,,,0.725,1.652,0.565,,,,,0.0,,,,,0.0,0.565,2.217,0.0,26.103001,,,0.0,,-7.397,18.706001,0.0,18.706001,20.923001,
09/30/1994,20.318001,17.441999,7.766,9.676,0.0,,,0.0,,,,,0.482,,,17.924,2.221,,,0.0,,,0.173,,,,,0.173,2.394,,1.46,1.46,,,,0.192,,,,,0.485,,,0.485,2.137,0.517,,,,,0.0,,,,,0.0,0.517,2.654,0.0,25.944,,,0.0,,-8.28,17.664001,0.0,17.664001,20.318001,
12/31/1994,17.249001,14.423,10.51,3.913,0.0,,,0.0,,,,,0.39,,,14.813,2.275,3.222,-0.947,0.0,,,0.161,,,,,0.161,2.436,,0.299,0.299,,,,0.224,,,,,0.839,,,0.839,1.362,0.46,,,,,0.0,,,,,0.0,0.46,1.822,0.0,25.947001,,,0.0,,-10.52,15.427,0.0,15.427,17.249,
03/31/1995,28.465,25.354,19.996,5.358,0.0,,,0.0,,,,,0.546,,,25.9,2.424,,,0.0,,,0.141,,,,,0.141,2.565,,0.919,0.919,,,,0.995,,,,,0.455,,,0.455,2.369,0.399,,,,,0.16,,,,,0.16,0.559,2.928,0.0,38.193001,,,0.0,,-12.656,25.537001,0.0,25.537001,28.465001,
06/30/1995,26.718,23.449,6.9,16.549,0.0,,,0.0,,,,,0.616,,,24.065001,2.478,,,0.0,,,0.175,,,,,0.175,2.653,,1.151,1.151,,,,0.979,,,,,0.253,,,0.253,2.383,0.344,,,,,0.0,,,,,0.0,0.344,2.727,0.0,38.189999,,,0.0,,-14.199,23.990998,0.0,23.990998,26.717998,
09/30/1995,25.018,21.775,3.139,18.636,0.0,,,0.0,,,,,0.513,,,22.288,2.556,,,0.0,,,0.174,,,,,0.174,2.73,,1.234,1.234,,,,0.0,,,,,1.138,,,1.138,2.372,0.267,,,,,0.0,,,,,0.0,0.267,2.639,0.0,38.193001,,,0.0,,-15.814,22.379001,0.0,22.379001,25.018001,
12/31/1995,23.247999,19.927001,3.834,16.093,0.0,,,0.0,,,,,0.487,,,20.414,2.66,4.433,-1.773,0.0,,,0.174,,,,,0.174,2.834,,0.717,0.717,,,,0.245,,,,,1.751,,,1.751,2.713,0.353,,,,,0.0,,,,,0.0,0.353,3.066,0.0,38.202,,,0.0,,-18.02,20.181999,0.0,20.181999,23.247999,
03/31/1996,21.163,16.493,1.862,14.631,0.0,,,0.0,,,,,1.726,,,18.219,2.756,,,0.0,,,0.188,,,,,0.188,2.944,,1.188,1.188,,,,0.0,,,,,1.353,,,1.353,2.541,0.29,,,,,0.0,,,,,0.0,0.29,2.831,0.0,38.213001,,,0.0,,-19.881001,18.332001,0.0,18.332001,21.163001,
