Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1999,49.410999,,,-44.040001,,5.370998,,-22.989,,,,,,,-17.618,0.458,,0.0,,0.0,,-0.458,-17.16,0.0,-17.16,0.0,,,-17.16,0.0,-17.16,-8.354,,-25.514,-25.514,,15.82317,-1.62,-1.62,-0.72,15.82317,-1.62,-1.62,-0.72,
06/30/1999,111.564003,,,-101.044998,,10.519005,,-26.705,,,,,,,-16.186001,1.929,,0.0,,0.0,,-1.929,-14.257001,0.0,-14.257,0.0,,,-14.257001,0.0,-14.257,0.0,,-14.257,-14.257,,23.720006,-0.6,-0.6,-0.6,23.720006,-0.6,-0.6,-0.6,
09/30/1999,152.222,,,-133.628006,,18.593994,,-34.777,,,,,,,-16.183001,-86.030998,,0.0,,0.0,,86.030998,-102.213999,0.0,-102.216003,0.0,,,-102.213999,0.0,-102.216003,0.0,,-102.216003,-102.216003,,24.083506,-4.259999,-4.259999,-0.48,24.083506,-4.259999,-4.259999,-0.48,
12/31/1999,169.212997,,,-145.865997,,23.347,,-36.737999,,,,,,,-13.391,-908.067017,,0.0,,0.0,,908.067017,-921.458016,0.0,-921.45697,0.0,,,-921.458016,0.0,-921.45697,0.0,,-921.45697,-921.45697,,26.005173,-35.459992,-35.459992,-0.36,26.005173,-35.459992,-35.459992,-0.36,
03/31/2000,313.798,,,-265.152,,48.646,,-64.928,,,,,,,-16.282,2.715,,0.0,2.715,0.0,,-5.43,-13.567,0.0,-13.567,0.0,,,-13.567,0.0,-13.567,0.0,0.0,-13.567,-13.567,,27.744506,-0.48,-0.48,-0.48,27.744506,-0.48,-0.48,-0.48,
06/30/2000,352.095,,,-297.3,,54.795,,-62.041,52.839,37.617,,,,9.202,-7.246,2.725,-2.725,0.0,-2.725,0.0,,0.0,-4.521,0.0,-4.521,0.0,,,-4.521,0.0,-4.521,-7.191,0.0,-11.712,-11.712,,27.566506,-0.42,-0.42,-0.42,27.566506,-0.42,-0.42,-0.42,
09/30/2000,0.0,,,0.0,,0.0,,0.0,47.503,35.569,,,,-47.503,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,,,0.0,0.0,,0.0,0.0,,27.843172,-7.139999,-7.139999,-0.612,27.843172,-7.139999,-7.139999,-0.612,
12/31/2000,228.169006,,,-193.876007,,34.292999,,-63.396,,,,,,,-29.103001,-76.031998,,0.0,,0.0,,76.031998,-105.134998,0.0,-105.135002,0.0,,,-105.134998,0.0,-105.135002,0.0,0.0,-105.135002,-105.135002,,28.110339,-3.719999,-3.719999,-0.9,28.110339,-3.719999,-3.719999,-0.9,
03/31/2001,269.704,,,-226.589,,43.115,,-56.319,,,,,,,-13.204,-0.57,-1.776,0.0,-1.776,0.0,,2.346,-13.774,0.0,-13.774,0.0,,,-13.774,0.0,-13.774,0.0,0.0,-13.774,-13.774,,31.431506,-0.42,-0.42,-0.42,31.431506,-0.42,-0.42,-0.42,
06/30/2001,364.756,,,-304.65,,60.106,,-53.694,,,,,,,6.412,-3.596,-1.816,0.0,-1.816,0.0,,5.412,2.816,0.0,2.816,0.0,,,2.816,0.0,2.816,0.0,0.0,2.816,2.816,,32.763507,0.06,0.06,0.06,36.670174,0.06,0.06,0.06,
