Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,385.769989,-310.694,75.075989,-44.505001,30.570999,-7.13,7.927,31.367999,-15.606,15.762,4.283,20.045,0,20.045,15.761999,,0.91,1.16,17.216,,,,,
06/30/1990,343.894989,-293.321991,50.572998,-38.821999,11.751,-5.607,14.591,20.735,-5.425,15.31,2.113,17.423,0,17.423,15.31,,0.89,1.01,17.246,,,,,
09/30/1990,348.992004,-302.688995,46.303009,-37.444,8.859,-6.885,15.688,17.662,-4.273,13.389,0.3,13.689,0,13.689,13.389,,0.78,0.8,17.242001,,,,,
12/31/1990,366.769012,-319.040009,47.729003,-44.176998,3.552,-4.93,7.097,5.719,-0.656,5.063,4.079,9.142,0,9.142,5.063,0.29,0.29,0.53,17.245001,0.29,0.29,0.53,17.245001,
03/31/1991,183.0,-158.399994,24.600006,-25.445999,-0.846,-5.8375,-8.438,-15.1215,-0.578333,-15.699833,-244.800003,-260.499847,0,-260.499847,-15.699833,,-0.89,-15.06,17.27,,,,,
06/30/1991,186.792999,-155.802994,30.990005,-24.971001,6.019,-6.983,-0.765,-1.729,-1.841,-3.57,-7.886,-11.456,0,-11.456,-3.57,,-0.21,-0.67,17.292999,,,,,
09/30/1991,175.830994,-159.569,16.261993,-27.308001,-11.046,-6.925,-4.251,-22.222,4.636,-17.586,-15.312,-32.897999,0,-32.897999,-17.585999,,-1.02,-1.9,17.299999,,,,,
12/31/1991,175.725998,-163.906006,11.819992,-25.445999,-13.626,-5.837,4.922,-14.541,-1.157,-15.698,-16.968,-32.666,0,-32.666,-15.698,-0.91,-0.91,-1.89,17.307245,-0.91,-0.91,-1.89,17.307245,
03/31/1992,189.602005,-155.927994,33.674011,-23.388,10.286,-6.818,-7.678,-4.21,-3.597,-7.807,90.456001,82.649002,0,82.649002,-7.806999,,-0.45,4.77,17.319,,,,,
06/30/1992,212.621002,-177.453003,35.167999,-24.368999,10.799,-6.577,-4.485,-0.263,-4.121,-4.384,-5.512,-9.896,0,-9.896,-4.384,,-0.25,-0.57,17.329,,,,,
09/30/1992,209.223007,-173.320999,35.902008,-25.572001,10.33,-6.575,-15.74,-11.985,-0.907,-12.892,8.874,-4.018,0,-4.018,-12.892,,-0.74,-0.23,17.337999,,,,,
12/31/1992,191.270004,-156.863007,34.406997,-26.492001,7.915,-5.661,-3.295,-1.041,-1.736,-2.777,0.0,-2.777,0,-2.777,-2.777,-0.16,-0.16,-0.16,17.346001,-0.16,-0.16,-0.16,17.346001,
03/31/1993,163.026993,-129.223007,33.803986,-22.209999,11.594,-4.899,-2.801,3.894,-2.107,1.787,6.967,8.754,0,8.754,1.786999,,0.1,0.5,17.358999,,,,,
06/30/1993,187.332993,-147.037994,40.294998,-25.111,15.184,-5.693,3.636,13.127,-3.886,9.241,1.558,10.799,0,10.799,9.241,,0.53,0.62,17.438,,,,,
09/30/1993,167.126007,-136.389999,30.736008,-29.962,0.774,-5.388,6.746,2.132,1.054,3.186,6.886,10.072,0,10.072,3.186,,0.18,0.58,17.419001,,,,,
12/31/1993,174.535995,-144.487,30.048995,-25.416,4.633,-5.446,7.435,6.622,0.743,7.365,11.029,18.393999,0,18.393999,7.365,0.43,0.43,1.06,17.424999,0.43,0.43,1.06,17.424999,
03/31/1994,205.162994,-162.087006,43.075989,-25.547001,17.528999,-5.57,20.165001,32.124,-6.659,25.465,1.439,26.903999,0,26.903999,25.465,,1.46,1.54,17.448999,,,,,
06/30/1994,242.524994,-190.035004,52.48999,-28.993,23.497,-4.661,18.333,37.169,-7.417,29.752001,32.720001,62.472,0,62.472,29.752,,1.71,3.59,17.399,,,,,
09/30/1994,249.210007,-195.944,53.266006,-28.683001,24.583,-4.926,20.025999,39.682999,-7.345,32.338001,0.0,32.338001,0,32.338001,32.337999,,1.86,1.86,17.398001,,,,,
12/31/1994,249.701004,-199.425995,50.275009,-24.445,25.83,-4.809,-37.853001,-16.832001,-7.908,-24.74,64.960999,40.221001,0,40.221001,-24.740001,,-1.42,2.31,17.402,,,,,
03/31/1995,313.123993,-246.692001,66.431992,-35.110001,31.322001,-5.39,4.466,30.398001,-10.346,20.052,20.337,40.389,0,40.389,20.052001,,1.16,2.34,17.294001,,,,,
