Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1986,134.401001,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.85,,,24.85,24.85,,523.570513,0.047407,0.042963,0.042963,523.570513,0.047407,0.042963,0.042963,
04/02/1987,146.117004,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.440001,,,17.440001,17.440001,,588.599979,0.032593,0.02963,0.02963,588.599979,0.032593,0.02963,0.02963,
06/30/1987,139.307007,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.226,,,9.226,9.226,,518.960272,0.017778,0.017778,0.017778,518.960272,0.017778,0.017778,0.017778,
09/30/1987,168.285995,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.971,,,15.971,15.971,,539.021273,0.02963,0.02963,0.02963,539.021273,0.02963,0.02963,0.02963,
12/31/1987,195.074997,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.783001,,,42.783001,42.783001,,534.788979,0.08,0.08,0.08,555.35626,0.077037,0.077037,0.077037,
03/31/1988,206.440994,,,,,,,,,,,,,,206.440994,,,,,,,,206.440994,,,,,,33.848,,,33.848,33.848,,531.33302,0.063704,0.063704,0.063704,557.253,0.060741,0.060741,0.060741,
06/30/1988,243.621994,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.677,,,-0.677,-0.677,,573.75,-0.002963,-0.002963,-0.002963,573.75,-0.002963,-0.002963,-0.002963,
09/30/1988,268.334015,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.985001,,,27.985001,27.985001,,590.30777,0.047407,0.047407,0.047407,590.30777,0.047407,0.047407,0.047407,
12/31/1988,362.489014,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.591999,,,60.591999,60.591999,,584.279984,0.103704,0.103704,0.103704,619.690498,0.097778,0.097778,0.097778,
04/01/1989,358.665985,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.391998,,,60.391998,60.391998,,622.451225,0.068148,0.068148,0.068148,622.451225,0.068148,0.068148,0.068148,
07/02/1989,303.207001,,,,,,,-275.911011,,,,,,,27.296,0.489,,,0.0,-0.489,27.785,-17.096001,10.689,0.0,,,10.688999,0.0,10.689,0.0,,10.689,10.689,,623.264643,0.017778,0.017778,,623.264643,0.017778,0.017778,0.017778,
09/30/1989,282.040985,,,,,,,-280.239014,,,,,,,1.802,1.634,,,0.0,-1.634,3.436,6.169,9.605,0.0,,,9.605,0.0,9.605,0.0,,9.605,9.605,,625.407749,0.014815,0.014815,,625.407749,0.014815,0.014815,0.014815,
12/31/1989,347.083008,,,,,,,-243.641006,,,,,,,103.442001,0.891,,,0.0,-0.891,104.333001,-33.804001,70.528999,0.0,,,70.529,0.0,70.528999,0.0,,70.528999,70.528999,,627.827608,0.112593,0.112593,,627.827608,0.112593,0.112593,0.112593,
03/31/1990,363.656006,,,,,,,-264.095001,,,,,,,99.560997,0.578,,,0.0,-0.578,100.138997,-33.210999,66.928001,0.0,,,66.927998,0.0,66.928001,0.0,,66.928001,66.928001,,628.846865,0.106667,0.106667,0.106667,628.846865,0.106667,0.106667,0.106667,
06/30/1990,261.018005,,,,,,,,,,,,,,261.018005,-253.791,,,,253.791,7.227005,,7.227,0.0,,,,0.0,7.227,0.0,,7.227,7.227,,630.183352,0.011852,0.011852,,630.183352,0.011852,0.011852,0.011852,
09/30/1990,321.269012,,,,,,,,,,,,,,321.269012,-286.872986,,,,286.872986,34.396027,,34.396,0.0,,,,0.0,34.396,0.0,,34.396,34.396,,628.738873,0.053333,0.053333,,628.738873,0.053333,0.053333,0.053333,
12/31/1990,358.437012,,,,,,,,,,,,,,358.437012,-308.894989,,,,308.894989,49.542023,,49.542,0.0,,,,0.0,49.542,0.0,,49.542,49.542,,620.709755,0.08,0.08,,620.709755,0.08,0.08,0.08,
04/02/1991,359.834015,,,,,,,,,,,,,,359.834015,-320.743988,,,,320.743988,39.090027,,39.09,0.0,,,,0.0,39.09,0.0,,39.09,39.09,,614.786615,0.062222,0.062222,0.062222,614.786615,0.062222,0.062222,0.062222,
07/02/1991,287.010986,,,,,,,-268.407013,,,,,,,18.604,3.274,,,0.0,-3.274,21.878,-8.596,13.282,0.0,,,13.282,0.0,13.282,0.0,,13.282,13.282,,608.880363,0.020741,0.020741,,608.880363,0.020741,0.020741,0.020741,
10/02/1991,332.807007,,,,,,,-274.053009,,,,,,,58.754002,2.899,,,0.0,-2.899,61.653002,-23.981001,37.672001,0.0,,,37.672001,0.0,37.672001,0.0,,37.672001,37.672001,,597.773237,0.062222,0.062222,,597.773237,0.062222,0.062222,0.062222,
12/31/1991,419.084991,,,,,,,-330.196991,,,,,,,88.888,-0.011,,,0.0,0.011,88.877,-34.661999,54.215,0.0,,,54.215002,0.0,54.215,0.0,,54.215,54.215,,597.773237,0.091852,0.091852,,597.773237,0.091852,0.091852,0.091852,
03/31/1992,469.858002,,,,,,,-375.315002,,,,,,,94.542999,0.115,,,0.0,-0.115,94.657999,-36.917999,57.740002,0.0,,,57.74,0.0,57.740002,0.0,,57.740002,57.740002,,598.212003,0.097778,0.097778,0.097778,598.212003,0.097778,0.097778,0.097778,
06/30/1992,367.475006,,,,,,,-336.389008,,,,,,,31.086,-0.013,,,0.0,0.013,31.073,-11.81,19.263,0.0,,,19.263,0.0,19.263,0.0,,19.263,19.263,,595.346632,0.032593,0.032593,,595.346632,0.032593,0.032593,0.032593,
09/30/1992,431.946991,,,,,,,-355.037994,,,,,,,76.908997,-1.154,,,0.0,1.154,75.754997,-28.785,46.970001,0.0,,,46.969997,0.0,46.970001,0.0,,46.970001,46.970001,,572.109776,0.082963,0.082963,,572.109776,0.082963,0.082963,0.082963,
12/31/1992,501.524994,,,,,,,-377.286011,,,,,,,124.238998,-2.71,,,0.0,2.71,121.528998,-41.32,80.209,0.0,,,80.208999,0.0,80.209,0.0,,80.209,80.209,,565.85586,0.142222,0.142222,,565.85586,0.142222,0.142222,0.142222,
03/31/1993,540.060974,,,,,,,-384.096985,,,,,,,155.964005,-0.658,,,0.0,0.658,155.306005,-56.203999,99.101997,0.0,,,99.102006,0.0,99.101997,0.0,,99.101997,99.101997,,583.837868,0.168889,0.168889,0.168889,583.837868,0.168889,0.168889,0.168889,
06/30/1993,423.381989,,,,,,,-373.936005,,,,,,,49.445999,-1.4,,,0.0,1.4,48.045999,-17.297001,30.749001,0.0,,,30.748998,0.0,30.749001,0.0,,30.749001,30.749001,,579.723764,0.053333,0.053333,,579.723764,0.053333,0.053333,0.053333,
09/30/1993,516.968018,,,,,,,-379.372986,,,,,,,137.595001,-0.817,,,0.0,0.817,136.778001,-49.240002,87.538002,0.0,,,87.538,0.0,87.538002,0.0,,87.538002,87.538002,,579.511127,0.151111,0.151111,,579.511127,0.151111,0.151111,0.151111,
12/31/1993,574.380005,,,,,,,-380.274994,,,,,,,194.104996,0.051,,,0.0,-0.051,194.155996,-69.968002,124.188004,0.0,,,124.187993,0.0,124.188004,0.0,,124.188004,124.188004,,580.284016,0.213333,0.213333,,580.284016,0.213333,0.213333,0.213333,
03/31/1994,633.73999,,,,,,,-386.097992,,,,,,,247.641998,0.35,,,0.0,-0.35,247.991998,-89.205002,158.787003,0.0,,,158.786996,0.0,158.787003,0.0,,158.787003,158.787003,,573.446263,0.275556,0.275556,0.275556,573.446263,0.275556,0.275556,0.275556,
06/30/1994,476.631012,,,,,,,-366.088013,,,,,,,110.542999,-248.574005,,,0.0,248.574005,-138.031006,52.452,-85.579002,0.0,,,-85.579006,0.0,-85.579002,0.0,,-85.579002,-85.579002,,546.392241,-0.157037,-0.157037,,546.392241,-0.157037,-0.157037,-0.157037,
09/30/1994,623.340027,,,,,,,-410.134003,,,,,,,213.205994,-2.924,,,0.0,2.924,210.281994,-79.906998,130.375,0.0,,,130.374996,0.0,130.375,0.0,,130.375,130.375,,567.668243,0.231111,0.231111,,567.668243,0.231111,0.231111,0.231111,
12/31/1994,721.031982,,,,,,,-437.5,,,,,,,283.532013,-2.554,,,0.0,2.554,280.978013,-106.772003,174.205994,0.0,,,174.20601,0.0,174.205994,0.0,,174.205994,174.205994,,566.25075,0.308148,0.308148,,566.25075,0.308148,0.308148,0.308148,
03/31/1995,801.989014,,,,,,,-455.294006,,,,,,,346.695007,-3.305,,,0.0,3.305,343.390007,-130.488007,212.901993,0.0,,,212.902,0.0,212.901993,0.0,,212.901993,212.901993,,566.692865,0.376296,0.376296,0.376296,566.692865,0.376296,0.376296,0.376296,
06/30/1995,577.452026,,,,,,,-435.522003,,,,,,,141.929993,-1.376,,,0.0,1.376,140.553993,-52.005001,88.549004,0.0,,,88.548992,0.0,88.549004,0.0,,88.549004,88.549004,,568.505247,0.157037,0.157037,0.157037,568.505247,0.157037,0.157037,0.157037,
09/30/1995,812.315979,,,,,,,-521.474976,,,,,,,290.841003,-1320.754028,,,0.0,1320.754028,-1029.913025,392.733002,-637.179993,0.0,,,-637.180023,0.0,-637.179993,0.0,,-637.179993,-637.179993,,543.102745,-1.173333,-1.173333,-1.173333,543.102745,-1.173333,-1.173333,-1.173333,
