Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
08/27/1989,24.200001,-21.9,43.900002,-0.7,,,-0.7,2.9,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/26/1989,6.5,2.4,44.299999,1.3,,,1.3,-41.5,,,-41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/25/1990,7.0,-10.2,45.5,-2.0,,,-2.0,-26.299999,,,-26.299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/27/1990,76.699997,4.7,46.200001,-5.3,,,-5.3,31.1,,,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,76.699997,,,
08/26/1990,-11.6,-165.5,45.799999,144.699997,,,144.699997,-36.599998,,,-36.599998,,,-40.599998,,,,-40.599998,,,,,,,,,,40.599998,,,,,,,,,,,,
11/25/1990,42.099998,3.5,45.0,-2.1,,,-2.1,-4.3,,,-4.3,,,-25.4,,,,-25.4,,,,,,,,,,25.4,,,,,,,,,,,,
02/24/1991,24.5,5.0,45.700001,-18.0,,,-18.0,-8.2,,,-8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/26/1991,70.900002,5.6,45.400002,-96.400002,,,-96.400002,116.300003,,,116.300003,,,,,,,,,,,,,,,,,,,,,,,,,,70.900002,,,
08/25/1991,-16.1,-168.0,42.700001,150.199997,,,150.199997,-41.0,,,-41.0,,,-22.299999,,,,-22.299999,,,,,,,,,,22.299999,,,,,,,,,,,,
11/24/1991,29.1,5.9,44.200001,0.0,,,0.0,-21.0,,,-21.0,,,-30.700001,,,,-30.700001,,,,,,,,,,30.700001,,,,,,,,,,,,
02/23/1992,17.700001,14.5,42.900002,0.2,,,0.2,-39.900002,,,-39.900002,,,-43.099998,,,,-43.099998,,,,,,,,,,43.099998,,,,,,,,,,,,
05/31/1992,105.300003,27.5,37.200001,-114.699997,,,-114.699997,155.300003,,,155.300003,,-86.900002,-86.900002,,,,-86.900002,,,,,,,,,,0.0,,,,,,,,,18.400001,,,
08/30/1992,-9.1,21.9,40.900002,0.0,,,0.0,-71.900002,,,-71.900002,,,-44.799999,,,,-44.799999,,,,,,,,,,44.799999,,,,,,,,,,,,
11/29/1992,40.400002,35.299999,37.799999,-0.8,,,-0.8,-31.9,,,-31.9,,,-41.099998,,,,-41.099998,,,,,,,,,,41.099998,,,,,,,,,,,,
02/28/1993,59.400002,26.9,40.099998,14.2,,,14.2,-21.799999,,,-21.799999,,,-50.099998,,,,-50.099998,,,,,,,,,,50.099998,,,,,,,,,,,,
05/30/1993,143.300003,46.200001,41.0,-8.2,,,-8.2,64.300003,,,64.300003,,-97.900002,-97.900002,,,,-97.900002,,,,,,,,,,0.0,,,,,,,,,45.400001,,,
08/29/1993,55.200001,57.099998,39.5,-3.6,,,-3.6,-37.799999,,,-37.799999,,,-48.200001,,,,-48.200001,,,,,,,,,,48.200001,,,,,,,,,,,,
11/28/1993,139.5,60.700001,42.299999,0.7,,,0.7,35.799999,,,35.799999,,,-57.400002,,,,-57.400002,,,,,,,,,,57.400002,,,,,,,,,,,,
02/27/1994,52.900002,63.799999,44.299999,-0.1,,,-0.1,-55.099998,,,-55.099998,,,-53.299999,,,,-53.299999,,,,,,,,,,53.299999,,,,,,,,,,,,
05/29/1994,185.0,82.400002,47.700001,-5.0,,,-5.0,59.900002,,,59.900002,,-111.800003,-111.800003,,,,-111.800003,,,,,,,,,,0.0,,,,,,,,,73.199997,,,
08/28/1994,34.599998,59.0,40.099998,7.2,,,7.2,-71.699997,,,-71.699997,,,-54.700001,,,,-54.700001,,,,,,,,,,54.700001,,,,,,,,,,,,
11/27/1994,74.599998,67.0,44.200001,-42.799999,,,-42.799999,6.2,,,6.2,,,-104.400002,,,,-104.400002,,,,,,,,,,104.400002,,,,,,,,,,,,
02/26/1995,59.799999,57.0,47.299999,-22.1,,,-22.1,-22.4,,,-22.4,,,-79.199997,,,,-79.199997,,,,,,,,,,79.199997,,,,,,,,,,,,
05/28/1995,259.799988,81.199997,53.799999,20.299999,,,20.299999,104.5,,,104.5,,-240.5,-240.5,,,,-240.5,,,,,,,,,,0.0,,,,,,,,,19.299988,,,
08/27/1995,-13.7,73.5,51.700001,4.5,,,4.5,-143.399994,,,-143.399994,,,-110.0,,,,-110.0,,,,,,,,,,110.0,,,,,,,,,,,,
11/26/1995,144.199997,79.800003,57.099998,6.1,,,6.1,1.2,,,1.2,,,-167.300003,,,,-167.300003,,,,,,,,,,167.300003,,,,,,,,,,,,
02/25/1996,44.799999,23.0,60.599998,5.0,,,5.0,-43.799999,,,-43.799999,,,-145.800003,,,,-145.800003,,,,,,,,,,145.800003,,,,,,,,,,,,
05/26/1996,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/25/1996,-34.799999,-205.699997,65.300003,196.399994,,,196.399994,-90.800003,,,-90.800003,,,-105.199997,,,,-105.199997,,,,,,,,,,105.199997,,,,,,,,,,,,
11/24/1996,151.600006,26.1,65.800003,93.900002,,,93.900002,-34.200001,,,-34.200001,,,-134.800003,,,,-134.800003,,,,,,,,,,134.800003,,,,,,,,,,,,
02/23/1997,175.0,200.199997,61.299999,-202.199997,,,-202.199997,115.699997,,,115.699997,,,-216.100006,,,,-216.100006,,,,,,,,,,216.100006,,,,,,,,,,,,
05/25/1997,,-19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/24/1997,62.799999,62.599998,56.799999,14.1,,,14.1,-70.699997,,,-70.699997,,-257.899994,-196.300003,0.0,,,-196.300003,,,0.0,0.0,0.0,,,,,-61.599991,22.599999,0.0,-1.2,23.799999,23.799999,0.0,0.0,,-172.5,,,
11/23/1997,115.900002,28.9,72.300003,36.700001,,,36.700001,-22.0,,,-22.0,,-139.100006,-170.0,0.0,,,-170.0,,,0.0,0.0,0.0,,,,,30.899994,14.7,0.0,-4.8,19.5,19.5,0.0,0.0,,-8.5,,,
