Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2007,20712,596.0,596.0,0.0,769.0,769.0,,156.0,95.0,0.0,61.0,95.0,95,,,,,1616,12415,15760.0,-3345.0,0.0,,6681,3527.0,3527.0,0.0,1707.0,1447,19096,,305.0,305.0,,,,1281.0,1281.0,0.0,0.0,,793,,,,793,2379,7723,7723.0,0.0,0.0,4435,,,,,4435,12158,14537,0.0,4589.0,,,0,71.0,946,5606,569.0,6175,20712,
06/30/2007,21764,529.0,529.0,0.0,701.0,701.0,,278.0,,0.0,178.0,100.0,107,,,,,1615,13176,16725.0,-3549.0,0.0,,6973,3755.0,3755.0,0.0,1742.0,1476,20149,,343.0,343.0,,,,1544.0,1544.0,0.0,0.0,,898,,,,898,2785,7734,7734.0,0.0,0.0,4481,,,,,4481,12215,15000,0.0,4602.0,,,0,119.0,1449,6170,594.0,6764,21764,
09/30/2007,22859,338.0,135.0,203.0,696.0,696.0,,444.0,109.0,0.0,335.0,0.0,117,,,,,1595,13977,17749.0,-3772.0,0.0,,7287,3977.0,3977.0,0.0,1734.0,1576,21264,,227.0,227.0,,,,910.0,910.0,0.0,0.0,,859,,,,859,1996,8593,8593.0,0.0,0.0,4771,,,,,4771,13364,15360,0.0,4617.0,,,0,217.0,1875,6709,790.0,7499,22859,
12/31/2007,22970,94.0,94.0,,907.0,907.0,,287.0,,,179.0,108.0,91,,,,,1379,14300,18154.0,-3854.0,,,7291,3948.0,3948.0,0.0,1780.0,1563,21591,,363.0,363.0,,,,1053.0,,,,,1006,,,,1006,2422,8345,,,,4540,,,,,4540,12885,15307,,4659.0,,,0,368.0,1830,6857,806.0,7663,22970,
03/31/2008,23112,266.0,252.0,14.0,994.0,994.0,,131.0,,0.0,38.0,93.0,139,,,,,1530,14168,18109.0,-3941.0,0.0,,7414,3864.0,3864.0,0.0,1966.0,1584,21582,,376.0,376.0,,,,1231.0,1231.0,0.0,0.0,,1149,,,,1149,2756,8080,8080.0,0.0,0.0,4523,,,,,4523,12603,15359,0.0,4675.0,,,0,589.0,1681,6945,808.0,7753,23112,
06/30/2008,23400,135.0,89.0,46.0,874.0,874.0,,216.0,,0.0,120.0,96.0,294,,,,,1519,14543,18616.0,-4073.0,0.0,,7338,3880.0,3880.0,0.0,1924.0,1534,21881,,468.0,468.0,,,,1256.0,,,,,1143,,,,1143,2867,8490,,,,4554,,,,,4554,13044,15911,0.0,4406.0,,,0,738.0,1725,6869,620.0,7489,23400,
09/30/2008,23507,281.0,281.0,0.0,795.0,795.0,,470.0,,0.0,378.0,92.0,272,,,,,1818,14361,18490.0,-4129.0,0.0,,7328,3767.0,3767.0,0.0,2089.0,1472,21689,,349.0,349.0,,,,1134.0,1134.0,0.0,0.0,,1072,,,,1072,2555,9369,9369.0,0.0,0.0,4461,,,,,4461,13830,16385,0.0,4099.0,,,0,882.0,1440,6421,701.0,7122,23507,
12/31/2008,21924,214.0,214.0,0.0,795.0,795.0,,279.0,,0.0,196.0,83.0,162,,,,,1450,13639,17569.0,-3930.0,0.0,,6835,3381.0,3381.0,0.0,2152.0,1302,20474,,285.0,285.0,,,,1757.0,,,,,1002,,,,1002,3044,8290,,,,4355,,,,,4355,12645,15689,0.0,4105.0,,,0,899.0,536,5540,695.0,6235,21924,
03/31/2009,21417,221.0,221.0,0.0,727.0,727.0,0.0,136.0,0.0,0.0,56.0,80.0,140,,,,114.0,1224,13411,17381.0,-3970.0,0.0,,6782,3294.0,3294.0,0.0,2327.0,1161,20193,,524.0,248.0,121.0,155.0,,1197.0,405.0,,,792.0,638,,22.0,2862.0,638,2359,8031,8031.0,,,4338,,,,,1454,12369,14728,225.0,4622.0,1.0,4621.0,0,1034.0,331,6212,477.0,6689,21417,
06/30/2009,22658,301.0,301.0,0.0,565.0,565.0,0.0,229.0,0.0,0.0,143.0,86.0,136,,,,103.0,1231,14285,18512.0,-4227.0,0.0,,7142,3654.0,3654.0,0.0,2214.0,1274,21427,,575.0,260.0,145.0,170.0,,979.0,0.0,,,979.0,771,,18.0,2952.0,771,2325,8605,8605.0,,,4512,,,,,1542,13117,15442,225.0,4665.0,1.0,4664.0,0,1012.0,770,6672,544.0,7216,22658,
