Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2006,1140.4,,,-626.0,,514.4,,-177.3,,,,337.1,42.8,1.1,1.1,,-14.2,,-29.7,379.9,-121.8,258.1,0.0,,,258.1,0.0,258.1,0.0,0.0,258.1,258.1,,763.9,0.34,0.34,0.35,764.0,0.34,0.34,0.35,
12/31/2006,1173.2,,,-651.1,,522.1,0.0,-186.9,186.9,,0.0,335.2,-28.7,32.2,51.5,-19.3,0.0,,-3.5,306.5,-89.3,217.2,0.0,,,217.2,0.0,217.2,0.0,0.0,217.2,217.2,,766.2,0.28,0.28,0.28,782.3,0.28,0.28,0.28,
03/31/2007,1131.0,,,-645.6,,485.4,,-180.8,,,,304.6,-22.5,28.5,48.0,-19.5,0.0,,-6.0,282.1,-88.9,193.2,0.0,,,193.2,0.0,193.2,0.0,0.0,193.2,193.2,,768.2,0.25,0.25,0.25,783.3,0.25,0.25,0.25,
06/30/2007,1202.9,,,-687.9,,515.0,,-192.3,,,,322.7,-24.5,27.7,46.8,-19.1,0.0,,-3.2,298.2,-93.7,204.5,0.0,,,204.5,0.0,204.5,0.0,0.0,204.5,204.5,,764.8,0.27,0.27,0.27,779.0,0.26,0.26,0.26,
09/30/2007,1257.2,,,-722.2,,535.0,,-204.9,,,,330.1,-23.2,26.8,47.1,-20.3,-2.0,,-1.6,306.9,-90.6,216.3,0.0,,,216.3,0.0,216.3,0.0,0.0,216.3,216.3,19.68,757.5,0.29,0.29,0.3,767.4,0.28,0.28,0.29,
12/31/2007,1309.1,,,-752.7,,556.4,0.0,-191.8,191.8,,0.0,364.6,-29.4,26.6,47.1,-20.5,0.0,,2.8,335.2,-91.9,243.3,0.0,,,243.3,0.0,243.3,0.0,0.0,243.3,243.3,,749.5,0.32,0.32,0.32,761.7,0.32,0.32,0.32,
03/31/2008,1265.9,,,-758.6,,507.3,,-198.0,,,,309.3,-16.8,27.3,45.0,-17.7,0.0,,-10.5,292.5,-85.4,207.1,0.0,,,207.1,0.0,207.1,0.0,0.0,207.1,207.1,15.1,746.7,0.28,0.28,0.3,756.8,0.27,0.27,0.29,
06/30/2008,1347.1,,,-799.4,,547.7,,-211.5,,,,336.2,-28.2,30.6,43.3,-12.7,0.0,,-2.4,308.0,-76.5,231.5,0.0,,,231.5,0.0,231.5,0.0,0.0,231.5,231.5,12.7,736.5,0.31,0.31,0.33,747.5,0.31,0.31,0.33,
09/30/2008,1377.4,,,-785.6,,591.8,,-216.6,,,,375.2,-42.2,31.7,40.4,-8.7,0.0,,10.5,333.0,-92.2,240.8,0.0,,,240.8,0.0,240.8,0.0,0.0,240.8,240.8,2.5,724.9,0.33,0.33,0.33,737.2,0.33,0.33,0.33,
12/31/2008,1291.6,,,-749.4,,542.2,0.0,-207.9,207.9,,0.0,334.3,-29.1,36.4,42.5,-6.1,0.0,,-7.3,305.2,-65.6,239.6,0.0,,,239.6,0.0,239.6,0.0,0.0,239.6,239.6,,712.5,0.34,0.34,0.37,713.8,0.34,0.34,0.37,
03/31/2009,1201.2,958.5,242.7,-669.1,669.1,532.1,0.0,-191.2,191.2,,0.0,340.9,-35.7,36.3,40.0,-3.7,,,-0.6,305.2,-81.3,223.9,0.0,0.0,0.0,223.9,,223.9,0.0,0.0,223.9,223.9,0.0,707.1,0.32,0.32,0.32,708.0,0.32,0.32,0.32,
06/30/2009,1254.3,999.9,254.4,-700.3,700.3,554.0,0.0,-212.3,212.3,,0.0,341.7,-46.0,37.0,39.8,-2.8,,,9.0,295.7,-75.5,220.2,0.0,0.0,0.0,220.2,,220.2,0.0,0.0,220.2,220.2,0.0,700.6,0.31,0.31,0.31,702.7,0.31,0.31,0.31,
09/30/2009,1314.1,1040.0,274.1,-742.6,742.6,571.5,0.0,-290.0,290.0,,0.0,281.5,-35.0,37.4,39.3,-1.9,,,-2.4,246.5,-65.5,181.0,0.0,0.0,0.0,181.0,,181.0,,0.0,181.0,181.0,0.0,698.4,0.26,0.26,0.26,701.6,0.26,0.26,0.26,
12/31/2009,1314.0,1037.8,276.2,-762.9,762.9,551.1,0.0,-232.5,232.5,,0.0,318.6,-34.5,37.8,38.8,-1.0,,,-3.3,284.1,-60.4,223.7,0.0,0.0,0.0,223.7,,223.7,,0.0,223.7,223.7,0.0,689.8,0.32,0.32,0.32,693.2,0.32,0.32,0.32,
03/31/2010,1232.7,965.7,267.0,-714.6,714.6,518.1,0.0,-202.3,202.3,,0.0,315.8,-39.8,37.9,38.8,-0.9,,,1.9,276.0,-68.1,207.9,0.0,0.0,0.0,207.9,,207.9,0.0,0.0,207.9,207.9,0.0,681.9,0.3,0.3,0.3,684.2,0.3,0.3,0.3,
06/30/2010,1273.4,995.5,277.9,-727.7,727.7,545.7,0.0,-234.7,234.7,,0.0,311.0,-38.7,40.6,41.1,-0.5,,,-1.9,272.3,-51.3,221.0,0.0,0.0,0.0,221.0,0.0,221.0,0.0,0.0,221.0,243.4,22.4,669.3,0.33,0.33,0.363664,671.6,0.33,0.33,0.363353,
09/30/2010,1329.6,1036.1,293.5,-752.6,752.6,577.0,0.0,-225.8,225.8,,0.0,351.2,-42.6,44.3,44.8,-0.5,,,-1.7,308.6,-70.2,238.4,0.0,0.0,0.0,238.4,,238.4,,0.0,238.4,247.9,9.5,659.1,0.36,0.36,0.376119,661.3,0.36,0.36,0.374366,
