Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2005,3247.049,1084.748,359.992,724.756,299.32,299.32,,0.0,0.0,0.0,0.0,0.0,535.813,,,,,,1919.881,233.682,573.831,-340.149,194.855,,,898.631,521.801,207.982,313.819,,376.83,1327.168,,199.152,199.152,,,,0.0,,,,,,1034.687,,,1034.687,1233.839,229.536,,,,,740.927,,,,740.927,970.463,2204.302,0.0,968.368,,,0.0,-27.91,97.669,1038.127,4.62,1042.747,3247.049,
06/30/2005,3347.924,1262.738,520.081,742.657,324.589,324.589,,0.0,0.0,0.0,0.0,0.0,451.374,,,,,,2038.701,230.72,579.825,-349.105,194.855,,,883.648,489.578,196.224,293.354,,394.07,1309.223,,177.891,177.891,,,,0.0,,,,,,1043.687,,,1043.687,1221.578,229.476,,,,,763.722,,,,763.722,993.198,2214.776,0.0,968.368,,,0.0,92.338,67.822,1128.528,4.62,1133.148,3347.924,
09/30/2005,3670.362,1391.558,530.988,860.57,368.594,368.594,,0.0,0.0,0.0,0.0,0.0,491.421,,,,,,2251.573,227.879,583.61,-355.731,194.403,,,996.507,486.411,201.334,285.077,,510.096,1418.789,,182.207,182.207,,,,0.0,,,,,,1248.588,,,1248.588,1430.795,229.46,,,,,770.062,,,,770.062,999.522,2430.317,0.0,974.619,,,0.0,198.423,62.383,1235.425,4.62,1240.045,3670.362,
12/31/2005,3700.544,1281.892,545.273,736.619,347.754,347.754,,0.0,0.0,0.0,0.0,0.0,598.252,,,,,,2227.898,230.614,603.933,-373.319,194.403,,,1047.629,470.555,196.701,273.854,,577.074,1472.646,,185.021,185.021,,,,0.0,,,,,,1371.682,,,1371.682,1556.703,229.489,,,,,740.584,,,,740.584,970.073,2526.776,0.0,974.619,,,0.0,145.515,49.014,1169.148,4.62,1173.768,3700.544,
03/31/2006,3710.961,1306.976,494.792,812.184,324.473,324.473,,,,,,,614.62,,,,,,2246.069,226.764,608.976,-382.212,193.94,,,1044.188,472.393,201.835,270.558,,571.795,1464.892,,173.271,173.271,,,,,,,,,,1244.964,,,1244.964,1418.235,229.551,,,,,750.848,,,,750.848,980.399,2398.634,,974.619,,,0.0,272.259,60.829,1307.707,4.62,1312.327,3710.961,
06/30/2006,4641.939,2081.272,1209.856,871.416,410.321,410.321,,0.0,0.0,0.0,0.0,0.0,670.175,,,,,,3161.768,227.9,,,193.94,,,1058.331,480.441,208.131,272.31,,577.89,1480.171,,202.816,202.816,,,,0.0,,,,,,1360.607,,,1360.607,1563.423,229.58,,,,,727.31,,,,727.31,956.89,2520.313,0.0,3302.312,,,0.0,-1263.102,77.796,2117.006,4.62,2121.626,4641.939,
09/30/2006,4871.95,2324.414,1421.139,903.275,444.946,444.946,,0.0,0.0,0.0,0.0,0.0,589.086,,,,,,3358.446,240.315,454.845,-214.53,193.465,,,1079.724,478.996,210.308,268.688,,600.728,1513.504,,193.153,193.153,,,,0.0,,,,,,1361.534,,,1361.534,1554.687,229.588,,,,,762.867,,,,762.867,992.455,2547.142,0.0,3296.712,,,0.0,-1070.098,93.574,2320.188,4.62,2324.808,4871.95,
12/31/2006,5082.47,2483.921,1185.08,1298.841,451.261,451.261,,0.0,0.0,0.0,0.0,0.0,642.047,,,,,,3577.229,252.731,473.451,-220.72,193.477,,193.477,1059.033,488.386,217.013,271.373,,570.647,1505.241,,278.656,278.656,,,,9.0,0.0,9.0,9.0,,,1523.934,,,1523.934,1811.59,229.668,176.668,53.0,53.0,,672.233,,,,672.233,901.901,2713.491,0.0,3289.893,,,0.0,-1029.196,103.662,2364.359,4.62,2368.979,5082.47,
03/31/2007,5206.153,2509.169,1209.819,1299.35,450.372,450.372,,,,,,,649.006,,,,,,3608.547,258.032,485.295,-227.263,192.989,,,1146.585,502.097,220.291,281.806,,644.488,1597.606,,231.443,231.443,,,,,,,,,,1380.3,,,1380.3,1611.743,229.685,,,,,758.859,,,,758.859,988.544,2600.287,,3275.364,,,0.0,-793.115,118.997,2601.246,4.62,2605.866,5206.153,
06/30/2007,5606.549,2830.585,1520.323,1310.262,480.939,480.939,,0.0,0.0,0.0,0.0,0.0,677.01,,,,,,3988.534,269.985,506.231,-236.246,192.989,,,1155.041,508.832,222.543,286.289,,646.209,1618.015,,236.662,236.662,,,,80.0,,,,,,1510.954,,,1510.954,1827.616,149.647,,,,,770.67,,,,770.67,920.317,2747.933,0.0,3268.471,,,0.0,-540.83,126.355,2853.996,4.62,2858.616,5606.549,
