Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/1989,-95.663002,15.265,2.005,9.204,,,9.204,-122.137001,,,-122.137001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1989,-25.684,15.644,1.938,-12.454,,,-12.454,-30.812,,,-30.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1989,-11.386,15.468,2.599,11.359,,,11.359,-40.812,,,-40.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1990,150.962006,15.626,2.285,-26.646,,,-26.646,159.697006,,,159.697006,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.962006,,,
06/30/1990,9.204,16.469999,3.732,3.129,,,3.129,-14.127,,,-14.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,27.790001,14.6,3.76,-2.265,,,-2.265,11.695,,,11.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,-15.682,8.305,3.834,11.504,,,11.504,-39.325001,,,-39.325001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,92.711998,4.23,4.1,11.061,,,11.061,73.320999,,,73.320999,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.711998,,,
06/30/1991,126.129997,5.787,3.907,-6.319,,,-6.319,122.754997,,,122.754997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,22.415001,9.23,4.031,-2.059,,,-2.059,11.213,,,11.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,-16.572001,10.168,3.917,-2.763,,,-2.763,-27.893999,,,-27.893999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,18.625,9.372,3.566,6.139,,,6.139,-0.452,,,-0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.625,,,
06/30/1992,-54.728001,10.002,3.748,-7.62,,,-7.62,-60.858002,,,-60.858002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,26.971001,18.104,4.044,-0.997,,,-0.997,5.82,,,5.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,-10.439,17.645,3.928,5.652,,,5.652,-37.664001,,,-37.664001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,37.112999,15.287,4.436,6.63,,,6.63,10.76,,,10.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.112999,,,
06/30/1993,-48.317001,17.006001,4.513,-23.785999,,,-23.785999,-46.049999,,,-46.049999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,57.867001,22.846001,4.838,8.012,,,8.012,22.171,,,22.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,-69.318001,23.586,5.082,-5.753,,,-5.753,-92.233002,,,-92.233002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1994,3.734,21.724001,5.207,-7.669,,,-7.669,-15.528,,,-15.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.734,,,
06/30/1994,-5.57,53.397999,2.023,-13.344,,,-13.344,-47.646999,,,-47.646999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,-10.333,16.900999,2.07,-4.382,,,-4.382,-24.922001,,,-24.922001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,-78.708,13.057,-1.155,-9.336,,,-9.336,-81.274002,,,-81.274002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1995,274.308014,8.892,3.5,4.289,,,4.289,257.627014,,,257.627014,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.308014,,,
06/30/1995,-118.289001,7.873,3.165,-10.498,,,-10.498,-118.829002,,,-118.829002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1995,3.145,14.551,3.159,-4.436,,,-4.436,-10.129,,,-10.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1995,-28.341,15.156,3.072,-8.604,,,-8.604,-37.965,,,-37.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1996,28.886,15.785,3.103,-0.703,,,-0.703,10.701,,,10.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.886,,,
06/30/1996,49.473999,21.819,3.093,0.223,,,0.223,24.339001,,,24.339001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1996,154.360001,28.24,3.302,11.478,,,11.478,111.339996,,,111.339996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1996,-54.370998,27.462999,3.456,10.232,,,10.232,-95.522003,,,-95.522003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1997,108.044998,29.041,3.661,29.142,,,29.142,46.201,,,46.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1997,-178.932007,27.01,5.633,-13.804,,,-13.804,-197.770996,,,-197.770996,-11.439,-12.254,0.0,,,-12.254,,,0.0,0.0,0.0,,,,,0.815,201.253007,-1.459,197.098007,,,,5.614,5.614,0.0,0.0,,10.882,,,
09/30/1997,17.773001,36.390999,6.167,18.471001,,,18.471001,-43.256001,,,-43.256001,-5.067,-12.131,0.0,,,-12.131,,,0.0,0.0,0.0,,,,,7.064,15.844,-2.074,7.85,,,,10.068,10.068,0.0,0.0,,28.549999,,,
12/31/1997,-77.907997,37.380001,6.465,7.964,,,7.964,-129.716995,,,-129.716995,-9.744,-9.209,0.0,,,-9.209,,,0.0,0.0,0.0,,,,,-0.535001,106.399002,-2.079,107.705002,,,,0.773,0.773,0.0,0.0,,18.747,,,
03/31/1998,-193.606003,44.025002,7.373,-19.452999,,,-19.452999,-225.550995,,,-225.550995,-10.971,-3.28,0.0,,,-3.28,,,0.0,0.0,0.0,,,,,-7.691,213.393997,-2.382,185.878998,,,,2.128,2.128,0.0,27.768999,,8.817,,,
06/30/1998,-290.927002,48.160999,9.096,-82.227997,,,-82.227997,-265.955994,,,-265.955994,-46.563,-0.3,0.0,,,-0.3,,,0.0,0.0,0.0,,,,,-46.263,340.74199,-2.381,345.61499,,,,-2.492,1.052,-3.544,0.0,,3.252,,,
09/30/1998,30.045,56.563,10.682,12.189,,,12.189,-49.389,,,-49.389,-22.771999,-18.365,0.0,,,-18.365,,,0.0,0.0,0.0,,,,,-4.407,-14.69,-2.385,-6.256,,,,-6.049,5.091,-11.14,0.0,,-7.417,,,
12/31/1998,-325.934998,59.042999,7.402,-44.035999,,,-44.035999,-348.343994,,,-348.343994,-28.062,-16.171,0.0,,,-16.171,,,0.0,0.0,0.0,,,,,-11.891001,371.685013,-2.377,376.851013,,,,-2.789,1.576,-4.365,0.0,,17.688,,,
03/31/1999,332.669006,68.195,8.992,83.486,,,83.486,171.996002,,,171.996002,-130.319,-17.617001,0.0,,,-17.617001,,,0.0,0.0,0.0,,,,,-112.702,-202.921002,-2.377,-195.899002,,,,-4.645,1.763,-6.408,0.0,,-0.571,,,
06/30/1999,-119.992996,58.436001,10.416,-26.18,,,-26.18,-162.664993,,,-162.664993,-16.931,-18.452999,0.0,,,-18.452999,,,0.0,0.0,0.0,,,,,1.521999,130.988996,-2.382,132.882996,,,,0.559,3.838,-3.279,-0.071,,-5.935,,,
09/30/1999,123.934998,65.495003,11.569,-47.842999,,,-47.842999,94.713997,,,94.713997,-118.668999,-12.05,0.0,,,-12.05,,,0.0,0.0,0.0,,,,,-106.618999,12.840993,-2.373,22.985992,,,,-7.811,3.32,-11.131,0.039,,18.107,,,
12/31/1999,342.897003,63.175999,12.853,-310.835999,,,-310.835999,577.703979,,,577.703979,-26.653999,-24.716999,0.0,,,-24.716999,,,0.0,0.0,0.0,,,,,-1.937,-277.970012,-2.379,-267.283012,,,,-8.292,6.33,-14.622,-0.016,,38.272999,,,
03/31/2000,514.791992,70.025002,14.133,227.593994,,,227.593994,203.039993,,,203.039993,-30.274,-32.546001,0.0,,,-32.546001,,,0.0,0.0,0.0,,,,,2.272001,-504.790002,-2.352,-493.246002,,,,-9.144,6.125,-15.269,-0.048,,-20.271999,,,
06/30/2000,-632.169983,48.205002,13.447,-27.846001,,,-27.846001,-665.976013,,,-665.976013,-45.212002,-19.077999,0.0,,,-19.077999,,,0.0,0.0,0.0,,,,,-26.134003,707.047022,-2.352,708.223022,,,,0.294,1.078,-0.784,0.882,,29.665001,,,
09/30/2000,-343.945007,59.094002,13.58,-33.584999,,,-33.584999,-383.033997,,,-383.033997,-11.875,-11.977,0.0,,,-11.977,,,0.0,0.0,0.0,,,,,0.102,380.499994,-2.362,125.461998,,,,4.185,4.185,0.0,253.214996,,24.68,,,
12/31/2000,-403.825989,68.467003,17.690001,-18.712999,,,-18.712999,-471.269989,,,-471.269989,-461.850006,-15.231,0.0,,,-15.231,,,0.0,0.0,0.0,,,,,-446.619006,740.340974,-2.365,994.302979,,,,1.742,1.742,0.0,-253.339005,,-125.334999,,,
03/31/2001,1603.625977,106.210999,-4.208,-51.012001,,,-51.012001,1552.63501,,,1552.63501,-1905.932007,-6.156,0.0,,,-6.156,,,0.0,0.0,0.0,,,,,-1899.776007,295.19498,-2.393,278.50798,,,,19.837999,19.837999,0.0,-0.758,,-7.111,,,
06/30/2001,-447.83,75.216,21.365,-42.76,,3.475,-46.235,-501.651,-278.011,3.842,-227.482,-227.932,-25.037,,,,-25.037,,,,,,,,,,-202.895,707.725,,696.204,,,,11.521,11.521,,,,31.963,10.0,28.1,
09/30/2001,-403.598999,93.389,22.518999,-11.611,,,-11.611,-507.895996,,,-507.895996,-69.164001,-20.962999,0.0,,,-20.962999,,,0.0,0.0,0.0,,,,,-48.201002,447.501976,-2.431,439.174976,,,,3.297,9.908,-6.611,7.461,,-25.261,,,
12/31/2001,515.353027,96.144997,22.586,-47.27,,,-47.27,443.891998,,,443.891998,-1009.072021,-3.825,0.0,,,-3.825,,,0.0,0.0,0.0,,,,,-1005.247021,478.802023,-2.43,475.375023,,,,13.318,13.318,0.0,-7.461,,-14.917,,,
03/31/2002,1643.82605,117.475998,24.188999,-395.859009,,,-395.859009,1898.02002,,,1898.02002,-1557.31897,-10.558,0.0,,,-10.558,,,0.0,0.0,0.0,,,,,-1546.76097,86.083098,-2.447,78.600098,,,,9.93,9.93,0.0,0.0,,172.589996,,,
06/30/2002,-302.217,87.755,23.726,28.865,,-5.133,33.998,-442.563,-5.931,-345.553,-91.079,-296.809,-27.661,0.0,,,-27.661,,,0.0,0.0,0.0,,,,,-269.148,432.804,-2.463,437.735,,,,-2.468,2.515,-4.983,0.0,,-166.222,37.131,68.242,
09/30/2002,-21.37,115.609,23.326,40.732,,34.251,6.481,-201.037,-43.086,-236.143,78.192,-359.362,-20.422,0.0,,,-20.422,,,0.0,0.0,0.0,,,,,-338.94,389.541,-2.424,408.994,,,,-17.029,6.924,-23.953,0.0,,8.809,8.02,19.736,
12/31/2002,19.745001,155.884003,23.746,61.123001,,,61.123001,-221.007996,,,-221.007996,-376.324005,-2.867,0.0,,,-2.867,,,0.0,0.0,0.0,,,,,-373.457005,350.065973,-2.422,360.312973,,,,-7.825,1.72,-9.545,0.0,,-6.513,143.595993,92.280998,
03/31/2003,300.263,196.671,42.415,-61.036,,-5.431,-55.605,122.213,-108.945,-155.134,386.292,-513.493,-11.751,0.0,,,-11.751,,,0.0,0.0,0.0,,,,,-501.742,623.026,-2.434,620.878,,,,4.582,4.582,,0.0,,409.796,15.621,138.348,
06/30/2003,-318.884,142.79,29.961,10.547,,-6.255,16.802,-502.182,-78.067,-292.06,-132.055,-518.195,-10.109,0.0,,,-10.109,,,0.0,0.0,0.0,,,,,-508.086,480.383,-2.472,463.107,,,,19.748,19.748,,0.0,,-356.696,46.162,71.192,
09/30/2003,709.276978,186.128998,27.433001,31.797001,,-7.476,39.273001,463.917999,-29.281,3.068,490.130999,-508.309998,-11.365,0.0,,,-11.365,,,0.0,0.0,0.0,,,,,-496.944998,-224.827858,-2.468,-194.64386,,,,-27.715998,6.468,-34.183998,0.0,,-23.861,125.706001,100.202003,
12/31/2003,111.55,198.67,20.711,10.618,,-9.64,20.258,-118.449,1143.081,-1277.618,16.088,-451.247,-19.659,0.0,,,-19.659,,,0.0,0.0,0.0,,,,,-431.588,332.055,-2.491,370.992,,,,-36.446,28.521,-64.967,0.0,,-7.642,84.863,78.507,
03/31/2004,187.572,300.097,23.521,-65.222,,41.174,-106.396,-70.824,-1079.417,1271.988,-263.395,-418.741,-12.625,0.0,,,-12.625,,,0.0,0.0,0.0,,,,,-406.116,356.336,-6.17,420.086,,,,-58.272,10.362,-68.634,0.692,,125.167,100.122,112.267,
06/30/2004,-452.014,177.233,23.91,40.395,,-10.199,50.594,-693.552,-15.765,-554.448,-123.339,-489.436,-13.707,0.0,,,-13.707,,,0.0,0.0,0.0,,,,,-475.729,914.375,-4.929,909.55,,,,9.213,9.213,0.0,0.541,,-27.075,8.617,91.193,
09/30/2004,210.35,210.612,4.486,38.57,,-1.162,39.732,-43.318,-40.046,-382.839,379.567,-299.664,-2.057,9.267,,,-11.324,,,0.0,0.0,0.0,,,,,-297.607,13.576,-4.945,13.473,,,,5.544,5.544,0.0,-0.496,,-75.738,166.277,119.309,
12/31/2004,-514.797,253.771,14.729,103.637,,34.194,69.443,-886.934,11.592,984.454,-1882.98,-570.725,-5.152,0.0,,,-5.152,,,0.0,0.0,0.0,,,,,-565.573,1059.799,-4.974,1021.271,,,,42.57,43.142,-0.572,0.932,,-25.723,90.445,113.105,
03/31/2005,388.384,369.748,15.134,-16.526,,-29.37,12.844,20.028,-77.156,-1883.31,1980.494,-253.868,-13.13,0.0,,,-13.13,,,0.0,0.0,0.0,,,,,-240.738,317.747,-5.099,299.717,,,,29.491,29.898,-0.407,-6.362,,452.263,101.072,136.405,
06/30/2005,-973.032,233.67,16.491,-104.061,17.677,-120.214,-1.524,-1119.132,-229.138,-755.402,-134.592,-331.793,-14.892,0.0,,,-14.892,,,0.0,0.0,0.0,,,,,-316.901,865.126,-5.136,908.509,,,,-37.773,13.202,-50.975,-0.474,,-439.699,176.735,141.48,
09/30/2005,-289.141,334.53,17.389,-17.56,,-44.292,26.732,-623.5,252.259,-799.644,-76.115,-130.855,315.274,331.388,,,-16.114,,,0.0,0.0,0.0,,,,,-446.129,611.109,-5.135,681.71,,,,-64.461,4.859,-69.32,-1.005,,191.113,249.295,158.949,
12/31/2005,193.472,329.344,15.561,85.296,16.834,-2.488,70.95,-236.729,3.258,1554.883,-1794.87,-325.84,-15.965,,,,-15.965,,,0.0,0.0,0.0,,,,,-309.875,-42.732,-5.111,305.768,,,,-343.389,10.532,-353.921,0.0,,-175.1,174.896,163.326,
03/31/2006,305.32,391.769,13.628,76.161,34.232,39.295,2.634,-176.238,-114.511,-2483.759,2422.032,1688.749,-49.236,,,,-49.236,,,0.0,0.0,0.0,,,,,1737.985,-2025.014,-4.912,-1876.058,,,,-144.044,30.378,-174.422,0.0,,-30.945,171.227,192.77,
06/30/2006,-416.604,160.257,15.762,89.383,,26.778,62.605,-682.006,43.013,-773.044,48.025,-310.463,-0.405,0.0,,,-0.405,,,0.0,0.0,0.0,,,,,-310.058,790.909,-4.806,968.252,,,,-172.537,15.262,-187.799,0.0,,63.842,141.972,168.783,
09/30/2006,-173.095,137.4,13.985,95.677,,48.586,47.091,-420.157,-34.416,-441.941,56.2,398.065,482.547,495.276,,,-12.729,,,0.0,0.0,0.0,,,,,-84.482,-287.899,-4.743,-205.503,,,,-58.07,20.139,-78.209,-19.583,,-62.932,128.895,119.705,
12/31/2006,70.701,-228.146,13.211,376.734,,-124.378,501.112,-91.098,32.285,-240.966,117.583,-59.07,-15.058,,,,-15.058,,,0.0,0.0,0.0,,,,,-44.012,-0.701,-4.753,-537.344,,,,21.172,21.172,,520.224,,10.93,19.237,88.93,
03/31/2007,1469.191,198.855,16.837,-236.081,,-123.221,-112.86,1489.58,-9.353,974.638,524.295,58.953,96.506,110.22,,,-13.714,,,0.0,0.0,0.0,,,,,-37.553,-705.185,-4.793,-150.784,,,,4.555,9.569,-5.014,-554.163,,822.959,35.12,91.715,
06/30/2007,-374.766,-127.959,14.846,140.733,13.201,-67.696,195.228,-402.386,54.746,-237.338,-219.794,-22.72,-2.498,0.0,,,-2.498,,,,,,,,,,-20.222,-252.024,-4.825,-262.228,,,,13.81,14.062,-0.252,1.219,,-649.51,177.445,78.869,
09/30/2007,694.185,-643.833,11.393,745.113,8.738,-308.163,1044.538,581.512,-169.528,193.574,557.466,10.003,-2.117,0.0,,,-2.117,,,0.0,0.0,0.0,,,,,12.12,-837.743,-4.843,-845.642,,,,14.538,14.697,-0.159,-1.796,,-133.555,-145.685,-3.743,
12/31/2007,187.63,-975.188,14.145,1019.693,7.681,348.83,663.182,128.98,-70.759,238.209,-38.47,-7.881,-4.98,0.0,,,-4.98,,,0.0,0.0,0.0,,,,,-2.901,-217.566,-4.868,-220.987,,,,7.712,7.899,-0.187,0.577,,-37.817,-31.679,-9.808,
03/31/2008,966.134,-910.502,12.089,259.504,8.141,436.794,-185.431,1605.043,1085.43,1292.692,-773.079,53.2,2.957,2.957,,,,,,0.0,0.0,0.0,,,,,50.243,-494.368,-4.926,-567.782,,,,10.159,10.36,-0.201,68.181,,524.966,163.956,215.331,
06/30/2008,552.791,-150.099,11.586,96.141,6.587,36.419,53.135,595.163,606.204,266.651,-277.692,110.492,-1.352,0.0,0.0,0.0,-1.352,-1.352,0.0,0.0,0.0,0.0,-40.528,0.0,0.0,-40.528,152.372,-14.738,-4.942,-8.345,,,,0.118,0.126,-0.008,-1.569,0.0,648.545,-625.105,59.293,
09/30/2008,253.213,-171.99,8.773,161.735,7.679,78.095,75.961,254.695,-85.288,242.345,97.638,60.781,-0.599,0.0,0.0,0.0,-0.599,-0.599,0.0,0.0,0.0,0.0,-10.139,0.0,0.0,-10.139,71.519,-250.445,-4.945,-250.137,-100.114,0.0,-150.023,0.618,0.624,-0.006,4.019,0.0,63.549,624.379,,
12/31/2008,280.305,-663.906,7.164,615.292,2.073,14.635,598.584,321.755,76.458,252.627,-7.33,32.121,-1.359,0.0,0.0,0.0,-1.359,-1.359,0.0,0.0,0.0,0.0,-15.067,0.0,0.0,-15.067,48.547,-139.493,0.0,-142.384,-142.361,0.0,-0.023,0.365,0.444,-0.079,2.526,0.0,172.933,-703.854,113.361,
03/31/2009,289.993,-402.759,10.276,851.418,6.271,50.239,794.908,-168.942,-372.861,385.723,-181.804,-4.747,-1.609,0.0,0.0,0.0,-1.609,-1.609,0.0,0.0,0.0,0.0,65.734,0.0,0.0,65.734,-68.872,-392.555,0.0,-37.684,,,,0.0,0.0,0.0,-354.871,0.0,-107.309,-3.965,44.156,
06/30/2009,195.492,85.115,5.167,-185.078,4.068,-37.587,-151.559,290.288,222.503,79.16,-11.375,-0.737,-0.275,0.0,0.0,0.0,-0.275,-0.275,0.0,0.0,0.0,0.0,-4.659,0.0,0.0,-4.659,4.197,-115.946,0.0,-68.813,,,,-0.004,0.0,-0.004,-47.129,0.0,78.809,-203.415,59.794,
