Date,Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,771.411987,-571.26001,200.151978,,-130.744003,69.407997,-14.888,,1.775,56.294998,-22.584,33.710999,0.0,0.0,33.710999,0.0,,33.710999,,,33.710998,,0.24,0.24,142.859997,0.24,0.24,0.24,142.859997,
06/30/1990,795.752991,-595.372009,200.380981,,-137.126007,63.255001,-15.765,,9.12,56.610001,-26.400999,30.209,0.0,0.0,30.209,0.0,,30.209,,,30.209002,,0.213333,0.213333,143.163002,0.213333,0.213333,0.213333,143.163002,
09/30/1990,812.041992,-612.994019,199.047974,,-134.792007,64.255997,-14.305,,1.096,51.046996,-21.584,29.462999,0.0,0.0,29.462999,0.0,,29.462999,,,29.462997,,0.206667,0.206667,143.420998,0.206667,0.206667,0.206667,143.420998,
12/31/1990,820.724976,-632.174988,188.549988,,-143.75,44.799999,-13.047,-11.012,-21.462,-0.721001,3.331,2.61,0.0,0.0,2.61,0.0,,2.61,,,2.609999,0.02,0.02,0.02,140.525997,0.02,0.02,0.02,140.525997,
03/31/1991,768.396973,-577.463013,190.93396,,-127.658997,63.275002,-12.685,,3.592,54.182001,-21.708,32.473999,0.0,0.0,32.473999,0.0,,32.473999,,,32.474001,,0.226667,0.226667,143.973003,0.226667,0.226667,0.226667,143.973003,
06/30/1991,734.05603,-541.401978,192.654053,,-124.374001,68.279999,-15.012,,-59.949001,-6.681003,0.494,-6.187,0.0,0.0,-6.187,0.0,,-6.187,,,-6.187003,,-0.043333,-0.043333,144.096004,-0.043333,-0.043333,-0.043333,144.096004,
09/30/1991,716.804993,-528.039001,188.765991,,-116.255997,72.510002,-13.582,,4.141,63.069002,-28.573,34.495998,0.0,0.0,34.495998,0.0,,34.495998,,,34.496002,,0.243333,0.243333,144.134995,0.243333,0.243333,0.243333,144.134995,
12/31/1991,709.682007,-510.381989,199.300018,,-128.403,70.897003,-12.869,-4.199,1.261,55.090003,-20.988001,34.102001,0.0,0.0,34.102001,0.0,,34.102001,,,34.102002,0.243333,0.243333,0.243333,140.609997,0.243333,0.243333,0.243333,140.609997,
03/31/1992,744.026001,-549.39502,194.630981,,-111.094002,83.537003,-11.984,,-16.402,55.151002,-18.254999,36.896,0.0,0.0,36.896,0.0,,36.896,,,36.896003,,0.263333,0.263333,141.702003,0.263333,0.263333,0.263333,141.702003,
06/30/1992,713.234009,-519.422974,193.811035,,-106.627998,87.182999,-10.883,,-9.542,66.757998,-23.546,43.212002,0.0,0.0,43.212002,0.0,,43.212002,,,43.211999,,0.31,0.31,140.454002,0.31,0.31,0.31,140.454002,
