Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,349.042999,8.985,8.985,0.0,26.815001,,,1.663,,,,,4.278,,,,,,41.741001,300.11499,,,0.0,7.187,,,,,7.187,307.30199,,4.63,4.63,,,,0.508,,,,,,15.355999,,,,15.355999,20.493999,27.129999,,,,,2.873,,,2.873,30.002999,50.496999,0.0,278.368988,,,0.0,,20.177,298.545988,0.0,298.545988,349.042987,
06/30/1990,362.308014,7.672,7.672,0.0,33.210999,,,1.638,,,,,3.468,,,,,,45.988998,305.830994,,,0.0,10.488,,,,,10.488,316.318994,,4.652,4.652,,,,0.506,,,,,,14.316001,,,,14.316001,19.474001,39.519001,,,,,3.85,,,3.85,43.369001,62.843002,0.0,278.386993,,,0.0,,21.077999,299.464993,0.0,299.464993,362.307994,
09/30/1990,374.752991,6.213,6.213,0.0,27.233999,,,1.765,,,,,7.305,,,,,,42.516998,318.227997,,,0.0,14.008,,,,,14.008,332.235997,,3.668,3.668,,,,0.519,,,,,,18.975001,,,,18.975001,23.162001,61.0,,,,,1.236,,,1.236,62.236,85.398001,0.0,278.386993,,,0.0,,10.968,289.354994,0.0,289.354994,374.752994,
12/31/1990,375.859985,6.191,6.191,0.0,21.091,,,1.913,,,,,11.425,,,,,,40.619999,325.031006,352.26001,-27.229,0.0,10.209,,,,,10.209,335.240005,,3.972,3.972,,,,0.519,,,,,,19.898,,,,19.898,24.389,83.172997,,,,,1.148,,,1.148,84.320997,108.709996,0.0,278.388,,,-9.49,,-1.748,267.150001,0.0,267.150001,375.859997,
03/31/1991,369.455994,6.38,6.38,0.0,18.330999,,,1.914,,,,,4.346,,,,,,30.971001,327.442993,,,0.0,11.042,,,,,11.042,338.484993,,3.643,3.643,,,,0.443,,,,,,17.378001,,,,17.378001,21.464001,86.127998,,,,,0.875,,,0.875,87.002998,108.466999,0.0,278.386993,,,-9.49,,-7.908001,260.988993,0.0,260.988993,369.455992,
06/30/1991,374.360992,5.73,5.73,0.0,16.884001,,,1.723,,,,,3.936,,,,,,28.273001,334.550995,,,0.0,11.537,,,,,11.537,346.087995,,4.628,4.628,,,,0.361,,,,,,17.229001,,,,17.229001,22.218,111.574997,,,,,0.837,,,0.837,112.411997,134.629997,0.0,278.388,,,-29.49,,-9.167002,239.730999,0.0,239.730999,374.360996,
09/30/1991,496.30899,126.249001,126.249001,0.0,16.617001,,,1.739,,,,,3.16,,,,,,147.764999,341.45401,,,0.0,7.09,,,,,7.09,348.54401,,3.452,3.452,,,,0.146,,,,,,15.798999,,,,15.798999,19.396999,0.575,,,,,36.132999,,,36.132999,36.707999,56.104999,0.0,478.989014,,,-29.49,,-9.295,440.204014,0.0,440.204014,496.309013,
12/31/1991,473.082001,209.794006,209.794006,0.0,11.539,,,0.737,,,,,1.139,,,,,,223.209,244.414001,260.04599,-15.632,0.0,5.459,,,,,5.459,249.873002,,6.244,6.244,,,,0.289,,,,,,12.346999,,,,12.346999,18.879999,0.381,,,,,6.918,,,6.918,7.299,26.178999,0.0,490.360992,,,-29.49,,-13.968,446.902992,0.0,446.902992,473.081992,
03/31/1992,472.417999,194.132004,194.132004,0.0,3.458,,,0.76,,,,,2.224,,,,,,200.574005,266.042999,,,0.0,5.801,,,,,5.801,271.843999,,5.816,5.816,,,,0.289,,,,,,12.434,,,,12.434,18.539,0.334,,,,,6.598,,,6.598,6.932,25.471,0.0,490.360992,,,-29.49,,-13.924002,446.946991,0.0,446.946991,472.417991,
06/30/1992,946.22998,624.530029,624.530029,0.0,1.623,,,0.712,,,,,1.175,,,,,,628.039978,295.882996,,,0.0,22.306999,,,,,22.306999,318.189995,,2.422,2.422,,,,0.289,,,,,,20.980999,,,,20.980999,23.691999,473.278015,,,,,6.394,,,6.394,479.672015,503.364015,0.0,490.360992,,,-29.49,,-18.004999,442.865993,0.0,442.865993,946.230008,
