Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1996,49.814999,24.264999,24.264999,0.0,4.634,,,0.458,,,,,0.724,,,,,,30.080999,10.279,15.044,-4.765,0.0,9.455,,,,9.455,19.734,,1.11,1.11,,,,1.815,,,,,,3.251,,,3.251,6.176,2.137,,,,,0.543,,,,,,0.543,2.68,8.856,0.0,79.651001,,,0.0,,-38.692001,40.959,0.0,40.959,49.815,
12/31/1996,55.154999,17.749,11.95,5.799,4.756,,,0.36,,,,,0.916,,,,,,23.781,12.007,17.215,-5.208,0.0,19.367001,,,,19.367001,31.374001,,1.51,1.51,,,,3.215,,,,,,4.439,,,4.439,9.164,4.591,,,,,1.386,,,,,,1.386,5.977,15.141,0.0,79.509003,,,0.0,,-39.494999,40.014004,0.0,40.014004,55.155004,
03/31/1997,56.32,17.13,16.13,1.0,7.865,7.865,,0.333,,,,,0.695,,,,,,26.023,11.12,16.818,-5.698,0.0,19.177,18.634,18.634,0.0,0.543,30.297,,1.426,1.426,,,,2.825,,,,,,6.373,,,6.373,10.624,4.204,,,,,1.368,,,,,,1.368,5.572,16.196,0.0,79.513,,,0.0,-39.389,0.0,40.124,0.0,40.124,56.32,
06/30/1997,61.849,11.12,8.785,2.335,10.26,10.26,,0.234,,,,,0.875,,,,,,22.489,11.521,17.717,-6.196,0.0,27.839,27.324,27.324,0.0,0.515,39.36,,1.846,1.846,,,,2.649,,,,,,7.834,,,7.834,12.329,5.514,,,,,1.324,,,,,,1.324,6.838,19.167,0.0,81.891,,,0.0,-39.209,0.0,42.682,0.0,42.682,61.849,
09/30/1997,63.059,10.316,7.981,2.335,10.698,10.698,,0.469,,,,,0.727,,,,,,22.21,11.573,18.327,-6.754,0.0,29.276,28.533,28.533,0.0,0.743,40.849,,1.681,1.681,,,,2.907,,,,,,8.124,,,8.124,12.712,5.458,,,,,1.228,,,,,,1.228,6.686,19.398,0.0,82.341,,,0.0,-38.68,0.0,43.661,0.0,43.661,63.059,
12/31/1997,61.226002,7.709,5.374,2.335,10.286,,,0.66,,,,,0.832,,,,,,19.487,11.241,18.48,-7.239,0.0,30.497999,,,,30.497999,41.738999,,1.927,1.927,,,,3.052,,,,,,7.294,,,7.294,12.273,3.475,,,,,0.452,,,,,,0.452,3.927,16.2,0.0,83.091003,,,0.0,,-38.064999,45.026005,0.0,45.026005,61.226004,
09/30/1998,68.183,3.11,0.775,2.335,10.902,10.902,,1.037,,0.0,0.0,0.0,2.615,,,,,,17.664,12.043,20.912,-8.869,0.0,38.476,36.796,36.796,0.0,1.68,50.519,,1.986,1.986,,,,6.281,,,,,,6.099,,,6.099,14.366,3.246,,,,,0.021,,,,,,0.021,3.267,17.633,0.0,85.194,,,0.0,-34.64,-0.004,50.55,0.0,50.55,68.183,
12/31/1998,97.754997,1.819,1.283,0.536,16.582001,,,1.291,1.291,0.0,0.0,0.0,2.118,,,,,,21.809999,23.1,32.549999,-9.45,0.0,52.845001,49.112,,,3.733002,75.945002,,6.502,6.502,,,,5.499,,,,,,8.642999,,,8.642999,20.643999,23.459999,,,,,0.0,,,,,,0.0,23.459999,44.103998,0.0,86.002998,,,0.0,,-32.352001,53.650997,0.0,53.650997,97.754995,
03/31/1999,122.003,20.341,19.805,0.536,16.104,16.104,,0.999,0.999,,,,2.926,,,,,,40.37,23.006,33.312,-10.306,,58.627,54.889,54.889,0.0,3.738,81.633,,2.928,2.928,,,,2.771,,,,,,7.798,,,7.798,13.497,4.127,,,,,,,,,,,,4.127,17.624,,134.304,,,,-29.925,0.0,104.379,,104.379,122.003,
06/30/1999,122.797,19.638,19.562,0.076,17.205,17.205,,0.886,0.886,0.0,0.0,0.0,2.528,,,,,,40.257,23.115,34.426,-11.311,0.0,59.425,55.438,55.438,0.0,3.987,82.54,,3.257,3.257,,,,1.549,,,,,,6.085,,,6.085,10.891,4.383,,,,,0.0,,,,,,0.0,4.383,15.274,0.0,134.888,,,0.0,-27.365,0.0,107.523,0.0,107.523,122.797,
