Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1994,190.389999,53.809,28.268,25.541,14.527,,,0.0,,,,,1.502,,,,69.837997,107.843002,165.085007,-57.242001,9.029,,3.68,,,,3.68,120.552003,,18.709999,18.709999,,,,0.233,,,,,0.752001,,,,0.752001,19.695,0.545,,,,14.051,,,,,14.051,14.596,34.290999,0.0,129.996994,,,0.0,,26.101999,156.098993,0.0,156.098993,190.389993,
06/30/1994,199.869995,32.541,11.351,21.190001,21.191999,,,0.0,,,,,2.255,,,,55.987999,127.100998,192.085007,-64.984001,13.098,,3.683,,,,3.683,143.881998,,16.986,16.986,,,,0.176,,,,,5.483,,,,5.483,22.645,0.545,,,,16.694,,,,,16.694,17.239,39.884001,0.0,130.25,,,0.0,,29.736,159.986,0.0,159.986,199.870001,
09/30/1994,209.453003,25.584,14.203,11.381,10.574,,,0.0,,,,,0.847,,,,37.005001,167.358002,241.949997,-74.592003,0.0,,5.09,,,,5.09,172.448002,,17.622999,17.622999,,,,0.522,,,,,6.372001,,,,6.372001,24.517,0.683,,,,18.940001,,,,,18.940001,19.623001,44.140001,0.0,130.839996,,,0.0,,34.473,165.312996,0.0,165.312996,209.452997,
12/31/1994,215.557007,18.642,10.412,8.23,16.473,,,0.0,,,,,0.766,,,,35.881001,174.626007,259.927002,-85.301003,0.0,,5.05,,,,5.05,179.676007,,19.483999,19.483999,,,,0.543,,,,,4.867,,,,4.867,24.893999,0.555,,,,20.617001,,,,,20.617001,21.172001,46.066,0.0,131.050995,,,0.0,,38.439999,169.490994,0.0,169.490994,215.556994,
03/31/1995,212.957001,9.932,9.932,0.0,12.253,,,0.0,,,,,0.316,,,,22.500999,185.037003,280.389008,-95.351997,0.0,,5.419,,,,5.419,190.456003,,14.471,14.471,,,,0.545,,,,,1.973001,,,,1.973001,16.989,0.408,,,,22.212,,,,,22.212,22.62,39.609,0.0,131.294006,,,0.0,,42.054001,173.348007,0.0,173.348007,212.957007,
06/30/1995,241.460007,18.903999,18.903999,0.0,14.262,,,0.0,,,,,1.914,,,,35.080002,201.253998,309.509003,-108.254997,0.0,,5.126,,,,5.126,206.379998,,18.937,18.937,,,,0.525,,,,,5.6,,,,5.6,25.062,10.292,,,,23.002001,,,,,23.002001,33.294001,58.356001,0.0,136.514008,,,0.0,,46.59,183.104008,0.0,183.104008,241.460009,
09/30/1995,242.110992,7.883,7.883,0.0,14.047,,,0.0,,,,,1.604,,,,23.534,213.477997,335.264008,-121.786003,0.0,,5.099,,,,5.099,218.576997,,22.337,22.337,,,,0.501,,,,,5.606,,,,5.606,28.444,0.201,,,,24.938,,,,,24.938,25.139,53.583,0.0,137.972,,,0.0,,50.556,188.528,0.0,188.528,242.111,
12/31/1995,277.406006,12.533,12.533,0.0,25.332001,,,0.0,,,,,4.952,,,,42.817001,229.514999,364.662994,-135.147995,0.0,,5.074,,,,5.074,234.588999,,24.487,24.487,,,,5.422,,,,,1.673001,,,,1.673001,31.582001,25.152,,,,27.101,,,,,27.101,52.253,83.835001,0.0,138.173004,,,0.0,,55.397999,193.571003,0.0,193.571003,277.406004,
03/31/1996,280.498993,18.525999,18.525999,0.0,21.353001,,,0.0,,,,,1.339,,,,41.217999,233.906006,383.772003,-149.865997,0.0,,5.375,,,,5.375,239.281006,,25.579,25.579,,,,4.601,,,,,2.933998,,,,2.933998,33.113998,12.852,,,,31.615,,,,,31.615,44.467,77.580998,0.0,142.677994,,,0.0,,60.240002,202.917995,0.0,202.917995,280.498994,
06/30/1996,309.511993,19.351999,19.351999,0.0,25.013,,,0.0,,,,,2.379,,,,46.743999,257.18399,421.674988,-164.490997,0.0,,5.584,,,,5.584,262.767991,,32.481998,32.481998,,,,0.27,,,,,4.363003,,,,4.363003,37.115002,24.052,,,,35.368,,,,,35.368,59.42,96.535002,0.0,144.257004,,,0.0,,68.720001,212.977005,0.0,212.977005,309.512007,
