Date,Total Interest Income,Total Interest Expense,Net Interest Income,Trading Account Profit,Commissions & Fees Earned,Other Operating Income,Net Revenue,Provisions for Loan Losses,Net Revenue After Provisions,Non-Interest Expense,Operating Income or Losses,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,87.799997,-50.348999,37.450998,0.0,97.192001,0.194,134.837,-12.684,122.153,-79.806999,42.346001,0.0,42.346001,-15.537,26.809,0,0,26.809,0.0,,26.809,,,26.809001,,0.023704,0.023704,1127.671875,0.023704,0.023704,0.023704,1127.671875,
06/30/1990,83.487999,-53.477001,30.010998,0.0,113.891998,0.473,144.375996,-13.421,130.954997,-85.495003,45.459999,0.0,45.459999,-16.679001,28.781,0,0,28.781,0.0,,28.781,,,28.780998,,0.025679,0.025679,1127.671875,0.025679,0.025679,0.025679,1127.671875,
09/30/1990,110.651001,-66.789001,43.862,0.0,119.695,0.83,164.386999,-13.908,150.478999,-95.5,54.979,0.0,54.979,-20.174999,34.804001,0,0,34.804001,0.0,,34.804001,,,34.804001,,0.02963,0.02963,1127.671875,0.02963,0.02963,0.02963,1127.671875,
12/31/1990,132.638,-79.647003,52.990997,0.0,118.25,1.337,172.577997,-17.938,154.639998,-93.660004,60.98,0.0,60.98,-22.375999,38.604,0,0,38.604,0.0,,38.604,,,38.604,,0.03358,0.03358,1127.671875,0.03358,0.03358,0.03358,1127.671875,
03/31/1991,145.154999,-89.490997,55.664001,0.0,114.115997,1.683,171.462999,-22.094999,149.367999,-100.722,48.646,0.0,48.646,-17.768,30.878,0,0,30.878,0.0,,30.878,,,30.878,,0.027654,0.027654,1127.671875,0.027654,0.027654,0.027654,1127.671875,
06/30/1991,143.716995,-89.878998,53.837997,0.0,126.057999,3.839,183.734996,-21.683001,162.051996,-110.285004,51.766998,0.0,51.766998,-18.608999,33.158001,0,0,33.158001,0.0,,33.158001,,,33.157999,,0.02963,0.02963,1133.572193,0.02963,0.02963,0.02963,1133.572193,
09/30/1991,154.471996,-92.686996,61.785,0.361,141.205994,3.072,206.423994,-22.708,183.715993,-120.210999,63.505001,0.0,63.505001,-23.179001,40.326,0,0,40.326,0.0,,40.326,,,40.326,,0.035556,0.035556,1137.262814,0.035556,0.035556,0.035556,1137.262814,
12/31/1991,150.150997,-81.838997,68.312,0.0,147.794006,2.579,218.685007,-20.237,198.448007,-127.817001,70.630997,0.0,70.630997,-25.780001,44.851002,0,0,44.851002,0.0,,44.851002,,,44.850996,,0.039506,0.039506,1140.976117,0.039506,0.039506,0.039506,1140.976117,
03/31/1992,157.183002,-78.984001,78.199001,0.0,132.044006,2.669,212.912008,-25.556,187.356008,-130.731003,56.625,0.0,56.625,-20.731001,35.894001,0,0,35.894001,0.0,,35.894001,,,35.893999,,0.031605,0.031605,1143.641536,0.031605,0.031605,0.031605,1143.641536,
06/30/1992,150.717995,-64.477997,86.239998,0.127,132.537994,2.815,221.719992,-25.046,196.673993,-136.388,60.285999,0.0,60.285999,-21.941999,38.344002,0,0,38.344002,0.0,,38.344002,,,38.344,,0.03358,0.03358,1138.903032,0.03358,0.03358,0.03358,1138.903032,
09/30/1992,138.327999,-49.657001,88.670998,0.0,148.421997,2.908,240.000995,-22.809,217.191995,-143.662994,73.528999,0.0,73.528999,-26.837999,46.691002,0,0,46.691002,0.0,,46.691002,,,46.691,,0.041481,0.041481,1139.31313,0.041481,0.041481,0.041481,1139.31313,
12/31/1992,148.133003,-43.728001,104.405002,0.0,149.781998,6.2,260.387,-24.122999,236.264001,-154.684998,81.579002,0.0,81.579002,-29.775999,51.803001,0,0,51.803001,0.0,,51.803001,,,51.803003,0.045432,0.045432,0.045432,1139.313139,0.045432,0.045432,0.045432,1139.313139,
03/31/1993,158.455002,-42.478001,115.977001,0.0,143.442993,5.51,264.929995,-27.115999,237.813995,-171.332993,66.481003,0.0,66.481003,-24.665001,41.816002,0,0,41.816002,0.0,,41.816002,,,41.816002,,0.037575,0.037575,1138.823254,0.037575,0.037575,0.037575,1138.823254,
06/30/1993,166.966003,-43.335999,123.630005,0.0,167.751999,5.692,297.074004,-25.042,272.032004,-198.770004,73.262001,-53.0,20.262001,25.799,46.061001,0,0,46.061001,0.0,,46.061001,,,46.061001,,0.041525,0.041525,1137.536126,0.041525,0.041525,0.041525,1137.536126,
09/30/1993,157.459,-44.715,112.743999,0.0,198.078995,3.711,314.533994,-23.304001,291.229993,-199.772003,91.458,0.0,91.458,-34.814999,56.643002,0,0,56.643002,0.0,,56.643002,,,56.643002,,0.049427,0.049427,1141.944309,0.049427,0.049427,0.049427,1141.944309,
12/31/1993,169.936001,-47.964001,121.972,0.0,211.513,4.268,337.753,-23.333,314.42,-354.997009,-40.577,53.0,12.423,50.853001,63.276001,0,0,63.276001,0.0,,63.276001,,,63.276001,0.055309,0.055309,0.055309,1142.343023,0.055309,0.055309,0.055309,1142.343023,
03/31/1994,174.184998,-49.779999,124.404999,0.0,211.578995,3.9,339.883994,-25.792,314.091994,-227.401001,86.691002,0.0,86.691002,-34.347,52.344002,0,0,52.344002,0.0,,52.344002,,,52.344002,,0.045432,0.045432,1141.621636,0.045432,0.045432,0.045432,1141.621636,
06/30/1994,195.842995,-62.618999,133.223995,0.0,222.904007,4.587,360.715002,-28.955,331.760002,-235.311996,96.447998,0.0,96.447998,-38.213001,58.235001,0,0,58.235001,0.0,,58.235001,,,58.234997,,0.051358,0.051358,1145.59313,0.051358,0.051358,0.051358,1145.59313,
09/30/1994,224.673004,-87.178001,137.495003,0.0,262.825989,5.253,405.573991,-27.021,378.552991,-256.402008,122.151001,0.0,122.151001,-48.396,73.754997,0,0,73.754997,0.0,,73.754997,,,73.755001,,0.065185,0.065185,1143.565611,0.065185,0.065185,0.065185,1143.565611,
12/31/1994,244.940994,-107.957001,136.983994,-0.074,296.118988,6.486,439.514982,-26.709,412.805982,-276.994995,135.811005,0.0,135.811005,-53.551998,82.259003,0,0,82.259003,0.0,,82.259003,,,82.259007,,0.071111,0.071111,1144.279379,0.071111,0.071111,0.071111,1144.279379,
03/31/1995,239.143005,-119.454002,119.689003,0.0,290.447998,6.783,416.920001,-25.584999,391.335002,-278.14801,113.186996,0.0,113.186996,-44.462002,68.724998,0,0,68.724998,0.0,,68.724998,,,68.724995,,0.059259,0.059259,1146.1171,0.059259,0.059259,0.059259,1146.1171,
