Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1994,1727.152954,126.780998,126.780998,0.0,473.136993,,,962.250977,,26.656,,,,,,1588.824951,72.460999,145.300003,-72.838997,0.0,,65.866997,,,,65.866997,138.327995,,937.215027,937.215027,,,,3.517,,,,,,93.752959,,,,93.752959,1034.484985,211.490997,,,,,0.143,,,,,0.143,211.633997,1246.118983,0.0,343.574005,-3.438,,140.898007,481.034012,0.0,481.034012,1727.152995,
12/31/1994,1899.588989,100.435001,53.632,46.803001,511.253998,,,1117.587036,,21.912001,,,,,,1751.187988,74.257004,150.326004,-76.069,0.0,,74.143997,,,,74.143997,148.401001,,1009.018982,1009.018982,,,,81.290001,,,,,,99.046974,,,,99.046974,1189.355957,209.806,,,,,0.0,,,,,0.0,209.806,1399.161957,0.0,343.237,-3.567,,160.757002,500.427002,0.0,500.427002,1899.588959,
03/31/1995,1828.176025,40.709999,3.909,36.800999,523.460022,,,1086.234985,,27.959,,,,,,1678.364014,78.095001,157.319,-79.223999,0.0,,71.717003,,,,71.717003,149.812004,,865.171021,865.171021,,,,119.160004,,,,,,108.341949,,,,108.341949,1092.672974,210.160995,,,,,0.0,,,,,0.0,210.160995,1302.833969,0.0,532.403992,0.0,,-7.062,525.341992,0.0,525.341992,1828.175961,
06/30/1995,2160.960938,165.348999,64.588997,100.760002,522.22998,,,1086.876953,,77.225998,,,,,,1851.682007,106.658997,195.925995,-89.266998,0.0,,202.619995,,,,202.619995,309.278992,,956.072998,956.072998,,,,6.162,,,,,,123.764025,,,,123.764025,1085.999023,209.214005,,,,,66.189003,,,,,66.189003,275.403008,1361.402031,0.0,455.709015,-4.011,,347.861006,799.559021,0.0,799.559021,2160.961052,
09/30/1995,1947.546997,62.229999,42.729,19.500999,568.268982,,,1120.739014,,24.892,,,,,,1776.130005,99.800003,186.667007,-86.866997,0.0,,71.616997,,,,71.616997,171.417,,1021.893982,1021.893982,,,,21.902,,,,,,115.476967,,,,115.476967,1159.272949,208.179001,,,,,11.364,,,,,11.364,219.543001,1378.81595,0.0,347.046997,-4.189,,225.873006,568.731003,0.0,568.731003,1947.546953,
12/31/1995,2101.583984,34.908999,27.056999,7.852,609.353027,,,1198.339966,,30.934999,,,,,,1873.536987,118.666,213.828003,-95.162003,0.0,,109.380997,,,,109.380997,228.046997,,1072.081055,1072.081055,,,,26.995001,,,,,,113.824945,,,,113.824945,1212.901001,208.690002,,,,,13.176,,,,,13.176,221.866002,1434.767003,0.0,366.200012,0.0,,300.617004,666.817016,0.0,666.817016,2101.584019,
03/31/1996,2200.549072,129.479997,114.478996,15.001,560.494995,,,1232.640991,,30.855,,,,,,1953.470947,130.25,228.727005,-98.476997,0.0,,116.828003,,,,116.828003,247.078003,,1001.205017,1001.205017,,,,101.962997,,,,,,118.690994,,,,118.690994,1221.859009,257.942993,,,,,17.422001,,,,,17.422001,275.364994,1497.224003,0.0,368.18399,-4.889,,340.029991,703.324982,0.0,703.324982,2200.548985,
06/30/1996,2825.175049,358.616005,304.281006,54.334999,612.276978,,,1272.615967,,100.778999,,,,,,2344.288086,166.856003,300.328003,-133.472,0.0,,314.031006,,,,314.031006,480.887009,,1138.368042,1138.368042,,,,106.008003,,,,,,175.497978,,,,175.497978,1419.874023,265.145996,,,,,104.317001,,,,,104.317001,369.462997,1789.33702,0.0,558.598022,-11.522,,488.76199,1035.838012,0.0,1035.838012,2825.175032,
09/30/1996,2843.72998,168.248001,110.513,57.735001,604.947021,,,1548.623047,,92.242996,,,,,,2414.061035,159.598999,276.774994,-117.176003,0.0,,270.070007,,,,270.070007,429.669006,,1235.904053,1235.904053,,,,104.560997,,,,,,132.795937,,,,132.795937,1473.260986,263.654999,,,,,114.258003,,,,,114.258003,377.913002,1851.173988,0.0,508.466003,-5.846,,489.935997,992.556,0.0,992.556,2843.729988,
12/31/1996,3150.836914,110.517002,73.332001,37.185001,679.317017,,,1691.208984,,115.031998,,,,,,2596.074951,249.906006,413.821014,-163.914993,0.0,,304.855988,,,,304.855988,554.761993,,1367.998047,1367.998047,,,,112.559998,,,,,,153.690002,,,,153.690002,1634.248047,297.908997,,,,,121.091003,,,,,121.091003,419.0,2053.248047,0.0,549.185974,-5.846,,554.249015,1097.588989,0.0,1097.588989,3150.837036,
