Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1995,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,
06/30/1995,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,
09/30/1995,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,
12/31/1995,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,
03/31/1996,173.570007,13.116,13.116,0.0,1.543,,,72.677002,,,,,4.144,,,,,91.480003,31.014999,,,0.0,51.075001,,,,51.075001,82.09,,32.709999,32.709999,,,,18.792999,,,,,,9.756001,,,9.756001,61.258999,14.785,,,,,56.268002,,,,,,56.268002,71.053001,132.312,0.0,4.394,,,0.0,,36.863998,41.257998,0.0,41.257998,173.569999,
06/30/1996,182.619003,6.358,6.358,0.0,1.915,,,86.605003,,,,,4.43,,,,,99.307999,33.152,,,0.0,50.159,,,,50.159,83.311001,,33.756001,33.756001,,,,21.243999,,,,,,9.405998,,,9.405998,64.405998,42.605999,,,,,3.65,,,,,,3.65,46.255999,110.661997,0.0,31.382,,,0.0,,40.575001,71.957001,0.0,71.957001,182.618998,
09/30/1996,209.039001,4.121,4.121,0.0,2.364,,,112.439003,,,,,4.957,,,,,123.880997,34.693001,,,0.0,50.465,,,,50.465,85.158001,,38.368999,38.368999,,,,36.842999,,,,,,10.789001,,,10.789001,86.000999,40.956001,,,,,3.662,,,,,,3.662,44.618001,130.619001,0.0,31.867001,,,0.0,,46.553001,78.420002,0.0,78.420002,209.039003,
12/31/1996,171.098999,2.987,2.987,0.0,1.855,,,75.081001,,,,,6.03,,,,,85.953003,36.035,60.258999,-24.224001,0.0,49.111,,,,49.111,85.146,,35.296001,35.296001,,,,0.302,,,,,,26.866999,,,26.866999,62.465,4.051,,,,,2.993,,,,,,2.993,7.044,69.509,0.0,31.813999,,,0.0,,69.776001,101.59,0.0,101.59,171.099,
03/31/1997,192.324005,4.354,4.354,0.0,0.928,,,89.967003,,,,,5.644,,,,,100.892998,42.787998,,,0.0,48.643002,,,,48.643002,91.431,,32.813,32.813,,,,4.795,,,,,,13.738001,,,13.738001,51.346001,30.981001,,,,,3.658,,,,,,3.658,34.639001,85.985002,0.0,33.0,,,0.0,,73.338997,106.338997,0.0,106.338997,192.323998,
06/30/1997,219.619003,5.265,5.265,0.0,1.059,,,103.351997,,,,,5.57,,,,,115.246002,55.935001,85.152,-29.216999,0.0,48.438,,,,48.438,104.373001,,34.625,34.625,,,,0.355,,,,,,12.906002,,,12.906002,47.886002,53.847,,,,,3.773,,,,,,3.773,57.62,105.506002,0.0,34.747002,,,0.0,,79.365997,114.112999,0.0,114.112999,219.619001,
