Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non-Cash Adjustments,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1998,-2609,1331,1016,,-683,,,,-683,-4273,,,,,,-107.0,,-107.0,,,,,,,,,,,,,,,,,,107.0,,,,,,,,,,,,,,,,,
06/30/1998,2706,2298,988,,-1876,,,,-1876,1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1998,8556,374,1907,,1496,,,,1496,4779,,,,,,-15.0,,-15.0,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,
12/31/1998,2238,1162,1007,,4932,,,,4932,-4863,,,,,,-315.0,,-315.0,,,,,,,,,,,,,,,,,,315.0,,,,,,,,,,,,,,,,,
03/31/1999,-3813,1914,493,510.0,-212,,-82.0,,-130,-6518,,,,,-4766.0,-111.0,0.0,-111.0,1414.0,18009.0,,,,-16595.0,,,,-3882.0,,,,,,,,-2187.0,6227.0,-784.0,20558.0,,,,,348.0,348.0,0.0,-13943.0,48.0,,-2352.0,,,
06/30/1999,5534,1915,487,510.0,-312,,-460.0,,148,2934,,,,,-10485.0,-145.0,0.0,-145.0,498.0,11973.0,,,,-11475.0,,,,-10283.0,,,,,,,,-555.0,3223.0,-787.0,9684.0,,,,,-1393.0,329.0,-1722.0,-4272.0,-9.0,,-1728.0,,,
09/30/1999,4923,2151,470,450.0,-784,,-740.0,,-44,2636,,,,,-961.0,30.0,30.0,0.0,636.0,7613.0,,,,-6977.0,,,,-1436.0,,,,,,,,-191.0,-2745.0,-776.0,-148.0,,,,,-855.0,327.0,-1182.0,-989.0,23.0,,1217.0,,,
12/31/1999,5421,1902,467,350.0,3691,,3380.0,,311,-989,,,,,-15109.0,-239.0,0.0,-239.0,-2300.0,11570.0,,,,-13870.0,,,,-12383.0,,,,,,,,-187.0,11263.0,-852.0,3005.0,,,,,-1800.0,154.0,-1954.0,10905.0,5.0,,1575.0,,,
03/31/2000,-5520,2240,456,420.0,518,,524.0,,-6,-9154,,,,,-11161.0,-133.0,0.0,-133.0,-713.0,10372.0,,,,-11085.0,,,,-10235.0,,,,,,,,-80.0,16951.0,-833.0,14014.0,,,,,-886.0,25.0,-911.0,4353.0,303.0,,270.0,,,
06/30/2000,840,2063,451,470.0,537,,543.0,,-6,-2681,,,,,-21058.0,-140.0,0.0,-140.0,3426.0,6266.0,,,,-2840.0,,,,-24303.0,,,,,,,,-41.0,20452.0,-825.0,16241.0,,,,,-597.0,115.0,-712.0,5038.0,595.0,,234.0,,,
09/30/2000,7476,1829,438,435.0,801,,262.0,,539,3973,,,,,4361.0,-161.0,0.0,-161.0,956.0,3911.0,,,,-2955.0,,,,3501.0,,,,,,,,65.0,-14935.0,-821.0,-9598.0,,,,,-724.0,97.0,-821.0,-2492.0,-1300.0,,-3098.0,,,
12/31/2000,2469,1385,439,1210.0,-683,,-681.0,,-2,118,,,,,30748.0,-208.0,0.0,-208.0,18646.0,20898.0,,,,-2252.0,,,,11359.0,,,,,,,,951.0,-30099.0,-909.0,-38810.0,,,,,-755.0,57.0,-812.0,10256.0,119.0,,3118.0,,,
03/31/2001,-3901,1870,437,835.0,170,,162.0,,8,-7213,,,,,31714.0,-147.0,0.0,-147.0,16234.0,25992.0,,,,-9758.0,,,,15946.0,,,,,,,,-319.0,-31993.0,-901.0,-19124.0,,,,,-685.0,54.0,-739.0,-11784.0,501.0,,-4180.0,,,
06/30/2001,-10373,2023,438,800.0,158,,151.0,,7,-13792,,,,,-7748.0,-220.0,0.0,-220.0,-3903.0,19557.0,,,,-23460.0,,,,-3055.0,,,,,,,,-570.0,20193.0,-898.0,10889.0,,,,,-280.0,581.0,-861.0,11026.0,-544.0,,2072.0,,,
09/30/2001,12239,841,431,1251.0,1167,,-41.0,,1208,8549,,,,,-780.0,-213.0,0.0,-213.0,-11309.0,55444.0,,,,-66753.0,,,,10972.0,,,,,,,,-230.0,-13584.0,-896.0,-7929.0,,,,,-1148.0,268.0,-1416.0,-3616.0,5.0,,-2125.0,,,
12/31/2001,-10791,2058,426,1401.0,-1228,,-835.0,,-393,-13448,,,,,14366.0,-255.0,0.0,-255.0,10132.0,36698.0,,,,-26566.0,,,,4582.0,,,,,,,,-93.0,-18.0,-937.0,-11267.0,,,,,-1482.0,218.0,-1700.0,13625.0,43.0,,3557.0,,,
03/31/2002,11250,2179,272,840.0,-185,,-141.0,,-44,8144,,,,,-4954.0,-551.0,0.0,-551.0,10067.0,34983.0,,,,-24916.0,,,,-14232.0,,,,,,,,-238.0,-10689.0,-926.0,-2263.0,,,,,-1138.0,817.0,-1955.0,-6295.0,-67.0,,-4393.0,,,
06/30/2002,6062,2221,278,888.0,13,,106.0,,-93,2662,,,,,-10427.0,20.0,20.0,0.0,-6690.0,55055.0,,,,-61745.0,,,,-3600.0,,,,,,,,-157.0,3230.0,-920.0,13092.0,,,,,-2553.0,1171.0,-3724.0,-6431.0,42.0,,-1135.0,,,
09/30/2002,-17651,2235,277,804.0,124,,313.0,,-189,-21091,,,,,-4165.0,-226.0,0.0,-226.0,-5120.0,31277.0,,,,-36397.0,,,,1427.0,,,,,,,,-246.0,24976.0,-902.0,10203.0,,,,,-950.0,169.0,-1119.0,16646.0,-21.0,,3160.0,,,
12/31/2002,-14104,2614,277,1165.0,-1026,,-722.0,,-304,-17134,,,,,12160.0,-182.0,0.0,-182.0,20255.0,43207.0,,,,-22952.0,,,,-10362.0,,,,,,,,2449.0,2448.0,-961.0,-5177.0,,,,,-452.0,216.0,-668.0,9043.0,-5.0,,504.0,,,
03/31/2003,-10737,2424,278,833.0,-367,,-94.0,,-273,-13905,,,,,-10232.0,-150.0,0.0,-150.0,-7081.0,34204.0,,,,-41285.0,,,,-1569.0,,,,,,,,-1432.0,21065.0,-962.0,13919.0,,,,,-615.0,645.0,-1260.0,8718.0,5.0,,96.0,,,
06/30/2003,-161,2738,277,772.0,-429,,-133.0,,-296,-3519,,,,,-68627.0,521.0,521.0,0.0,-37582.0,55080.0,,,,-92662.0,,,,-31793.0,,,,,,,,227.0,68939.0,-960.0,43616.0,,,,,-473.0,1806.0,-2279.0,26759.0,-3.0,,151.0,,,
09/30/2003,36419,2922,268,651.0,-516,,-283.0,,-233,33094,,,,,16293.0,-270.0,0.0,-270.0,49274.0,93332.0,,,,-44058.0,,,,-31837.0,,,,,,,,-874.0,-55790.0,-1194.0,-40286.0,,,,,-953.0,1073.0,-2026.0,-13425.0,68.0,,-3078.0,,,
