Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1993,-13.306,5.51,5.181,13.247,,,13.247,-37.243999,,-37.243999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,-12.161,2.608,5.219,-5.847,,,-5.847,-14.141,,-14.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,32.986,1.709,5.262,1.419,,,1.419,24.596001,,24.596001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,-18.23,7.532,5.323,-1.083,,,-1.083,-30.002001,,-30.002001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.23,,,
03/31/1994,32.998001,4.247,5.818,-1.446,,,-1.446,24.379,,24.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,5.903,2.17,6.283,0.28,,,0.28,-2.83,,-2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,17.136999,2.061,6.226,-0.791,,,-0.791,9.641,,9.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,7.666,4.237,6.179,2.549,,,2.549,-5.299,,-5.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.666,,,
03/31/1995,5.748,7.276,6.278,2.008,,,2.008,-9.814,,-9.814,,,-1.597,,,,-1.597,,,,,,,,,,1.597,,,,,,,,,,,,,,,
06/30/1995,16.754,8.19,6.237,-4.114,,,-4.114,6.441,,6.441,,,-4.881,,,,-4.881,,,,,,,,,,4.881,,,,,,,,,,,,,,,
09/30/1995,35.102001,20.381001,8.447,-20.565001,,,-20.565001,26.839001,,26.839001,,,-6.154,,,,-6.154,,,,,,,,,,6.154,,,,,,,,,,,,,,,
12/31/1995,1.938,11.101,6.033,-3.521,,,-3.521,-11.675,,-11.675,,-6.273,-6.273,,,,-6.273,,,,,,,,,,0.0,,,,,,,,,,,,-4.335,,,
03/31/1996,16.065001,11.825,6.058,4.279,,,4.279,-6.097,,-6.097,,,-26.23,,,,-26.23,,,,,,,,,,26.23,,,,,,,,,,,,,,,
06/30/1996,12.229,25.476999,6.3,-14.817,,,-14.817,-4.731,,-4.731,,,-53.891998,,,,-53.891998,,,,,,,,,,53.891998,,,,,,,,,,,,,,,
09/30/1996,13.756,21.542999,10.587,-4.524,,,-4.524,-13.85,,-13.85,,,-46.542,,,,-46.542,,,,,,,,,,46.542,,,,,,,,,,,,,,,
12/31/1996,83.471001,19.200001,23.642,10.509,,,10.509,30.120001,,30.120001,,,-86.294998,,,,-86.294998,,,,,,,,,,86.294998,,,,,,,,,,,,,,,
03/31/1997,46.889,27.709,24.408001,17.063,,,17.063,-22.291,,-22.291,,-84.021004,-82.536996,0.081,,,-82.617996,,,0.0,0.0,0.0,,,,,-1.484008,34.784004,-3.038,78.985004,,,,-49.91,0.0,-49.91,8.747,,-2.348,,,
06/30/1997,8.82,27.916,25.837,-23.73,,,-23.73,-21.202999,,-21.202999,,-9.495,-109.049001,0.491,,,-109.540001,,,0.0,0.0,0.0,,,,,99.554001,20.025001,-3.041,32.235001,,,,0.0,0.0,0.0,-9.169,,19.35,,,
09/30/1997,65.560997,39.118999,26.000999,-9.515,,,-9.515,9.956,,9.956,,-115.366997,-114.765999,0.319,,,-115.084999,,,0.0,0.0,0.0,,,,,-0.600998,59.248999,-3.045,94.405998,,,,-39.296999,7.101,-46.397999,7.185,,9.443,,,
12/31/1997,42.293999,47.188999,26.771,19.645,,,19.645,-51.311001,,-51.311001,,-96.514999,-96.386,2.837,,,-99.223,,,0.0,0.0,0.0,,,,,-0.128999,57.847004,-2.998,109.189002,,,,-47.908998,0.08,-47.988998,-0.435,,3.626,,,
03/31/1998,67.918999,77.559998,28.077999,-0.319,,,-0.319,-37.400002,,-37.400002,,-110.087891,-114.232,0.601,,,-114.833,,,0.0,0.0,0.0,,,,,4.14411,45.562998,-2.998,48.291998,,,,0.654,0.654,0.0,-0.385,,3.394,,,
06/30/1998,108.441002,69.661003,28.103001,17.882,,,17.882,-7.205,,-7.205,,-121.814003,-121.064,5.839,,,-126.903,,,0.0,0.0,0.0,,,,,-0.750003,-2.504,-3.017,-5.4,,,,6.007,6.007,0.0,-0.094,,-15.877,,,
09/30/1998,111.066002,92.929001,29.297001,-0.537,,,-0.537,-10.623,,-10.623,,-198.964005,-209.400001,6.876,,,-216.276001,,,0.0,0.0,0.0,,,,,10.435997,76.837,-3.015,82.192,,,,0.017,0.017,0.0,-2.357,,-11.061,,,
12/31/1998,182.306,103.266,31.389,25.137999,,,25.137999,22.513,,22.513,,-115.22,-115.281,0.038,,,-115.319,,,0.0,0.0,0.0,,,,,0.061,-28.314,-3.018,-25.32,,,,0.0,0.0,0.0,0.024,,38.772,,,
