Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,Other ST Liabilities,Deferred Revenue,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Operating Leases,Other LT Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2020,9524,1207,1207,0,2780,2780,0,607,599,0,0,491,108,321,321,5514,1223,2311,-1088,0,2787,2070,1608,462,428,289,4010,,2747,1102,1645,67,67,2541,2541,0,5355,6637,6258,379,379,1721,579,1142,8358,13713,0,,,,0,,-4821,-4821,632,-4189,9524,
06/30/2020,10441,1912,1912,0,2788,2788,0,602,629,0,0,512,117,461,461,6392,1234,2358,-1124,0,2815,2097,1639,458,427,291,4049,,3266,1349,1917,33,33,2463,2463,0,5762,6637,6260,377,377,1618,589,1029,8255,14017,0,19.0,4.0,15.0,0,-3418.0,-843,-4242,666,-3576,10441,
