Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Insurance Reserves,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/1990,238.259003,26.101,,,,,,,,,,,,,,,,,,,,
06/30/1990,225.626999,27.833,,,,,,,,,,,,,,,,,,,,
09/30/1990,255.182007,29.791,,,,,,,,,,,,,,,,,,,,
12/31/1990,287.539001,33.460999,,,,,,,,,,,,,,,,,,,,
03/31/1991,293.337006,33.713001,,,,,,,,,,,,,,,,,,,,
06/30/1991,245.759995,34.745998,,,,,,,,,,,,,,,,,,,,
09/30/1991,305.584015,38.582001,,,,,,,,,,,,,,,,,,,,
12/31/1991,396.238007,41.643002,,,,,,,,,,,,,,,,,,,,
03/31/1992,349.065002,42.396999,,,,,,,,,,,,,,,,,,,,
06/30/1992,347.915009,44.25,,,,,,,,,,,,,,,,,,,,
09/30/1992,405.207001,47.873001,,,,,,,,,,,,,,,,,,,,
12/31/1992,401.287994,48.847,,,,,,,,,,,,,,,,,,,401.287994,
03/31/1993,404.605011,65.183998,,,,,,,,,,,,,,,,,,,,
06/30/1993,425.29599,58.741001,,,,,,,,,,,,,,,,,,,,
09/30/1993,555.862976,64.540001,,,,,,,,,,,,,,,,,,,,
12/31/1993,459.484985,66.862,,,,,,,,,,,,,,,,,,,459.484985,
03/31/1994,525.719971,69.957001,,,,,,,,,,,,,,,,,,,,
06/30/1994,540.562012,69.377998,,,,,,,,,,,,,,,,,,,,
09/30/1994,650.767029,76.058998,,,,,,,,,,,,,,,,,,,,
12/31/1994,652.197021,77.396004,,,,,,,,,,,,,,,,,,,652.197021,
03/31/1995,663.633972,84.873001,,636.11499,-57.354,,,-5.745,,,,,,,,,,,,,,
06/30/1995,717.231995,92.916,,627.289001,-2.973,,,-4.684,,,,,,,,,,,,,,
09/30/1995,780.61499,87.959999,,664.762024,27.893,-2.651,,-2.651,,,,,,,,,,,,,777.96399,
12/31/1995,782.617004,83.307999,,587.090027,112.219002,-4.311,,-4.311,,,,,,,,,,,,,778.306004,
03/31/1996,650.474976,86.523003,,643.223022,-79.271004,,,-4.367,,,,,,,,,,,,,,
06/30/1996,615.814026,85.747002,,541.051025,-10.984,,,-0.759,,,,,,,,,,,,,,
09/30/1996,722.333984,88.345001,,639.866028,-5.877,-3.871,,-3.871,,,,,,,,,,,,,718.462984,
12/31/1996,708.127014,133.748001,,463.332001,111.046997,-0.186,,-0.186,,,,,,,,,,,,,707.941014,
03/31/1997,612.632996,90.156998,,572.499023,-50.022999,,,-0.797,,,,,,,,,,,,,,
06/30/1997,627.994995,302.792999,,240.410995,84.791,-1.292,,-1.292,,,,,,,,,,,,,626.702995,
09/30/1997,716.888977,96.079002,,664.231018,-43.421001,-1830.253,,-2.031,-4045.076,1866.221,350.633,-110.917,-45.05,,253.833,-189.57,29.343,-159.479,,0.006,-1224.281023,
12/31/1997,640.932983,95.990997,,460.938995,84.002998,,,-3.582,,,,,,,,,,,,,,
03/31/1998,620.737976,160.401993,,460.335999,,,,-6.262,,,,,,,,,,,,,,
06/30/1998,491.119995,102.68,,388.440002,,-7.169,,-7.169,,,,,,,,,,,,,483.950995,
09/30/1998,722.729004,107.565002,,615.164001,1799.827,-1616.348,,-12.498,-2820.776,1216.926,,-150.305,-49.897,,113.758,-122.437,32.33,-122.556,,-1.503,-1043.923996,
12/31/1998,655.413025,116.353005,,539.064026,,,,-14.071,,,,,,,,,,,,,,
03/31/1999,699.0,196.0,0.0,-110.0,613.0,-778.0,0.0,-3.0,-1143.0,368.0,0.0,-26.0,-17.0,0.0,0.0,-3.0,10.0,-11.0,0.0,-5.0,-105.0,
06/30/1999,569.0,130.0,0.0,-41.0,480.0,-769.0,0.0,-6.0,-1328.0,565.0,0.0,309.0,-18.0,0.0,446.0,0.0,8.0,-130.0,0.0,3.0,109.0,
09/30/1999,925.0,144.0,0.0,-54.0,835.0,-686.0,0.0,-6.0,-1038.0,314.0,44.0,-83.0,-18.0,0.0,0.0,-75.0,12.0,-40.0,0.0,38.0,156.0,
12/31/1999,663.0,102.0,,552.0,,,,,,,,,,,,,,,,,663.0,
03/31/2000,909.0,156.0,0.0,-41.0,794.0,-724.0,0.0,-1.0,-1406.0,343.0,340.0,-109.0,-18.0,0.0,0.0,-4.0,6.0,-81.0,0.0,-12.0,76.0,
06/30/2000,693.0,202.0,0.0,36.0,455.0,-397.0,0.0,-6.0,-1216.0,293.0,532.0,-22.0,-21.0,0.0,15.0,-1.0,13.0,-52.0,0.0,24.0,274.0,
09/30/2000,985.0,163.0,0.0,-24.0,846.0,-919.0,0.0,-7.0,-695.0,267.0,-484.0,-254.0,-22.0,0.0,0.0,-164.0,8.0,-43.0,0.0,-3.0,-188.0,
12/31/2000,658.0,166.0,,-192.0,684.0,-1019.0,0.0,-12.0,-1136.0,399.0,-270.0,192.0,-21.0,0.0,279.0,-18.0,4.0,-63.0,0.0,-19.0,-169.0,
03/31/2001,987.0,178.0,0.0,-39.0,848.0,-295.0,0.0,-16.0,-1191.0,777.0,135.0,-226.0,-21.0,0.0,0.0,-3.0,13.0,-162.0,0.0,-53.0,466.0,
06/30/2001,432.0,153.0,0.0,-49.0,328.0,-1163.0,0.0,-48.0,-1720.0,514.0,91.0,392.0,-25.0,0.0,333.0,-3.0,11.0,-43.0,0.0,119.0,-339.0,
09/30/2001,758.0,193.0,0.0,-75.0,640.0,-519.0,0.0,-14.0,-1263.0,630.0,128.0,-148.0,-25.0,0.0,0.0,-107.0,7.0,-76.0,0.0,53.0,91.0,
12/31/2001,640.0,163.0,,-74.0,551.0,-497.0,33.0,0.0,-1367.0,796.0,41.0,754.0,-24.0,0.0,0.0,-3.0,7.0,-69.0,0.0,-29.0,897.0,
03/31/2002,874.0,183.0,0.0,-63.0,754.0,-1065.0,0.0,-4.0,-1474.0,904.0,-491.0,-138.0,-24.0,0.0,0.0,-3.0,7.0,-133.0,0.0,15.0,-329.0,
06/30/2002,572.0,212.0,0.0,-87.0,447.0,-348.0,4.0,0.0,-1030.0,700.0,-22.0,14.0,-30.0,0.0,0.0,-3.0,8.0,-42.0,0.0,81.0,238.0,
09/30/2002,984.0,240.0,0.0,-185.0,929.0,-403.0,0.0,-1.0,-1919.0,731.0,786.0,-51.0,-29.0,0.0,254.0,-225.0,7.0,-89.0,0.0,31.0,530.0,
12/31/2002,603.0,186.0,0.0,-40.0,457.0,-453.0,0.0,-12.0,-1518.0,891.0,186.0,-62.0,-29.0,0.0,0.0,-3.0,13.0,-82.0,0.0,39.0,88.0,
03/31/2003,975.0,237.0,0.0,-79.0,817.0,-1322.0,0.0,0.0,-1550.0,1201.0,-973.0,-73.0,-34.0,0.0,0.0,-4.0,9.0,-53.0,0.0,9.0,-420.0,
06/30/2003,614.0,248.0,0.0,-88.0,454.0,232.0,0.0,0.0,-1747.0,802.0,1177.0,-96.0,-34.0,0.0,0.0,-4.0,4.0,-93.0,0.0,31.0,750.0,
09/30/2003,1020.0,237.0,0.0,-94.0,877.0,-1600.0,0.0,0.0,-1339.0,460.0,-721.0,21.0,-39.0,0.0,0.0,-3.0,8.0,-70.0,0.0,125.0,-559.0,
12/31/2003,783.0,73.0,0.0,154.0,556.0,-810.0,0.0,-21.0,-1831.0,1258.0,-216.0,-97.0,-39.0,0.0,0.0,-9.0,9.0,-127.0,0.0,69.0,-124.0,
03/31/2004,1220.0,304.0,,81.0,835.0,-999.0,,,-1756.0,660.0,97.0,-104.0,-46.0,0.0,0.0,-4.0,17.0,-127.0,50.0,6.0,117.0,
06/30/2004,1029.0,258.0,,44.0,727.0,-1084.0,,,-1973.0,390.0,499.0,-42.0,-46.0,0.0,0.0,-3.0,8.0,-51.0,59.0,-9.0,-97.0,
09/30/2004,1281.0,293.0,,144.0,844.0,-867.0,,,-987.0,873.0,-753.0,-98.0,-45.0,0.0,0.0,-3.0,8.0,-100.0,55.0,-13.0,316.0,
12/31/2004,956.0,410.0,,-578.0,1124.0,1532.0,,-21.0,-1489.0,379.0,2663.0,-63.0,-45.0,0.0,0.0,-2.0,6.0,-114.0,56.0,36.0,2425.0,
03/31/2005,1174.0,328.0,,-4.0,850.0,-3874.0,,,-1956.0,457.0,-2375.0,-121.0,-53.0,0.0,0.0,-2.0,10.0,-113.0,54.0,-17.0,-2821.0,
06/30/2005,1182.0,336.0,,5.0,841.0,-669.0,,,-1569.0,489.0,411.0,-77.0,-52.0,0.0,0.0,-2.0,17.0,-112.0,73.0,-1.0,436.0,
09/30/2005,1108.0,455.0,,-495.0,1148.0,-968.0,,,-1774.0,1419.0,-613.0,294.0,-53.0,0.0,360.0,-2.0,12.0,-92.0,68.0,1.0,434.0,
12/31/2005,969.0,364.0,,-175.0,780.0,-1181.0,,-16.0,-3595.0,2090.0,340.0,-353.0,-51.0,0.0,0.0,-263.0,11.0,-121.0,62.0,9.0,-565.0,
03/31/2006,1023.0,375.0,,-228.0,876.0,-1088.0,,,-1307.0,382.0,-163.0,-77.0,-62.0,0.0,0.0,-2.0,15.0,-98.0,55.0,15.0,-142.0,
06/30/2006,1156.0,408.0,,30.0,718.0,-949.0,,,-2648.0,1213.0,486.0,-438.0,-61.0,0.0,0.0,-357.0,8.0,-99.0,56.0,15.0,-231.0,
09/30/2006,1065.0,367.0,,-153.0,851.0,-847.0,,,-1079.0,755.0,-523.0,236.0,-60.0,0.0,382.0,-1.0,6.0,-130.0,46.0,-7.0,454.0,
12/31/2006,4397.0,1483.0,,-529.0,3443.0,-4057.0,,-23.0,-7365.0,3141.0,190.0,-434.0,-258.0,,382.0,-377.0,42.0,-470.0,217.0,30.0,-94.0,
03/31/2007,1176.0,416.0,,-134.0,894.0,-1288.0,,,-2045.0,592.0,165.0,-257.0,-86.0,0.0,0.0,-1.0,8.0,-241.0,53.0,10.0,-369.0,
06/30/2007,1153.0,415.0,,-177.0,915.0,-454.0,,,-1655.0,1083.0,118.0,-127.0,-96.0,0.0,242.0,-244.0,15.0,-114.0,50.0,20.0,572.0,
09/30/2007,1013.0,420.0,,-70.0,663.0,-972.0,,,-1099.0,608.0,-481.0,-119.0,-95.0,0.0,0.0,-1.0,14.0,-124.0,50.0,37.0,-78.0,
12/31/2007,1314.0,382.0,,-35.0,967.0,-940.0,,-46.0,-1969.0,909.0,166.0,-139.0,-96.0,0.0,0.0,-1.0,10.0,-127.0,57.0,18.0,235.0,
03/31/2008,1196.0,474.0,,-78.0,800.0,-1102.0,,,-1706.0,523.0,81.0,-749.0,-109.0,0.0,0.0,-1.0,9.0,-764.0,60.0,56.0,-655.0,
06/30/2008,1258.0,483.0,,-159.0,934.0,-712.0,,,-2189.0,888.0,589.0,-67.0,-109.0,0.0,0.0,-1.0,11.0,-41.0,73.0,0.0,479.0,
09/30/2008,1194.0,100.0,,559.0,535.0,-1421.0,,,-1685.0,529.0,-265.0,-646.0,-109.0,0.0,0.0,-1.0,6.0,-825.0,273.0,10.0,-873.0,
12/31/2008,1317.0,197.0,,435.0,685.0,-1048.0,,-49.0,-2435.0,1184.0,252.0,158.0,-107.0,0.0,0.0,-2.0,146.0,0.0,65.0,56.0,427.0,
03/31/2009,1649.0,569.0,,-98.0,1178.0,-1325.0,0.0,0.0,-4447.0,4765.0,-1643.0,-69.0,-131.0,,,-1.0,4.0,-2.0,90.0,-29.0,255.0,
06/30/2009,1225.0,314.0,,326.0,585.0,-983.0,0.0,0.0,-2024.0,508.0,533.0,251.0,-131.0,0.0,844.0,-547.0,0.0,0.0,79.0,6.0,493.0,
09/30/2009,1529.0,363.0,,376.0,790.0,-1579.0,0.0,0.0,-2090.0,1005.0,-494.0,165.0,-131.0,,164.0,,2.0,-2.0,105.0,27.0,115.0,
12/31/2009,1758.0,251.0,,496.0,1011.0,-1589.0,0.0,0.0,-3129.0,1305.0,235.0,350.0,-131.0,,401.0,-16.0,11.0,-6.0,90.0,1.0,519.0,
03/31/2010,1278.0,636.0,,-201.0,843.0,-1969.0,0.0,0.0,-2895.0,917.0,9.0,-21.0,-131.0,0.0,0.0,-1.0,7.0,-5.0,89.0,20.0,-712.0,
06/30/2010,1745.0,581.0,,-70.0,1234.0,-1207.0,0.0,0.0,-2683.0,1362.0,114.0,35.0,-131.0,,0.0,-1.0,29.0,0.0,102.0,36.0,573.0,
09/30/2010,1846.0,690.0,,51.0,1105.0,-1904.0,0.0,0.0,-2537.0,1123.0,-490.0,308.0,-133.0,0.0,748.0,-454.0,3.0,0.0,108.0,36.0,250.0,
12/31/2010,2120.0,437.0,,211.0,1472.0,-2352.0,0.0,0.0,-4168.0,1789.0,27.0,-81.0,-140.0,0.0,5.0,,6.0,-116.0,120.0,44.0,-313.0,
03/31/2011,2167.0,389.0,,518.0,1260.0,-2013.0,0.0,0.0,-3683.0,1635.0,35.0,-187.0,-135.0,0.0,0.0,-1.0,16.0,-184.0,124.0,-7.0,-33.0,
06/30/2011,2211.0,274.0,,438.0,1499.0,-3021.0,0.0,0.0,-4623.0,1519.0,83.0,13.0,-125.0,0.0,0.0,0.0,10.0,-38.0,151.0,15.0,-797.0,
09/30/2011,3108.0,736.0,,-20.0,2392.0,-2745.0,0.0,0.0,-9362.0,6099.0,518.0,208.0,-144.0,0.0,624.0,-461.0,0.0,-54.0,197.0,46.0,571.0,
12/31/2011,3356.0,519.0,,284.0,2553.0,-3050.0,0.0,0.0,-9719.0,6720.0,-51.0,81.0,-148.0,0.0,,-4.0,8.0,-40.0,261.0,4.0,387.0,
03/31/2012,3556.0,785.0,,-120.0,2891.0,-4436.0,0.0,0.0,-6158.0,2397.0,-675.0,841.0,-148.0,0.0,749.0,-1.0,5.0,-10.0,297.0,-51.0,-39.0,
06/30/2012,3689.0,483.0,,118.0,3088.0,-3622.0,0.0,0.0,-5525.0,1854.0,49.0,-147.0,-148.0,0.0,0.0,-338.0,6.0,0.0,304.0,29.0,-80.0,
09/30/2012,4206.0,1017.0,,-385.0,3574.0,-4441.0,0.0,0.0,-16761.0,6087.0,6233.0,1090.0,-149.0,0.0,707.0,-1.0,8.0,-3.0,494.0,34.0,855.0,
12/31/2012,3501.0,581.0,,-48.0,2968.0,-4453.0,0.0,0.0,-7639.0,2840.0,346.0,8.0,-158.0,0.0,50.0,-1.0,13.0,-105.0,362.0,-153.0,-944.0,
03/31/2013,3832.0,892.0,,144.0,2796.0,-3085.0,0.0,0.0,-3320.0,7165.0,-6930.0,-192.0,-159.0,0.0,0.0,0.0,19.0,-156.0,134.0,-30.0,555.0,
06/30/2013,1866.0,889.0,,-889.0,1866.0,-2725.0,0.0,0.0,-5969.0,2688.0,556.0,651.0,-156.0,0.0,700.0,0.0,20.0,-131.0,247.0,-29.0,-208.0,
09/30/2013,1461.0,702.0,,-625.0,1384.0,-1711.0,0.0,0.0,-8828.0,7640.0,-523.0,611.0,-157.0,0.0,0.0,0.0,20.0,-20.0,757.0,11.0,361.0,
12/31/2013,3388.0,675.0,,968.0,1745.0,-3570.0,0.0,0.0,-11606.0,2080.0,5956.0,-24.0,-163.0,0.0,0.0,0.0,29.0,-506.0,652.0,-36.0,-206.0,
03/31/2014,1615.0,732.0,,54.0,829.0,-2123.0,0.0,0.0,-4597.0,5349.0,-2875.0,-41.0,-163.0,0.0,0.0,0.0,16.0,-421.0,536.0,-9.0,-549.0,
06/30/2014,1517.0,810.0,,-37.0,744.0,-1471.0,0.0,0.0,-2403.0,1336.0,-404.0,212.0,-161.0,0.0,0.0,0.0,5.0,-101.0,487.0,-18.0,258.0,
09/30/2014,1445.0,706.0,,-90.0,829.0,-550.0,0.0,0.0,-5523.0,4327.0,646.0,-481.0,-162.0,0.0,0.0,-335.0,4.0,-176.0,143.0,45.0,414.0,
12/31/2014,1973.0,703.0,,-58.0,1328.0,-97.0,0.0,0.0,-2024.0,2845.0,-918.0,116.0,-168.0,0.0,750.0,0.0,8.0,-512.0,87.0,-49.0,1992.0,
03/31/2015,1460.0,663.0,,-23.0,820.0,-2078.0,0.0,0.0,-1442.0,791.0,-1427.0,323.0,-165.0,0.0,989.0,0.0,13.0,-610.0,84.0,12.0,-295.0,
06/30/2015,1643.0,573.0,,45.0,1025.0,-1488.0,0.0,0.0,-1562.0,1906.0,-1832.0,-1415.0,-163.0,0.0,9.0,-850.0,7.0,-238.0,63.0,-243.0,-1260.0,
09/30/2015,1667.0,567.0,,194.0,906.0,-517.0,0.0,0.0,-982.0,910.0,-445.0,-733.0,-161.0,,0.0,-422.0,8.0,-233.0,66.0,9.0,417.0,
12/31/2015,2006.0,730.0,,392.0,884.0,-814.0,0.0,0.0,-2975.0,2163.0,-2.0,-362.0,-167.0,,0.0,0.0,8.0,-234.0,43.0,-12.0,830.0,
03/31/2016,1331.0,731.0,,16.0,584.0,-1487.0,0.0,0.0,-2275.0,986.0,-198.0,-745.0,-167.0,0.0,0.0,0.0,7.0,-612.0,45.0,-18.0,-901.0,
06/30/2016,1523.0,548.0,,-12.0,987.0,-942.0,0.0,0.0,-2243.0,1321.0,-20.0,-330.0,-163.0,0.0,0.0,-1.0,12.0,-402.0,37.0,187.0,251.0,
