Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non-Cash Adjustments,Net Ch in Operating Capital,Trading Assets & Liab,Accrued Interest Receivable,Accrued Interest Payable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,59.5,25.9,8.7,,-57.599998,,,,-57.599998,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,-4.8,28.5,9.2,,-1.5,,,,-1.5,-41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,57.299999,30.4,10.5,,16.5,,,,16.5,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,19.299999,30.6,12.4,,-49.299999,,,,-49.299999,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.299999,,,
03/31/1991,48.0,31.0,14.6,,-10.0,,,,-10.0,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,37.599998,32.099998,15.2,,24.1,,,,24.1,-33.799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,64.900002,31.200001,14.1,,17.4,,,,17.4,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,85.0,33.099998,17.700001,,62.599998,,,,62.599998,-28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,
03/31/1992,47.299999,35.799999,15.5,,-63.299999,,,,-63.299999,59.299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,104.5,37.099998,16.9,,47.5,,,,47.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,57.799999,38.099998,14.5,,5.2,,,,5.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,140.399994,38.5,16.6,,73.0,,,,73.0,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.399994,,,
03/31/1993,-47.700001,40.200001,15.9,,-54.299999,,,,-54.299999,-49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,161.100006,41.599998,15.7,,104.199997,,,,104.199997,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,93.699997,42.799999,14.7,,34.900002,,,,34.900002,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,107.800003,43.299999,12.5,,51.200001,,,,51.200001,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.800003,,,
03/31/1994,13.8,45.400002,13.7,,8.4,,,,8.4,-53.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,153.5,48.700001,12.3,,26.700001,,,,26.700001,65.800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,96.699997,48.0,-4.9,,28.0,,,,28.0,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,123.699997,40.099998,26.299999,,34.599998,,,,34.599998,22.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.699997,,,
03/31/1995,15.9,49.299999,12.3,,21.1,,,,21.1,-66.800003,,,,,,,-12.3,,-12.3,,,,,,,,,,,,,,,,,,12.3,,,,,,,,,,,,,,,,,
06/30/1995,-7.2,53.099998,12.0,,-89.0,,,,-89.0,16.700001,,,,,,,-7.9,,-7.9,,,,,,,,,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,
09/30/1995,-13.4,58.099998,12.9,,-60.400002,,,,-60.400002,-24.0,,,,,,,-12.9,,-12.9,,,,,,,,,,,,,,,,,,12.9,,,,,,,,,,,,,,,,,
12/31/1995,146.5,59.5,11.0,,119.300003,,,,119.300003,-43.299999,,,,,,-8.7,-8.7,,-8.7,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,137.8,,,
03/31/1996,115.300003,61.5,27.799999,,-52.599998,,,,-52.599998,78.599998,,,,,,,-16.700001,,-16.700001,,,,,,,,,,,,,,,,,,16.700001,,,,,,,,,,,,,,,,,
06/30/1996,-140.800003,63.400002,26.799999,,-241.0,,,,-241.0,10.0,,,,,,,-14.7,,-14.7,,,,,,,,,,,,,,,,,,14.7,,,,,,,,,,,,,,,,,
09/30/1996,232.600006,66.5,25.4,,136.699997,,,,136.699997,4.0,,,,,,,-11.6,,-11.6,,,,,,,,,,,,,,,,,,11.6,,,,,,,,,,,,,,,,,
12/31/1996,140.899994,67.400002,21.1,,33.799999,,,,33.799999,18.6,,,,,,-13.8,-13.8,,-13.8,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,127.099994,,,
03/31/1997,1.8,71.699997,24.5,,-90.5,,,,-90.5,-3.9,,,,,,,-12.5,,-12.5,,,,,,,,,,,,,,,,,,12.5,,,,,,,,,,,,,,,,,
06/30/1997,91.800003,75.400002,24.6,,-28.4,,,,-28.4,20.200001,,,,,,,-12.7,,-12.7,,,,,,,,,,,,,,,,,,12.7,,,,,,,,,,,,,,,,,
09/30/1997,46.900002,81.0,33.700001,,-57.400002,,,,-57.400002,-10.4,,,,,,,-13.2,,-13.2,,,,,,,,,,,,,,,,,,13.2,,,,,,,,,,,,,,,,,
12/31/1997,60.599998,81.300003,26.5,,-53.200001,,,,-53.200001,6.0,,,,,,,-19.1,,-19.1,,,,,,,,,,,,,,,,,,19.1,,,,,,,,,,,,,,,,,
03/31/1998,62.2,84.9,26.6,4.0,-51.9,,,,-51.9,-1.4,,,,,,447.9,-24.7,,-24.7,-870.6,21325.0,,,,-22195.6,,,,1411.5,,,,,,,,-68.3,-1125.0,-24.4,-886.3,,,,,-23.4,4.9,-28.3,-193.8,2.9,,-614.9,-3.1,248.6,
06/30/1998,144.3,87.2,26.6,3.0,33.1,,,,33.1,-5.6,,,,,,-5326.8,-14.8,,-14.8,-2937.7,31000.2,,,,-33937.9,,,,-2371.3,,,,,,,,-3.0,5447.9,-24.8,4540.1,,,,,-28.9,3.8,-32.7,958.1,3.4,,265.4,68.0,258.6,
09/30/1998,-6.6,90.199997,27.9,,-118.5,,,,-118.5,-6.2,,,,,,,-18.200001,,-18.200001,,,,,,,,,,,,,,,,,,18.200001,,,,,,,,,,,,,,,14.2,272.399994,
12/31/1998,231.0,91.599998,27.4,,132.800003,,,,132.800003,-20.799999,,,,,,,-26.799999,,-26.799999,,,,,,,,,,,,,,,,,,26.799999,,,,,,,,,,,,,,,48.900002,257.0,
03/31/1999,0.0,95.1,30.3,,0.0,,,,0.0,0.0,,,,,,-710.7,0.0,,0.0,-1315.4,9549.8,,,,-10865.2,,,,621.4,,,,,,,,-16.7,-314.0,-28.0,1338.7,,,,,-15.9,9.6,-25.5,-1610.5,1.7,,-1024.7,16.3,254.1,
06/30/1999,147.0,99.699997,35.0,,3.3,,,,3.3,9.0,,,,,,-3219.600098,0.0,,0.0,-2869.099609,17523.900391,,,,-20393.0,,,,-296.600006,,,,,,,,-53.900482,2145.299889,-55.900002,2163.999893,,,,,-48.300001,14.1,-62.400002,77.599998,7.9,,-927.299988,16.1,245.600006,
09/30/1999,60.5,104.199997,30.700001,,0.0,,,,0.0,0.0,,,,,,-5557.0,0.0,,0.0,-2948.298828,26798.300781,,,,-29746.599609,,,,-2604.199951,,,,,,,,-4.501221,4944.5,-83.699997,4240.5,,,,,-82.800003,19.0,-101.800003,858.5,12.0,,-552.0,6.9,266.0,
12/31/1999,428.9,106.0,37.0,,263.9,,,,263.9,22.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,428.9,63.0,266.7,
03/31/2000,0.0,113.300003,39.900002,,0.0,,,,0.0,0.0,,,,,,-4756.799805,0.0,,0.0,-2509.400391,5817.5,,,,-8326.900391,,,,-2051.800049,,,,,,,,-195.599365,4440.600096,-31.6,4424.100098,,,,,-38.399999,6.7,-45.099998,83.699997,2.8,,-316.200012,8.8,312.399994,
06/30/2000,160.5,123.0,47.099998,,0.0,,,,0.0,17.5,,,,,,-7904.5,0.0,,0.0,-4825.5,19126.0,,,,-23951.5,,,,-2786.600098,,,,,,,,-292.399902,7817.199817,-93.099998,7054.699806,,,,,-91.400003,9.4,-100.800003,941.200012,5.8,,73.199997,24.6,331.899994,
09/30/2000,48.599998,123.300003,41.5,,0.0,,,,0.0,0.0,,,,,,-6251.700195,0.0,,0.0,-3594.701172,31866.099609,,,,-35460.800781,,,,-2329.399902,,,,,,,,-327.599121,5602.400115,-94.699997,6051.000099,,,,,-149.299994,21.1,-170.399994,-216.399994,11.8,,-600.700012,53.900002,400.5,
12/31/2000,180.0,125.5,40.2,,28.8,,,,28.8,-14.5,,,,,,-56.6,-56.6,,-56.6,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,123.4,25.4,404.4,
03/31/2001,115.0,127.199997,47.799999,,0.0,,,,0.0,47.599998,,,,,,-2836.300049,0.0,,0.0,-5294.099609,22316.599609,,,,-27610.699219,,,,2284.899902,,,,,,,,172.899658,2057.299976,-36.0,1352.399976,,,,,-28.299999,5.0,-33.299999,764.0,5.2,,-664.0,17.700001,330.600006,
06/30/2001,353.2,131.3,37.4,11.5,161.6,,,,161.6,11.4,,,,,,2482.3,-147.4,,-147.4,3184.0,11666.5,,,,-8482.5,,,,-470.5,,,,,,,,-83.8,-2235.0,-35.5,-1437.7,,,,,-23.0,4.9,-27.9,-745.7,6.9,,600.5,-11.6,308.1,
09/30/2001,93.800003,126.599998,46.900002,,0.0,,,,0.0,109.300003,,,,,,367.399994,0.0,,0.0,1441.898438,56328.199219,,,,-54886.300781,,,,-977.299988,,,,,,,,-97.198456,-1351.400023,-107.0,-1131.500023,,,,,-93.799997,14.4,-108.199997,-39.400002,20.299999,,-890.200012,22.1,267.600006,
12/31/2001,163.5,102.4,82.9,,-31.0,,,,-31.0,9.2,,,,,,-33.2,-33.2,,-33.2,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,130.3,32.3,193.6,
03/31/2002,77.5,127.599998,47.599998,,0.0,,,,0.0,0.0,,,,,,753.099976,0.0,,0.0,-2642.700195,9187.799805,,,,-11830.5,,,,3049.699951,,,,,,,,346.10022,-1846.1,-38.299999,1298.7,,,,,-39.100001,5.6,-44.700001,-3072.5,5.1,,-1015.5,8.6,168.300003,
