Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/1995,4081.0,,-1871.0,,2210.0,,-1566.0,,,644.0,-341.0,222.0,222.0,0.0,0.0,119.0,303.0,-134.0,,,169,0.0,,,169.0,-16.0,153,-32.0,0.0,121,121.0,,2609.856,0.04625,0.04625,0.04625,2634.192,0.04625,0.04625,0.04625,
09/30/1995,4063.0,,-1883.0,,2180.0,,-1539.0,,,641.0,-206.0,221.0,221.0,0.0,0.0,-15.0,435.0,-190.0,,,245,16.0,,,229.0,-13.0,216,-34.0,0.0,182,182.0,,2612.232,0.07,0.07625,0.07625,2639.344,0.07,0.07625,0.07625,
12/31/1995,4324.0,,-2089.0,,2235.0,,-1648.0,,,587.0,-423.0,236.0,236.0,0.0,0.0,187.0,164.0,-97.0,,,67,0.0,,,67.0,-23.0,44,-11.0,0.0,33,33.0,,2612.688,0.0125,0.0125,0.065,2638.984,0.0125,0.0125,0.065,
03/31/1996,3886.0,,-1801.0,,2085.0,,-1445.0,,,640.0,-269.0,234.0,234.0,0.0,0.0,35.0,371.0,-163.0,,,208,0.0,,,208.0,-10.0,198,-11.0,0.0,187,187.0,,2629.688,0.07125,0.07125,0.07125,2629.688,0.07125,0.07125,0.07125,
06/30/1996,4203.0,,-1941.0,,2262.0,,-1597.0,,,665.0,-681.0,230.0,230.0,0.0,0.0,451.0,-16.0,-53.0,,,-69,0.0,,,-69.0,42.0,-27,-10.0,0.0,-37,-37.0,,2607.032,-0.01375,-0.01375,0.08,2607.032,-0.01375,-0.01375,0.08,
09/30/1996,4349.0,,-2036.0,,2313.0,,-1630.0,,,683.0,-256.0,233.0,233.0,0.0,0.0,23.0,427.0,-188.0,,,239,0.0,,,239.0,-14.0,225,-11.0,0.0,214,214.0,,2598.096,0.0825,0.0825,0.085,2598.096,0.0825,0.0825,0.085,
12/31/1996,4625.0,,-2195.0,,2430.0,,-1738.0,,,692.0,-275.0,230.0,230.0,0.0,0.0,45.0,417.0,-181.0,,,236,0.0,,,236.0,-21.0,215,-11.0,0.0,204,204.0,,2613.248,0.07875,0.07875,0.09625,2613.248,0.07875,0.07875,0.09625,
03/31/1997,3779.0,,-1720.0,,2059.0,,-1406.0,,,653.0,-261.0,232.0,232.0,0.0,0.0,29.0,392.0,-166.0,,,226,0.0,,,226.0,-13.0,213,-11.0,0.0,202,202.0,,2611.112,0.0775,0.0775,0.0775,2611.112,0.0775,0.0775,0.0775,
06/30/1997,4286.0,,-1954.0,,2332.0,,-1616.0,,,716.0,-278.0,231.0,231.0,0.0,0.0,47.0,438.0,-175.0,,,263,0.0,,,263.0,-20.0,243,-11.0,0.0,232,232.0,,2604.856,0.08875,0.08875,0.08875,2604.856,0.08875,0.08875,0.08875,
09/30/1997,4409.0,,-2212.0,,2197.0,,-1713.0,,,484.0,-240.0,224.0,224.0,0.0,0.0,16.0,244.0,-104.0,,,140,0.0,,,140.0,-18.0,122,-11.0,0.0,111,111.0,,2608.6,0.0425,0.0425,0.09375,2608.6,0.0425,0.0425,0.09375,
