Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Discontinued Operations,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/29/2007,23065,750,750,0.0,2565,2565,,2070,356,795,919,0,4119,,,,,9504,3429,,,0.0,10132,7719,7161,558,,2413,13561,,1310,1310,,,,2886,,,,,,4498,,,,4498,8694,825,,,,,2599,,,,2599,3424,12118,0,10048,,,0,,883,10931,16,10947,23065,
09/28/2007,23688,942,942,0.0,2594,2594,,2049,324,856,869,0,4411,,,,,9996,3412,8191.0,-4779.0,,10280,7703,7177,526,,2577,13692,,1343,1343,,,,5,,,,,,4856,,,,4856,6204,3373,,,,,2719,,,,2719,6092,12296,0,10141,,,-2,186.0,1052,11377,15,11392,23688,
12/28/2007,24968,916,916,0.0,2732,2732,0.0,2343,373,1031,939,0,3788,,,,,9779,3546,,,0.0,11643,7728,7181,547,,3915,15189,,1459,1459,,,,24,0.0,,,,,4686,,,,4686,6169,3260,,,,,4098,,,,4098,7358,13527,0,10179,,,-260,432.0,1078,11429,12,11441,24968,
03/28/2008,22475,748,748,0.0,2806,2806,,2427,412,991,1024,0,1307,,,,,7288,3618,,,0.0,11569,7731,7209,522,,3838,15187,,1527,1527,,,,22,,,,,,2099,,,,2099,3648,3173,,,,,4073,,,,4073,7246,10894,0,10224,,,-610,665.0,1291,11570,11,11581,22475,
06/27/2008,22114,730,730,,2872,2872,,2427,417,965,1045,0,1108,,,,,7137,3642,,,,11335,7719,7206,513,,3616,14977,,1573,1573,,,,21,,,,,,1825,,,,1825,3419,3171,,,,,3923,,,,3923,7094,10513,0,10238,,,-870,1295.0,928,11591,10,11601,22114,
09/26/2008,21600,1086,1086,0.0,2726,2726,,2312,402,926,984,0,971,,,,,7095,3517,8810.0,-5293.0,,10988,7554,7068,486,,3434,14505,,1469,1469,,,,20,,,,,,1843,,,,1843,3332,3161,,,,,4024,,,,4024,7185,10517,0,10267,,,-1264,1141.0,929,11073,10,11083,21600,
12/26/2008,20246,545,545,0.0,2207,2207,0.0,2306,388,900,1018,0,751,,,2053.0,548.0,5809,3406,,,0.0,11031,7488,7016,472,,1490,14437,,2513,1232,,,1281.0,1,0.0,,,,1.0,203,,,,0,2717,3018,3018.0,,,,3992,,722.0,285.0,2985,7010,9727,0,10281,100.0,10181.0,-1390,1026.0,592,10509,10,10519,20246,
03/27/2009,16820,722,722,0.0,1792,1792,0.0,1989,307,537,856,289,984,,,2670.0,761.0,5487,3284,,,0.0,8049,3898,3444,454,,1481,11333,,2581,901,,,1680.0,1,0.0,,,,1.0,225,,,,0,2807,2914,2914.0,,,,4019,,707.0,285.0,3027,6933,9740,0,10294,100.0,10194.0,-1391,-2286.0,454,7071,9,7080,16820,
06/26/2009,16292,1258,1258,0.0,1795,1795,0.0,1640,270,457,692,221,865,,,2577.0,653.0,5558,3106,,,0.0,7628,3567,3152,415,,1484,10734,,2442,951,,,1491.0,1,0.0,,,,1.0,182,,,,0,2625,2578,2578.0,,,,4008,,706.0,285.0,3017,6586,9211,0,9205,1049.0,8156.0,-371,-2361.0,598,7071,10,7081,16292,
09/25/2009,16220,1521,1521,0.0,1975,1975,0.0,1435,253,439,624,119,648,0.0,,2518.0,474.0,5579,3111,8574.0,-5463.0,0.0,7530,3567,3160,407,,1445,10641,,2298,1068,0.0,0.0,1230.0,101,0.0,0.0,0.0,,101.0,216,0.0,0.0,,0,2615,2316,2316.0,0.0,0.0,,4263,0.0,1129.0,188.0,2946,6579,9194,0,9184,1049.0,8135.0,-349,-2274.0,455,7016,10,7026,16220,
12/25/2009,16283,1695,1695,0.0,2033,2033,0.0,1458,260,461,598,139,634,,,2486.0,481.0,5820,3008,,,0.0,7455,3541,3153,388,,1428,10463,,2486,1221,,,1265.0,101,0.0,,,,101.0,174,,,,0,2761,2314,2314.0,,,,4201,,1106.0,174.0,2921,6515,9276,0,9015,899.0,8116.0,-328,-2102.0,413,6998,9,7007,16283,
03/26/2010,16552,1839,1839,0.0,2042,2042,0.0,1550,259,490,658,143,680,,,2539.0,527.0,6111,2896,,,0.0,7545,3572,3175,397,,1434,10441,,3017,1304,,,1713.0,101,0.0,,,,101.0,162,,,,0,3280,2313,2313.0,,,,4163,,1089.0,174.0,2900,6476,9756,0,8736,599.0,8137.0,-467,-1798.0,317,6788,8,6796,16552,
06/25/2010,16469,1815,1815,0.0,2216,2216,0.0,1586,256,509,708,113,716,,,2419.0,550.0,6333,2787,,,0.0,7349,3553,3155,398,,1377,10136,,3065,1394,,,1671.0,107,0.0,,,,107.0,165,,,,0,3337,2308,2308.0,,,,4024,,1077.0,237.0,2710,6332,9669,0,8689,599.0,8090.0,-645,-1459.0,207,6792,8,6800,16469,
09/24/2010,16992,1990,1990,0.0,2259,2259,0.0,1583,253,509,739,82,899,0.0,,2447.0,625.0,6731,2867,8344.0,-5477.0,0.0,7394,3603,3211,392,,1344,10261,,3164,1386,0.0,0.0,1778.0,106,0.0,0.0,0.0,,106.0,190,0.0,0.0,,0,3460,2307,2307.0,0.0,0.0,,4169,0.0,1280.0,285.0,2604,6476,9936,0,8684,599.0,8085.0,-721,-1161.0,246,7048,8,7056,16992,
12/24/2010,18102,1407,1407,0.0,2421,2421,0.0,1836,309,550,868,109,1124,5.0,,2432.0,851.0,6788,3075,,,0.0,8239,4412,3727,685,,1390,11314,,3047,1485,,,1562.0,660,0.0,,,,660.0,161,,6.0,,0,3868,2555,2555.0,,,,4333,,1351.0,311.0,2665,6888,10756,0,8644,599.0,8045.0,-650,-895.0,240,7339,7,7346,18102,
