Date,Assets,Total Investments,Fixed Income-Trading/AFS & ST Inv,Loans & Mortgages,Fixed Income Securities-HTM,Equity Securities,Real Estate Investments,Other Investments,Cash & Near Cash Items,Net Receivables,Net Fixed Assets,Deferred Policy Acquisition Costs,Other Assets,Total Assets,Liabilities & Shareholders' Equity,Reserve for Outstanding Claim & Loss,Premium Reserve (Unearned),Life Policy Benefits,Other Insurance Reserves,Total Insurance Reserves,Short-Term Borrowings,Other Short-Term Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Policyholders' Equity,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1988,,6777.721191,363.472992,0.0,5472.680176,596.219971,257.5,87.848,248.912003,1596.860962,213.912003,242.313004,733.377991,9813.09668,,5134.566895,1117.337036,0.0,0.0,6251.903809,4.0,833.265015,396.934998,389.006012,7875.109833,0.0,0.0,0.0,353.454987,1584.531982,1937.986969,9813.096802,
12/31/1988,,7377.370117,612.387024,0.0,5732.633789,589.676025,332.875,109.797997,41.313,1762.328979,226.544006,250.893997,723.77301,10382.222656,,5501.914062,1132.536987,0.0,0.0,6634.451172,129.0,874.739014,288.140015,440.674011,8367.004211,0.0,0.0,0.0,354.023987,1661.194946,2015.218933,10382.223145,
03/31/1989,,7568.123047,625.986023,0.0,5925.931152,578.453003,322.516998,115.236,33.118999,1641.178955,222.738007,245.123993,772.713013,10482.996094,,5635.173828,1141.470947,0.0,0.0,6776.64502,,889.346008,385.716003,426.46701,8478.174042,0.0,0.0,0.0,357.054993,1647.766968,2004.82196,10482.996002,
06/30/1989,,7486.671875,392.174988,0.0,5991.794922,662.97699,311.256989,128.468002,67.416,1621.44104,222.740005,250.156006,770.507019,10418.931641,,5690.543945,1163.400024,0.0,0.0,6853.943848,,708.284973,321.075989,395.082001,8278.38681,0.0,0.0,0.0,416.36499,1724.180054,2140.545044,10418.931854,
09/30/1989,,7897.47998,672.198975,0.0,6002.141113,722.979004,366.016998,134.143997,50.047001,1607.489014,224.789001,261.34201,754.91803,10796.06543,,5822.979004,1237.948975,0.0,0.0,7060.928223,22.0,770.242004,255.0,448.610992,8556.781219,0.0,0.0,0.0,465.897003,1773.386963,2239.283966,10796.065186,
12/31/1989,,7963.731934,543.205017,0.0,6284.312988,629.533997,368.437988,138.242004,41.285,1682.636963,239.552002,263.778992,839.080994,11030.066406,,5906.492188,1272.51001,0.0,0.0,7179.001953,30.5,730.567017,263.302002,477.44101,8680.811981,0.0,0.0,0.0,465.966003,1883.287964,2349.253967,11030.065948,
03/31/1990,,8278.082031,865.117981,0.0,6224.919922,714.487,376.484985,97.071999,31.047001,1581.870972,253.779999,265.329987,696.27002,11106.379883,,5990.029785,1291.876953,0.0,0.0,7281.907227,0.0,841.099976,255.313995,474.985992,8853.30719,0.0,0.0,0.0,467.218994,1785.854004,2253.072998,11106.380188,
06/30/1990,,8229.711914,776.473022,0.0,6246.529785,723.625,385.783997,97.300003,29.653,1645.378052,276.009003,274.588989,760.278015,11215.619141,,6067.192871,1339.449951,0.0,0.0,7406.643066,0.0,829.353027,476.828003,440.373993,9153.19809,0.0,0.0,0.0,398.867004,1663.553955,2062.420959,11215.619049,
09/30/1990,,8271.425781,838.619995,0.0,6354.443848,595.080017,388.263,95.018997,75.970001,1914.287964,313.451996,286.842987,961.286987,11823.265625,,6171.476074,1438.869995,0.0,0.0,7610.346191,18.76,1110.167969,468.941986,514.109985,9722.326132,0.047,0.0,0.0,397.790009,1703.103027,2100.940036,11823.266168,
12/31/1990,,8702.963867,1102.125,0.0,6538.062988,591.237976,385.962006,85.575996,16.947001,2018.156006,327.596985,285.809998,852.515991,12203.990234,,6279.146973,1435.145996,0.0,0.0,7714.292969,24.799999,1219.906006,449.028992,599.544006,10007.571972,0.047,0.0,0.0,398.694,1797.677002,2196.418002,12203.989974,
