Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,559.064026,75.704998,34.231998,41.473,98.448997,,,137.940002,,,,,19.346001,,,,,331.440002,188.210999,368.899994,-180.688995,0.0,39.412998,,,,,39.412998,227.623997,,27.476,27.476,,,,76.492996,,,,,55.350004,,,55.350004,159.319,46.792,,,,11.094,,,,11.094,57.886,217.205,0,33.858002,,,-2.704,,310.705007,341.859009,0,341.859009,559.064009,
06/30/1990,569.117004,78.859999,29.718,49.141998,101.384003,,,140.753998,,,,,20.811001,,,,,341.80899,189.798996,375.696014,-185.897003,0.0,37.508999,,,,,37.508999,227.307995,,26.539,26.539,,,,82.218002,,,,,57.535006,,,57.535006,166.292007,40.604,,,,11.993,,,,11.993,52.597,218.889008,0,33.143002,,,-1.136,,318.220991,350.227993,0,350.227993,569.117001,
09/30/1990,585.263977,86.834999,32.957001,53.877998,104.953003,,,141.968002,,,,,21.239,,,,,354.994995,194.276993,390.46701,-196.190002,0.0,35.992001,,,,,35.992001,230.268993,,26.396,26.396,,,,77.434998,,,,,67.133999,,,67.133999,170.964996,49.507,,,,17.747,,,,17.747,67.254,238.218996,0,33.32,,,-3.175,,316.900006,347.045006,0,347.045006,585.264002,
12/31/1990,585.526978,89.577,40.827999,48.749001,94.417999,,,136.227997,,,,,16.913,,,,,337.135986,206.283005,403.355988,-197.072998,0.0,42.108002,,,,,42.108002,248.391007,,29.792999,29.792999,,,,74.788002,,,,,62.521996,,,62.521996,167.102997,48.763,,,,19.070999,,,,19.070999,67.833999,234.936996,0,33.481998,,,-4.202,,321.310002,350.59,0,350.59,585.526996,
03/31/1991,582.562988,88.798,45.049999,43.748001,97.204002,,,134.087006,,,,,17.563999,,,,,337.653015,203.903,402.536987,-198.634003,0.0,41.007,,,,,41.007,244.91,,25.966999,25.966999,,,,79.771004,,,,,55.541004,,,55.541004,161.279007,50.717999,,,,16.462999,,,,16.462999,67.180998,228.460005,0,33.194,,,-2.724,,323.632997,354.102997,0,354.102997,582.563002,
06/30/1991,581.632019,91.630001,47.549999,44.080002,94.408997,,,135.544998,,,,,17.535,,,,,339.118988,200.850998,404.459015,-203.608002,0.0,41.661999,,,,,41.661999,242.512997,,22.415001,22.415001,,,,83.938004,,,,,55.741997,,,55.741997,162.095001,49.375,,,,14.23,,,,14.23,63.605,225.700001,0,32.623001,,,-0.963,,324.27199,355.931992,0,355.931992,581.631992,
09/30/1991,600.219971,99.129002,56.701,42.428001,96.513,,,132.992996,,,,,16.799999,,,,,345.434998,205.307999,416.622986,-211.315002,0.0,49.477001,,,,,49.477001,254.785,,22.181999,22.181999,,,,81.737999,,,,,58.156998,,,58.156998,162.076996,63.120998,,,,15.521,,,,15.521,78.641998,240.718994,0,32.570999,,,-0.83,,327.759993,359.500992,0,359.500992,600.219986,
12/31/1991,599.671997,101.491002,59.723,41.768002,89.319,,,128.158997,,,,,15.92,,,,,334.889008,213.399994,430.968994,-217.569,0.0,51.382999,,,,,51.382999,264.782993,,23.266001,23.266001,,,,76.969002,,,,,52.190992,,,52.190992,152.425995,68.269997,,,,15.582,,,,15.582,83.851997,236.277992,0,32.744999,,,-0.559,,331.207987,363.393986,0,363.393986,599.671978,
03/31/1992,1111.930054,101.017002,61.374001,39.643002,149.792999,,,196.882996,,,,,20.587999,,,,,468.281006,294.22699,514.560974,-220.334,0.0,349.421997,,,,,349.421997,643.648987,,69.456001,69.456001,,,,24.108,,,,,104.322001,,,104.322001,197.886002,442.739014,,,,29.372999,,,,29.372999,472.112013,669.998014,0,124.317001,,,-0.5,,318.11499,441.931992,0,441.931992,1111.930006,
06/30/1992,1159.708008,103.941002,40.921001,63.02,166.761993,,,209.106995,,,,,20.23,,,,,500.040009,300.977997,533.978027,-233.0,0.0,358.690002,,,,,358.690002,659.667999,,73.905998,73.905998,,,,49.653999,,,,,105.434006,,,105.434006,228.994003,450.419006,,,,30.948,,,,30.948,481.367006,710.36101,0,125.096001,,,-0.5,,324.751007,449.347008,0,449.347008,1159.708017,
