Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1990,218.033997,1.147,1.147,0.0,61.212002,,,29.273001,,,,,3.873,,,,,,95.504997,112.121002,,,0.0,,10.408,,,,10.408,122.529002,,29.801001,29.801001,,,,2.669,,,,45.268998,,,45.268998,77.738998,2.4,,,,5.894,,,,5.894,8.294,86.032999,0,128.671005,,,0.0,,0.0,128.671005,3.33,132.001005,218.034004,
09/30/1990,239.253998,3.085,3.085,0.0,72.888,,,31.989,,,,,3.801,,,,,,111.763,114.617996,475.136993,-360.519012,0.0,,12.873,,,,12.873,127.490996,,38.487,38.487,,,,2.28,,,,49.192,,,49.192,89.959,24.0,,,,10.025,,,,10.025,34.025,123.984,0,106.077003,,,0.0,,5.367,111.444003,3.826,115.270003,239.254003,
12/31/1990,244.011993,3.009,3.009,0.0,71.738998,,,35.432999,,,,,3.849,,,,,,114.029999,118.237,,,0.0,,11.745,,,,11.745,129.981999,,38.665001,38.665001,,,,2.181,,,,47.850998,,,47.850998,88.696999,23.0,,,,10.663,,,,10.663,33.663,122.359999,0,117.786003,,,0.0,,0.0,117.786003,3.866,121.652003,244.012002,
03/31/1991,248.423004,1.492,1.492,0.0,73.387001,,,34.348,,,,,4.531,,,,,,113.758003,122.766998,,,0.0,,11.898,,,,11.898,134.664998,,36.800999,36.800999,,,,7.579,,,,36.873,,,36.873,81.252998,26.0,,,,15.995,,,,15.995,41.995,123.247998,0,121.149002,,,0.0,,0.0,121.149002,4.026,125.175002,248.423,
06/30/1991,258.757996,1.287,1.287,0.0,78.414001,,,35.016998,,,,,4.702,,,,,,119.419998,127.726997,,,0.0,,11.611,,,,11.611,139.337997,,35.585999,35.585999,,,,2.159,,,,39.891003,,,39.891003,77.636002,33.5,,,,21.879,,,,21.879,55.379,133.015001,0,125.742996,,,0.0,,0.0,125.742996,0.0,125.742996,258.757998,
09/30/1991,265.686005,5.405,5.405,0.0,73.710999,,,37.382999,,,,,4.783,,,,,,121.281998,134.139008,483.162994,-349.023987,0.0,,10.265,,,,10.265,144.404008,,39.667,39.667,,,,1.647,,,,44.652003,,,44.652003,85.966003,31.0,,,,8.611,,,,8.611,39.611,125.577003,0,106.077003,,,0.0,,29.23,135.307003,4.802,140.109003,265.686006,
12/31/1991,266.958008,3.165,3.165,0.0,76.174004,,,34.775002,,,,,6.134,,,,,,120.248001,136.651993,,,0.0,,10.058,,,,10.058,146.709992,,31.933001,31.933001,,,,9.292,,,,46.197996,,,46.197996,87.422997,31.0,,,,10.235,,,,10.235,41.235,128.657996,0,138.300003,,,0.0,,0.0,138.300003,0.0,138.300003,266.957999,
03/31/1992,257.100006,1.211,1.211,0.0,64.606003,,,36.030998,,,,,9.743,,,,,,111.591003,136.050995,,,0.0,,9.458,,,,9.458,145.508995,,31.204,31.204,,,,9.453,,,,49.960996,,,49.960996,90.617996,30.0,,,,8.304,,,,8.304,38.304,128.921996,0,128.177994,,,0.0,,0.0,128.177994,0.0,128.177994,257.09999,
06/30/1992,265.751007,1.34,1.34,0.0,68.605003,,,35.410999,,,,,10.835,,,,,,116.191002,138.878006,,,0.0,,10.682,,,,10.682,149.560006,,33.702999,33.702999,,,,14.854,,,,48.375,,,48.375,96.931999,30.0,,,,7.676,,,,7.676,37.676,134.607999,0,131.143005,,,0.0,,0.0,131.143005,0.0,131.143005,265.751005,
09/30/1992,328.799011,1.475,1.475,0.0,76.969002,,,37.008999,,,,,14.199,,,,,,129.651993,171.419998,500.493011,-329.072998,0.0,,27.726999,,,,27.726999,199.146997,,39.505001,39.505001,,,,40.219002,,,,49.294002,,,49.294002,129.018005,55.5,,,,6.27,,,,6.27,61.77,190.788005,0,106.678001,,,0.0,,28.115999,134.794,3.217,138.011,328.799005,
12/31/1992,345.64801,3.326,3.326,0.0,82.754997,,,36.922001,,,,,15.29,,,,,,138.292999,178.488998,,,0.0,,28.865999,,,,28.865999,207.354998,,36.505001,36.505001,,,,13.244,,,,43.625998,,,43.625998,93.375,67.0,,,,9.357,,,,9.357,76.357,169.732,0,175.916,,,0.0,,0.0,175.916,0.0,175.916,345.648001,
03/31/1993,357.760986,2.751,2.751,0.0,90.997002,,,38.516998,,,,,17.813999,,,,,,150.078995,178.710007,,,0.0,,28.972,,,,28.972,207.682007,,34.023998,34.023998,,,,26.950001,,,,42.775002,,,42.775002,103.749001,67.0,,,,9.951,,,,9.951,76.951,180.700001,0,177.061005,,,0.0,,0.0,177.061005,0.0,177.061005,357.761005,
06/30/1993,362.652008,2.495,2.495,0.0,87.123001,,,39.591999,,,,,19.971001,,,,,,149.181,182.341003,,,0.0,,31.129999,,,,31.129999,213.471003,,31.889999,31.889999,,,,37.349998,,,,35.305,,,35.305,104.544998,67.0,,,,10.255,,,,10.255,77.255,181.799998,0,180.852005,,,0.0,,0.0,180.852005,0.0,180.852005,362.652003,
09/30/1993,369.531006,1.62,1.62,0.0,94.518997,,,38.057999,,,,,12.174,,,,,,146.371002,183.962006,492.011993,-308.049988,0.0,,39.198002,,,,39.198002,223.160008,,46.192001,46.192001,,,,10.53,,,,33.131995,,,33.131995,89.853996,84.5,,,,4.871,,,,4.871,89.371,179.224996,0,151.449997,,,0.0,,35.681999,187.131996,3.174,190.305996,369.530992,
12/31/1993,384.700989,3.152,3.152,0.0,96.369003,,,37.584999,,,,,14.226,,,,,,151.332001,188.242004,,,0.0,,45.126999,,,,45.126999,233.369003,,46.043999,46.043999,,,,8.0,,,,29.725998,,,29.725998,83.769997,97.550003,,,,21.955999,,,,21.955999,119.506002,203.275999,0,,,,0.0,,181.425003,181.425003,0.0,181.425003,384.701002,
03/31/1994,389.207001,2.981,2.981,0.0,89.610001,,,40.34,,,,,14.971,,,,,,147.901993,195.567993,,,0.0,,45.737,,,,45.737,241.304993,,41.091999,41.091999,,,,11.504,,,,28.016001,,,28.016001,80.612,104.550003,,,,22.021,,,,22.021,126.571003,207.183002,0,,,,0.0,,182.024002,182.024002,0.0,182.024002,389.207005,
