Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,1654.531006,,-1366.45105,,288.079956,,-164.541,,,,,,123.539001,-47.013,,54.091,,,-7.078,76.526002,-36.860001,,,,39.666,0.0,,,39.666001,0.0,39.666,0.0,,39.666,39.666,,242.916,0.163333,0.163333,,242.916,0.163333,0.163333,0.163333,
06/30/1990,1222.598999,,-1089.422974,,133.176025,,-171.707001,,,,,,-38.530998,-41.565,,51.792,,,-10.227,-80.095998,7.977,,,,-72.119003,0.0,,,-72.118998,0.0,-72.119003,0.0,,-72.119003,-72.119003,,242.985008,-0.296667,-0.296667,,242.985008,-0.296667,-0.296667,-0.296667,
09/30/1990,1741.889038,,-1124.791992,,617.097046,,-201.697998,,,,,,415.398987,-46.386002,,55.227001,,,-8.841,369.012985,-89.029999,,,,279.983002,0.0,,,279.982986,0.0,279.983002,0.0,,279.983002,279.983002,,243.173996,1.153333,1.153333,,243.173996,1.153333,1.153333,1.153333,
12/31/1990,2328.486084,,-1871.725952,,456.760132,,-251.059006,,,,,,205.701004,44.356998,,63.09,-7.347,,-100.099998,250.058002,-14.875,,,,235.182999,0.0,,,235.183002,0.0,235.182999,0.0,,235.182999,235.182999,,241.544997,0.966667,0.966667,0.966667,241.544997,0.966667,0.966667,0.966667,
03/31/1991,1957.803955,,-1643.984985,,313.81897,,-215.091995,,,,,,98.726997,27.266998,,49.945,,,-77.211998,125.993996,-50.330002,,,,75.664001,0.0,,,75.663994,0.0,75.664001,0.0,,75.664001,75.664001,,243.198006,0.31,0.31,0.31,243.198006,0.31,0.31,0.31,
06/30/1991,1391.729004,,-1129.661987,,262.067017,,-220.434998,,,,,,41.632,2.237003,,39.210999,,,-41.448002,43.869003,23.912001,,,,67.780998,0.0,,,67.781004,0.0,67.780998,0.0,,67.780998,67.780998,,243.266991,0.28,0.28,,243.266991,0.28,0.28,0.28,
09/30/1991,1311.427002,,-1074.074951,,237.352051,,-197.475998,,,,,,39.875999,-26.209002,,41.129002,,,-14.92,13.666998,-21.169001,,,,-7.502,0.0,,,-7.502003,0.0,-7.502,0.0,,-7.502,-7.502,,243.305992,-0.03,-0.03,,243.305992,-0.03,-0.03,-0.03,
12/31/1991,1605.88501,,-1390.875,,215.01001,,-250.729004,,,,,,-35.719002,-31.648999,,47.564999,-6.375,,-9.541,-67.368001,15.733,,,,-51.634998,0.0,,,-51.635001,0.0,-51.634998,0.0,,-51.634998,-51.634998,,243.207,-0.213333,-0.213333,-0.213333,243.207,-0.213333,-0.213333,-0.213333,
03/31/1992,1429.927002,,-1231.661011,,198.265991,,-182.264999,,,,,,16.000999,-22.208002,,42.823002,,,-20.615,-6.207003,-17.211,,,,-23.417999,0.0,,,-23.418003,0.0,-23.417999,0.0,,-23.417999,-23.417999,,243.285004,-0.096667,-0.096667,,243.285004,-0.096667,-0.096667,-0.096667,
06/30/1992,1457.723022,,-1201.160034,,256.562988,,-197.945999,,,,,,58.617001,-17.457001,,39.854,,,-22.396999,41.16,-36.771999,,,,4.388,0.0,,,4.388,0.0,4.388,0.0,,4.388,4.388,,248.963997,0.02,0.02,,248.963997,0.02,0.02,0.02,
