Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investment & Loan Inc (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2010,239.403,215.086,264.964,264.924,0.04,-49.878,24.317,0.617,,0.617,0.0,14.228,9.472,-16.17,223.233,-102.852,0.0,102.852,120.381,0.0,0.0,120.381,-50.883,69.498,0.0,0.0,0.0,69.498,-1.198,68.3,0.0,0.0,68.3,68.3,0.0,,,,,,,,,
06/30/2010,223.294,198.153,243.874,243.757,0.117,-45.721,25.141,0.673,0.0,0.673,0.0,13.701,10.767,-1.182,222.112,-114.112,0.0,114.112,108.0,0.0,0.0,108.0,-46.255,61.745,0.0,0.0,0.0,61.745,-1.198,60.547,0.0,0.0,60.547,60.547,0.0,,,,,,,,,
09/30/2010,255.268,236.24,263.828,261.889,1.939,-27.588,19.028,1.033,0.0,1.033,0.0,16.098,1.897,-4.5,250.768,-136.203,0.0,136.203,114.565,0.0,0.0,114.565,-46.972,67.593,0.0,0.0,0.0,67.593,-1.198,66.395,0.0,0.0,66.395,75.3442,8.9492,124.133,0.53,0.53,0.606963,125.858,0.53,0.53,0.601106,
12/31/2010,284.042,256.63,282.979,276.607,6.372,-26.349,27.412,3.8,0.0,3.8,0.0,20.892,2.72,-14.309,269.733,-143.033,0.0,143.033,126.7,0.0,0.0,126.7,-49.535,77.165,0.0,0.0,0.0,77.165,-1.198,75.967,0.0,0.0,75.967,75.967,0.0,125.109,0.61,0.61,0.61,127.546,0.6,0.6,0.6,
03/31/2011,285.56,254.494,281.921,269.933,11.988,-27.427,31.066,4.354,0.0,4.354,0.0,15.312,11.4,-7.613,277.947,-134.989,0.0,134.989,142.958,0.0,0.0,142.958,-52.895,90.063,0.0,0.0,0.0,90.063,-1.291,88.772,0.0,0.0,88.772,88.772,0.0,128.858,0.69,0.69,0.69,132.509,0.67,0.67,0.67,
06/30/2011,283.999,256.802,285.934,270.044,15.89,-29.132,27.197,0.427,0.0,0.427,0.0,17.301,9.469,-13.026,270.973,-138.829,0.0,138.829,132.144,0.0,0.0,132.144,-46.142,86.002,0.0,0.0,0.0,86.002,-1.17,84.832,0.0,0.0,84.832,84.832,0.0,128.858,0.66,0.66,0.66,133.091,0.64,0.64,0.64,
09/30/2011,299.171,268.906,300.341,280.379,19.962,-31.435,30.265,1.301,0.0,1.301,0.0,18.128,10.836,-15.531,283.64,-144.789,0.0,144.789,138.851,0.0,0.0,138.851,-49.986,88.865,0.0,0.0,0.0,88.865,-1.072,87.793,0.0,0.0,87.793,87.793,0.0,129.207,0.68,0.68,0.68,132.437,0.66,0.66,0.66,
12/31/2011,314.939,285.537,314.761,289.423,25.338,-29.224,29.402,0.335,0.0,0.335,0.0,17.305,11.762,-16.159,298.78,-158.001,0.0,158.001,140.779,0.0,0.0,140.779,-49.016,91.763,0.0,0.0,0.0,91.763,-1.072,90.691,0.0,0.0,90.691,90.691,0.0,129.313,0.7,0.7,0.7,132.939,0.68,0.68,0.68,
03/31/2012,313.913,281.268,309.156,280.297,28.859,-27.888,32.645,3.809,0.0,3.809,0.0,16.816,12.02,-14.852,299.061,-164.755,0.0,164.755,134.306,0.0,0.0,134.306,-41.635,92.671,0.0,0.0,0.0,92.671,-0.913,91.758,-2.451,0.0,89.307,89.307,0.0,129.498,0.69,0.69,0.69,133.621,0.67,0.67,0.67,
06/30/2012,327.236,290.597,322.127,291.862,30.265,-31.53,36.639,4.754,0.0,4.754,0.0,20.287,11.598,-14.875,312.361,-171.555,0.0,171.555,140.806,0.0,0.0,140.806,-42.274,98.532,0.0,0.0,0.0,98.532,-0.625,97.907,-17.291,0.0,80.616,80.616,0.0,129.89,0.62,0.62,0.62,134.002,0.6,0.6,0.6,
