Date,Revenue,Sales & Services Revenue,Financing Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/29/1989,1025.491943,,,-746.658997,,278.832947,,-243.050003,,,35.783001,-126.121994,,141.052994,,,-14.931,-90.338993,-28.145,-62.194,,,,-118.483994,,-62.194,,,-62.194,-62.194,,,,,,,,,,
07/29/1989,1019.846985,,,-756.984985,,262.862,,-242.069,,,20.792999,-137.190998,,158.740997,,,-21.549999,-116.397999,-37.507999,-78.889999,,,,-153.905998,,-78.889999,,,-78.889999,-78.889999,,,,,,,,,,
10/28/1989,1229.718994,,,-881.223022,,348.495972,,-284.449005,,,64.046997,-134.586002,,156.759003,,,-22.173,-70.539005,-19.815001,-50.723999,,,,-90.354006,,-50.723999,,,-50.723999,-50.723999,,,,,,,,,,
02/03/1990,4302.527832,,,-3062.253906,,1240.273926,,-1111.448975,,,128.824997,-1618.692963,,458.003998,,,1160.688965,-1489.867966,78.684998,-1582.119019,,,,-1411.182968,,-1582.119019,,,-1582.119019,-1582.119019,,,,,,,,,,
05/05/1990,1008.119995,,,-744.734985,,263.38501,,-247.520996,,,15.864,-98.265996,,113.367996,,,-15.102,-82.401996,24.843,-57.558998,,,,-57.558995,,-57.558998,,,-57.558998,-57.558998,,,,,,,,,,
08/04/1990,983.770996,,,-756.245972,,227.525024,,-255.511002,,,-27.986,-90.732,,106.666,,,-15.934,-118.718,38.668999,-80.049004,,,,-80.049002,,-80.049004,,,-80.049004,-80.049004,,,,,,,,,,
11/03/1990,1142.244995,,,-830.799011,,311.445984,,-277.821014,,,33.625,-115.043002,,108.289001,,,6.754,-81.418002,23.58,-57.838001,,,,-57.838002,,-57.838001,,,-57.838001,-57.838001,,,,,,,,,,
02/02/1991,4007.846924,,,-2841.112061,,1166.734863,,-1053.064941,,,113.669998,-378.933006,,311.20401,,,67.728996,-265.263008,189.263,-76.0,,,,-76.000008,,-76.0,,,-76.0,-76.0,,,,,,,,,,
05/04/1991,1028.874023,,,-729.21698,,299.657043,,-267.997009,,,31.66,-78.372003,,89.940002,,,-11.568,-46.712003,10.827,-35.884998,,,,-35.885003,,-35.884998,,,-35.884998,-35.884998,,,,,,,,,,
08/03/1991,964.734985,,,-695.526978,,269.208008,,-258.562012,,,10.646,-170.514,,85.324997,,,85.189003,-159.868,51.332001,-108.536003,,,,-108.535999,,-108.536003,,,-108.536003,-108.536003,,,,,,,,,,
11/02/1991,1137.079956,,,-797.888977,,339.190979,,-294.992004,,,44.199001,-81.526,,85.486,,,-3.96,-37.326999,7.203,-30.124001,,,,-30.123999,,-30.124001,,,-30.124001,-30.124001,,,,,,,,,,
02/01/1992,3801.634033,,,-2741.837891,,1059.796143,,-879.328979,,,180.466995,1608.856064,,243.505997,,,-1852.362061,1789.323059,544.627014,-1061.427002,2072.364014,,,261.58606,,1010.937012,,,1010.937012,1010.937012,,,,,,,,,,
05/02/1992,1571.725952,,,-1109.103027,,462.622925,,-382.362,,,80.261002,-57.285002,,78.177002,,,-20.892,22.976,-11.164,11.812,,,,11.812,,11.812,,,11.812,11.812,,159.940002,0.075,0.075,,159.940002,0.075,0.075,0.075,
08/01/1992,1457.212036,,,-872.182007,,585.030029,,-557.755005,,,27.275,-49.753999,,64.432999,,0.0,-14.679,-22.478999,6.69,-15.789,13.573999,,,-29.362998,0.0,-29.363001,0.0,,-29.363001,-29.363001,,226.764008,-0.13,-0.07,,226.764008,-0.13,-0.07,-0.07,
10/31/1992,1788.964966,,,-1074.714966,,714.25,,-614.781982,,,99.468002,-43.933,,56.611,,0.0,-12.678,55.535003,-23.952999,31.582001,0.0,,,31.582004,0.0,31.582001,0.0,,31.582001,31.582001,,252.039993,0.125,0.125,,252.039993,0.125,0.125,0.125,
01/30/1993,2262.038086,,,-1173.395996,,1088.64209,,-865.784973,,,222.856995,-46.882002,,58.990002,,0.0,-12.108,175.974993,-70.872002,105.102997,6.125,,,98.977991,0.0,98.977997,0.0,,98.977997,98.977997,,252.127289,0.39,0.415,,252.127289,0.39,0.415,0.415,
05/01/1993,1590.259033,,,-951.718018,,638.541016,,-555.609985,,,82.931,-43.272001,,56.088001,,0.0,-12.816,39.658998,-17.959,21.700001,3.545,,,18.154999,0.0,18.155001,0.0,,18.155001,18.155001,,252.417999,0.07,0.085,,252.417999,0.07,0.085,0.085,
