Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investments & Loans Income (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Other Non-Operating (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,Extraordinary & Accounting Items,Income (Loss) incl. Minority Interest,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2005,1519.0,220.0,548.0,0.0,548.0,-328.0,1299.0,0.0,,,,896.0,403.0,0.0,1519.0,-1253.0,0.0,1253.0,266,-20.0,20.0,246.0,-71.0,175.0,-8.0,,,183.0,0.0,183.0,0.0,0.0,183.0,183.0,,246.2,0.74,0.71,0.65,246.2,0.74,0.71,0.65,
06/30/2005,1548.0,211.0,558.0,0.0,558.0,-347.0,1337.0,0.0,,,,921.0,416.0,0.0,1548.0,-1301.0,0.0,1301.0,247,-56.0,56.0,191.0,-42.0,149.0,-6.0,,,155.0,0.0,155.0,0.0,0.0,155.0,155.0,,246.2,0.63,0.61,0.65,246.2,0.63,0.61,0.65,
09/30/2005,1520.0,208.0,561.0,0.0,561.0,-353.0,1312.0,0.0,,,,983.0,329.0,0.0,1520.0,-1247.0,0.0,1247.0,273,-92.0,92.0,181.0,-58.0,123.0,-2.0,,,125.0,0.0,125.0,0.0,0.0,125.0,125.0,,246.2,0.5,0.5,0.73,246.2,0.5,0.5,0.73,
12/31/2005,1514.0,219.0,574.0,0.0,574.0,-355.0,1295.0,0.0,,,,928.0,367.0,0.0,1514.0,-1262.0,0.0,1262.0,252,-82.0,82.0,170.0,-59.0,111.0,0.0,,,111.0,0.0,111.0,0.0,0.0,111.0,111.0,,249.9,0.44,0.44,0.77,250.3,0.44,0.44,0.77,
03/31/2006,1602.0,227.0,574.0,0.0,574.0,-347.0,1375.0,0.0,,,,1011.0,364.0,0.0,1602.0,-1344.0,0.0,1344.0,258,-67.0,67.0,191.0,-46.0,145.0,0.0,,,145.0,0.0,145.0,0.0,0.0,145.0,145.0,,252.3,0.57,0.57,0.75,253.5,0.57,0.57,0.75,
06/30/2006,1718.0,187.0,522.0,0.0,522.0,-335.0,1531.0,0.0,,,,1046.0,485.0,0.0,1718.0,-1448.0,0.0,1448.0,270,-84.0,84.0,186.0,-45.0,141.0,0.0,,,141.0,0.0,141.0,0.0,0.0,141.0,141.0,,246.3,0.57,0.57,0.79,248.0,0.57,0.57,0.79,
09/30/2006,1628.0,193.0,542.0,0.0,542.0,-349.0,1435.0,0.0,,,,1020.0,415.0,0.0,1628.0,-1324.0,0.0,1324.0,304,-87.0,87.0,217.0,-43.0,174.0,0.0,,,174.0,0.0,174.0,0.0,0.0,174.0,174.0,,244.5,0.71,0.71,0.94,246.4,0.71,0.71,0.94,
12/31/2006,2003.0,298.0,609.0,0.0,609.0,-311.0,1705.0,0.0,,,,1192.0,513.0,0.0,2003.0,-1677.0,0.0,1677.0,326,-123.0,123.0,203.0,-32.0,171.0,0.0,,,171.0,0.0,171.0,0.0,0.0,171.0,171.0,,243.3,0.7,0.7,1.03,246.3,0.69,0.69,1.02,
03/31/2007,1781.0,217.0,532.0,0.0,532.0,-315.0,1564.0,0.0,,,,1140.0,424.0,0.0,1781.0,-1480.0,0.0,1480.0,301,-85.0,85.0,216.0,-51.0,165.0,0.0,,,165.0,0.0,165.0,0.0,0.0,165.0,165.0,,240.7,0.69,0.69,0.91,244.1,0.68,0.68,0.9,
06/30/2007,1909.0,197.0,507.0,0.0,507.0,-310.0,1712.0,0.0,,,,1282.0,430.0,0.0,1909.0,-1601.0,0.0,1601.0,308,-63.0,63.0,245.0,-49.0,196.0,0.0,,,196.0,0.0,196.0,0.0,0.0,196.0,196.0,,237.4,0.83,0.83,1.0,241.0,0.81,0.81,0.98,
