Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
07/02/2005,91.28,35.902,35.902,,19.637,19.637,,19.71,14.312,4.584,1.562,-0.748,4.332,,,,,,79.581,1.488,2.208,-0.72,,,,,10.211,12.883,2.821,10.062,,-2.672,11.699,,19.135,19.135,,,,0.007,,,,,7.704,,,,7.704,26.846,1.5,,,,1.233,,,,,1.233,2.733,29.579,,182.55,,,,-118.61,-2.239,61.701,,61.701,91.28,
10/01/2005,119.334,10.743,2.796,7.947,46.179,46.179,,39.954,24.203,16.683,2.694,-3.626,11.08,,,,,,107.956,1.52,2.397,-0.877,,,,,9.858,2.821,2.821,0.0,,7.037,11.378,,35.077,35.077,,,,0.0,,,,,17.133,,,,17.133,52.21,0.0,,,,0.934,,,,,0.934,0.934,53.144,,182.483,,,,-114.24,-2.053,66.19,,66.19,119.334,
12/31/2005,176.042,54.164,29.099,25.065,49.7,49.7,,40.649,31.635,8.111,3.98,-3.077,19.28,,,,,,163.793,2.588,3.655,-1.067,0.0,,,,9.661,9.421,0.781,8.64,,0.24,12.249,,28.226,28.226,,,,0.0,,,,,23.241,,,,23.241,51.467,0.0,,,,1.31,,,,,1.31,1.31,52.777,,231.995,,,,-106.926,-1.804,123.265,,123.265,176.042,
04/01/2006,345.956,208.216,136.744,71.472,48.294,48.294,,60.034,35.138,23.216,4.217,1.364,16.615,,,,,,333.159,3.49,4.786,-1.296,,,,,9.307,2.821,2.821,0.0,,6.486,12.797,,50.708,50.708,,,,0.0,,,,,9.6,,,,9.6,60.308,0.0,,,,1.557,,,,,1.557,1.557,61.865,,385.05,,,,-100.954,-0.005,284.091,,284.091,345.956,
06/30/2006,340.759,215.328,58.82,156.508,46.565,46.565,,47.271,38.943,5.262,6.324,-3.258,15.886,,,,,,325.05,4.026,5.66,-1.634,,,,,11.683,2.821,2.821,0.0,,8.862,15.709,,30.481,30.481,,,,0.0,,,,,12.377,,,,12.377,42.858,0.0,,,,2.512,,,,,2.512,2.512,45.37,,391.057,,,,-95.628,-0.04,295.389,,295.389,340.759,
09/30/2006,372.897,195.797,18.015,177.782,63.413,63.413,,47.347,41.148,4.352,6.882,-5.035,17.395,,,,,,323.952,4.529,6.519,-1.99,,,,,44.416,36.148,21.229,14.919,,8.268,48.945,,45.957,45.957,,,,0.0,,,,,17.321,,,,17.321,63.278,0.0,,,,6.354,,,,,6.354,6.354,69.632,,399.316,,,,-96.017,-0.034,303.265,,303.265,372.897,
12/31/2006,406.77,160.471,30.446,130.025,104.07,104.07,,68.137,51.356,10.894,4.129,1.758,22.717,,,,,,355.395,5.372,7.788,-2.416,0.0,,,,46.003,36.878,22.871,14.007,,9.125,51.375,,61.102,61.102,,,,0.0,,,,,26.113,,,,26.113,87.215,0.0,,,,3.866,,,,,3.866,3.866,91.081,0.0,411.146,,,0.0,-95.454,-0.003,315.689,0.0,315.689,406.77,
03/31/2007,390.024,170.103,52.652,117.451,69.143,69.143,,68.862,51.372,11.712,4.251,1.527,23.186,,,,,,331.294,6.87,9.816,-2.946,,,,,51.86,36.296,23.021,13.275,,15.564,58.73,,48.299,48.299,,,,0.0,,,,,21.855,,,,21.855,70.154,0.0,,,,4.338,,,,,4.338,4.338,74.492,0.0,420.828,,,,-105.225,-0.071,315.532,0.0,315.532,390.024,
06/30/2007,336.167,180.628,41.941,138.687,38.924,38.924,,43.334,33.725,4.895,3.013,1.701,20.806,,,,,,283.692,7.286,10.994,-3.708,0.0,,,,45.189,44.437,23.201,21.236,,0.752,52.475,,21.936,21.936,,,,0.0,,,,,27.807,,,,27.807,49.743,0.0,,,,3.704,,,,,3.704,3.704,53.447,0.0,428.439,,,0.0,-145.673,-0.046,282.72,0.0,282.72,336.167,
09/29/2007,376.461,178.756,38.146,140.61,67.883,67.883,,50.852,32.426,12.593,4.44,1.393,26.355,,,,,,323.846,7.888,11.997,-4.109,0.0,,,,44.727,43.39,23.221,20.169,,1.337,52.615,,62.505,62.505,,,,0.0,,,,,19.058,,,,19.058,81.563,0.0,,,,6.112,,,,,6.112,6.112,87.675,0.0,434.497,,,0.0,-145.668,-0.043,288.786,0.0,288.786,376.461,
