Date,Returns,Return on Common Equity,Return on Assets,Return on Invested Capital,Margins,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
03/31/2005,,,,,,,,,,,,2.551694,2.551694,,,,,
06/30/2005,,,,,,,,,,,,10.964019,10.964019,,,,,
12/31/2005,,,,,,,,,,,,5.086313,5.086313,,,,,
03/31/2006,,,,,,57.858933,,20.802005,,14.643752,11.88686,5.94343,5.94343,,18.826406,0.0,,
06/30/2006,,,,,,59.326042,,23.61809,,20.780372,16.553355,11.646468,11.646468,,20.341394,,,
09/30/2006,,,,,,59.796725,,27.188029,,22.444946,17.843027,13.523433,13.523433,,20.503145,,,
12/31/2006,,,,,,58.21727,,24.902507,,20.891365,16.740947,10.334262,10.334262,,19.866667,,,
03/31/2007,,,,,,58.275975,,23.205506,,18.551295,15.240905,9.177319,9.177319,,17.844523,,,
06/30/2007,,12.756154,5.94438,13.909585,,58.682796,,25.913978,48.961424,22.392473,17.930108,13.413978,13.413978,,19.927971,,,
09/30/2007,,,,,,,,,,,,13.737427,13.737427,,,,,
12/31/2007,,16.46872,7.759137,,,59.494976,,30.7395,102.749141,35.763978,30.971399,23.1899,23.1899,,13.400576,,,
03/31/2008,,,,,,57.238494,,22.364017,20.879121,16.631799,13.870293,7.803347,7.803347,,16.603774,,,
06/30/2008,,21.899089,9.611844,,,58.127483,,25.82484,25.246639,20.798065,19.070651,14.441182,14.441182,,8.305648,,,
09/30/2008,,,,,,57.779244,,27.569708,,21.003135,16.46593,11.38426,11.38426,,21.602514,,,
12/31/2008,,9.113397,2.478153,7.396358,,51.859384,,24.186519,,7.684486,5.258571,0.421267,0.421267,,31.568998,,,
03/31/2009,,,,,,51.116262,,25.265341,29.323968,16.286446,12.114188,8.734903,8.734903,,25.617978,,,
06/30/2009,,,,,,53.868014,,30.081044,36.71875,19.250605,14.219556,11.272498,11.272498,,26.1345,,,
09/30/2009,,,,,,53.856397,,33.329919,42.76067,25.043532,18.887637,15.835297,15.835297,,24.580777,,,
12/31/2009,,17.486732,4.077376,9.359924,,53.705496,,36.431107,71.363448,22.103904,18.177907,13.767882,13.767882,,17.761557,,,
03/31/2010,,,,,,55.350066,,29.110124,271.538462,14.410952,10.147712,5.704335,5.704335,,29.583333,,,
06/30/2010,,,,,,55.177676,,28.384565,-77.675841,21.48463,16.361456,12.524526,12.524526,,23.845764,,,
09/30/2010,,,,,,55.700955,,30.977153,-83.181818,25.81787,19.95066,15.381315,15.381315,,22.725384,,,
12/31/2010,,12.278695,3.549216,8.614751,,55.747915,,31.468384,,22.221049,16.436187,10.218516,10.218516,,26.033254,131.818182,-3.906858,
03/31/2011,,,,,,56.692214,,30.145507,42.899408,21.081862,16.338998,10.707542,10.707542,,22.497366,,,
06/30/2011,,14.053313,4.214469,9.525967,,56.471061,,30.094453,50.257069,22.950161,19.242363,14.569936,14.569936,,16.155867,,,
09/30/2011,,,,,,57.042185,,31.398649,35.794183,24.146031,19.898209,15.572086,15.572086,,17.592217,,,
