Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1993,15.407,,,-10.96,,,4.447,,-3.258,,,,1.189,-1.177,,1.106,0.0,0.071,0.012,0.101,,,0.113,0.0,,,0.113,0.0,0.113,0.0,,0.113,0.113,,171.899914,0.0,0.0,,171.899914,0.0,0.0,0.0,
06/30/1993,19.233999,,,-12.536,,,6.697999,,-6.65,,,,0.048,-1.492,,1.303,0.0,0.189,-1.444,-3.737,,,-5.181,0.0,,,-5.181,0.0,-5.181,0.0,,-5.181,-5.181,,196.481153,-0.026311,-0.026311,,196.481153,-0.026311,-0.026311,-0.026311,
09/30/1993,22.367001,,,-16.063999,,,6.303001,,-5.037,,,,1.266,-1.408,,1.394,0.0,0.014,-0.142,-0.049,,,-0.191,0.0,,,-0.191,0.0,-0.191,0.0,,-0.191,-0.191,,223.931135,-0.000711,-0.000711,,223.931135,-0.000711,-0.000711,-0.000711,
12/31/1993,21.105,,,-16.263,,,4.842,,-1.624,,,,3.218,-2.013,,1.809,0.0,0.204,1.205,0.042,,,1.247,0.0,,,1.247,0.0,1.247,0.0,,1.247,1.247,,225.435825,0.005689,0.005689,0.005689,225.435825,0.005689,0.005689,0.005689,
03/31/1994,22.575001,,,-17.572001,,,5.003,,-3.731,,,,1.272,-1.948,,1.944,0.0,0.004,-0.676,0.232,,,-0.444,0.0,,,-0.444,0.0,-0.444,0.0,,-0.444,-0.444,,223.931135,-0.002133,-0.002133,,223.931135,-0.002133,-0.002133,-0.002133,
06/30/1994,23.987,,,-16.198,,,7.789,,-4.258,,,,3.531,-2.348,,2.034,0.0,0.314,1.183,-0.41,,,0.773,0.0,,,0.773,0.0,0.773,0.0,,0.773,0.773,,223.931135,0.003556,0.003556,,223.931135,0.003556,0.003556,0.003556,
09/30/1994,25.26,,,-16.177999,,,9.082001,,-4.794,,,,4.288,-1.977,,1.925,0.0,0.052,2.311,-0.791,,,1.52,0.0,,,1.52,0.0,1.52,0.0,,1.52,1.52,,223.931135,0.007111,0.007111,,223.931135,0.007111,0.007111,0.007111,
12/31/1994,24.165001,,,-15.775,,,8.390001,,-4.957,,,,3.433,-1.473,,2.131,0.0,-0.658,1.96,-0.761,,,1.199,0.0,,,1.199,0.0,1.199,0.0,,1.199,1.199,,223.931138,0.005689,0.005689,0.005689,223.931138,0.005689,0.005689,0.005689,
03/31/1995,24.016001,,,-16.245001,,,7.771,,-3.36,,,,4.411,-2.17,,2.241,0.0,-0.071,2.241,-0.778,,,1.463,0.0,,,1.463,0.0,1.463,0.0,,1.463,1.463,,223.945203,0.0064,0.0064,,223.945203,0.0064,0.0064,0.0064,
06/30/1995,25.441,,,-17.492001,,,7.948999,,-6.244,,,,1.705,-0.372,,2.711,0.0,-2.339,1.333,-0.39,,,0.943,0.0,,,0.943,0.0,0.943,0.0,,0.943,0.943,,224.029572,0.004267,0.004267,,224.029572,0.004267,0.004267,0.004267,
09/30/1995,27.422001,,,-19.982,,,7.440001,,-2.533,,,,4.907,-3.059,,3.517,0.0,-0.458,1.848,-0.637,,,1.211,-0.609,,,1.82,0.0,1.82,0.0,,1.82,1.82,,246.346747,0.007111,0.004622,,246.346747,0.007111,0.004622,0.004622,
12/31/1995,31.104,,,-21.039,,,10.065,,-9.665,,,,0.4,-22.841001,,4.054,0.0,18.787001,-22.441001,7.63,,,-14.811,-0.047,,,-14.764001,0.0,-14.764,0.0,,-14.764,-14.764,,257.118621,-0.0576,-0.0576,-0.0576,257.118621,-0.0576,-0.0576,-0.0576,
03/31/1996,35.765999,,,-19.658001,,,16.107998,,-5.501,,,,10.607,-3.636,,3.951,0.0,-0.315,6.971,-2.3,,,4.671,0.0,,,4.671,0.0,4.671,0.0,,4.671,4.671,,258.76392,0.017778,0.017778,0.017778,258.76392,0.017778,0.017778,0.017778,
06/30/1996,36.354,,,-20.136,,,16.218,,-10.093,,,,6.125,-3.209,,3.59,0.0,-0.381,2.916,-1.109,,,1.807,0.0,,,1.807,0.0,1.807,0.0,,1.807,1.807,,257.315501,0.007111,0.007111,0.007111,257.315501,0.007111,0.007111,0.007111,
