Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
04/01/1990,,90.099998,74.800003,-34.900002,-119.900002,10.1,,,,,,,,,,,,,,,,,
07/01/1990,,99.099998,73.199997,7.1,-33.5,145.899994,,,,,,,,,,,,,,,,,
09/30/1990,,83.5,70.900002,-1.2,147.0,300.200012,,,,,,,,,,,,,,,,,
12/31/1990,,109.199997,64.099998,54.5,37.299999,265.100006,,,,,,,,,,,,,,,265.100006,,
03/31/1991,,71.800003,71.900002,-27.299999,-189.100006,-72.699997,,,,,,,,,,,,,,,,,
06/30/1991,,77.599998,69.900002,-16.0,-31.6,99.900002,,,,,,,,,,,,,,,,,
09/29/1991,,79.099998,71.699997,21.700001,13.0,185.5,,,,,,,,,,,,,,,,,
12/31/1991,,102.599998,72.5,46.099998,55.0,276.200012,,,,,,,,,,,,,,,276.200012,,
03/29/1992,,-31.1,73.0,127.099998,-44.599998,124.400002,,,,,,,,,,,,,,,,,
06/29/1992,,81.800003,47.900002,26.4,-173.699997,-17.6,,,,,,,,,,,,,,,,,
09/28/1992,,167.100006,57.5,40.0,-28.9,235.699997,,,,,,,,,,,,,,,,,
12/31/1992,,29.0,114.300003,39.0,6.8,189.100006,,,,,,,,,,,,,,,189.100006,,
04/04/1993,,57.299999,73.900002,6.6,-60.299999,77.5,,,,,,,,,,,,,,,,,
06/30/1993,,71.400002,71.400002,-32.200001,-44.799999,65.800003,,,,,,,,,,,,,,,,,
09/30/1993,,80.900002,33.900002,8.8,37.700001,161.300003,,,,,,,,,,,,,,,,,
12/31/1993,,112.599998,105.699997,2.5,-50.599998,170.199997,,,,,,,,,,,,,,,170.199997,,
04/03/1994,,47.700001,70.099998,-4.7,-57.599998,55.5,,,,,,,,,,,,,,,,,
07/03/1994,,56.900002,71.099998,-3.25,-81.849998,42.900002,,,,,,,,,,,,,,,,,
