Date,Level 2 Assets,Total FV Assets,Level 2 Liabilities,Total FV Liabilities,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
09/30/2009,,,5.5,,,,,,
12/31/2009,,,4.3,,,,,,
03/31/2010,1.1,1.1,4.4,4.4,0.13466,0.13466,0.041072,0.041072,
06/30/2010,9.4,9.4,4.6,4.6,1.10845,1.10845,0.344716,0.344716,
09/30/2010,2.1,2.1,26.8,26.8,0.22085,0.22085,0.073316,0.073316,
12/31/2010,4.587,4.587,16.71,16.71,0.457257,0.457257,0.159689,0.159689,
03/31/2011,2.13,2.13,22.257,22.257,0.193137,0.193137,0.072288,0.072288,
06/30/2011,2.637,2.637,13.471,13.471,0.221836,0.221836,0.087649,0.087649,
09/30/2011,12.279,12.279,6.709,6.709,1.024561,1.024561,0.41574,0.41574,
12/31/2011,15.092,15.092,-5.422,-5.422,1.362823,1.362823,0.508905,0.508905,
06/30/2012,9.927,9.927,3.231,3.231,0.809369,0.809369,0.328132,0.328132,
09/30/2012,4.628,4.628,5.175,5.175,0.37,0.37,0.151247,0.151247,
12/31/2012,3.539,3.539,5.529,5.529,0.282542,0.282542,0.10902,0.10902,
03/31/2013,8.12,8.12,5.964,5.964,0.619444,0.619444,0.253706,0.253706,
06/30/2013,7.714,7.714,2.484,2.484,0.561251,0.561251,0.233127,0.233127,
09/30/2013,5.332,5.332,8.677,8.677,0.370399,0.370399,0.160384,0.160384,
12/31/2013,10.146,10.146,8.933,8.933,0.691591,0.691591,0.304526,0.304526,
03/31/2014,2.978,2.978,9.554,9.554,0.1958,0.1958,0.089662,0.089662,
06/30/2014,3.015,3.015,2.572,2.572,0.188209,0.188209,0.088663,0.088663,
09/30/2014,25.923,25.923,1.941,1.941,1.577157,1.577157,0.745662,0.745662,
12/31/2014,21.718,21.718,1.061,1.061,1.426293,1.426293,0.621469,0.621469,
03/31/2015,52.341,52.341,10.555,10.555,3.329375,3.329375,1.492399,1.492399,
06/30/2015,17.374,17.374,6.089,6.089,1.068069,1.068069,0.475527,0.475527,
09/30/2015,13.248,13.248,10.76,10.76,0.829998,0.829998,0.338678,0.338678,
12/31/2015,11.47,11.47,5.128,5.128,0.719127,0.719127,0.309832,0.309832,
03/31/2016,8.944,8.944,11.704,11.704,0.546846,0.546846,0.214873,0.214873,
06/30/2016,20.538,20.538,10.627,10.627,1.224007,1.224007,0.49434,0.49434,
09/30/2016,8.947,8.947,7.439,7.439,0.526853,0.526853,0.218372,0.218372,
12/31/2016,21.837,21.837,2.98,2.98,1.338762,1.338762,0.543617,0.543617,
03/31/2017,6.796,6.796,5.925,5.925,0.416545,0.416545,0.159821,0.159821,
06/30/2017,539.088,539.088,16.03,16.03,32.086929,32.086929,11.671413,11.671413,
09/30/2017,15.506,15.506,12.562,12.562,0.879779,0.879779,0.34302,0.34302,
12/31/2017,5.137,5.137,13.555,13.555,0.304092,0.304092,0.1117,0.1117,
03/31/2018,7.36,7.36,10.337,10.337,0.413724,0.413724,0.157222,0.157222,
06/30/2018,460.198,460.198,34.887,34.887,26.204146,26.204146,9.847089,9.847089,
09/30/2018,10.333,10.333,4.771,4.771,0.255897,0.255897,0.107461,0.107461,
12/31/2018,7.229,7.229,6.907,6.907,0.118021,0.118021,0.056085,0.056085,
03/31/2019,21.296,21.296,3.22,3.22,0.339693,0.339693,0.161194,0.161194,
06/30/2019,14.353,14.353,6.342,6.342,0.226906,0.226906,0.107529,0.107529,
09/30/2019,11.555,11.555,1.149,1.149,0.186928,0.186928,0.088989,0.088989,
12/31/2019,3.575,3.575,7.415,7.415,0.05649,0.05649,0.026905,0.026905,
03/31/2020,32.892,32.892,5.631,5.631,0.553422,0.553422,0.259215,0.259215,
06/30/2020,7.325,7.325,3.982,3.982,0.120093,0.120093,0.056393,0.056393,
