Date,Revenue,Other Revenue,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2005,31.827999,,,-19.42,,,,12.408,0.992,,0.163,-0.666,,-0.489,13.4,-4.53,8.87,,,,8.87,,8.87,,,8.87,8.87,,264.330005,0.034,0.034,0.034,265.315,0.034,0.034,0.034,
06/30/2005,37.529999,,,-19.702999,,,,17.827,-18.627,,0.152,-0.744,,19.219,-0.8,0.659,-0.141,,,,-0.141,,-0.141,,-6.594,-6.735,-6.735,,264.349995,-0.026,-0.026,0.05,265.359995,-0.026,-0.026,0.05,
09/30/2005,45.244999,,,-20.382999,,,,24.862,0.714,,0.172,-0.682,,-0.204,25.576,-8.755,16.820999,,,,16.821,,16.820999,,-14.065,2.755999,2.755999,,264.42499,0.01,0.01,0.062,267.24001,0.01,0.01,0.062,
12/31/2005,41.262,,,-20.34,,,,20.922,0.897,,0.126,-0.998,0.0,-0.025,21.819,-6.959,14.86,0.0,,,14.86,0.0,14.86,0.0,-40.66,-25.8,-25.8,,271.03,-0.096,-0.096,0.054,271.03,-0.096,-0.096,0.054,
03/31/2006,50.282,,,-22.629,,,,27.653,1.108,-1.115,0.063,-1.178,,0.007,28.761,-9.097,19.664,,,,19.664,,19.664,,,19.664,19.664,,277.665,0.07,0.07,0.07,294.86,0.066,0.066,0.066,
06/30/2006,73.591,,,-26.175,,,,47.416,0.853,-1.193,0.057,-1.25,,0.34,48.269,-17.302,30.967,,,,30.967,,30.967,,,30.967,30.967,,279.355,0.11,0.11,0.11,296.045,0.104,0.104,0.104,
12/31/2006,95.264,,,-31.08,,,,64.184,3.216,,0.056,-3.182,,-0.09,67.4,-18.408,48.992,,,,48.992,,48.992,,,48.992,48.992,,288.34,0.174,0.174,0.174,301.855,0.164,0.164,0.164,
03/31/2007,126.608,,,-46.965,,,,79.643,8.221,0.971,3.795,-2.824,,-9.192,87.864,-32.278,55.586,0.0,,,55.586,0.0,55.586,,,55.586,55.586,,337.67,0.164,0.164,0.164,348.79,0.16,0.16,0.16,
06/30/2007,136.654,,,-49.181,,,,87.473,-12.266,1.461,4.329,-2.868,0.0,10.805,75.207,-21.514,53.693,0.0,,,53.693,0.0,53.693,0.0,0.0,53.693,53.693,7.038,346.025,0.156,0.156,0.176,356.14,0.15,0.15,0.17,
09/30/2007,151.735,,,-50.727,,,,101.008,-1.734,1.892,5.015,-3.123,,-0.158,99.274,-32.593,66.681,,,,66.681,,66.681,,,66.681,66.681,0.094,347.195,0.192,0.192,0.192,356.735,0.186,0.186,0.186,
12/31/2007,159.296,,0.0,-62.736,13.457,,49.279,96.56,-0.471,2.452,5.501,-3.049,,-1.981,96.089,-31.437,64.652,,,,64.652,,64.652,0.0,0.0,64.652,64.652,,348.675,0.186,0.186,0.186,357.825,0.18,0.18,0.18,
03/31/2008,207.214,,,-62.934,,,,144.28,-1.861,2.215,5.134,-2.919,,-0.354,142.419,-50.129,92.29,,,,92.29,,92.29,,,92.29,92.29,,351.805,0.262,0.262,0.262,356.74,0.258,0.258,0.258,
