Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2010,40,233,73,-192,,-192,-74,-95,-38,49,10,0.0,-24,-25,0,,0.0,-25,-25,0,0,0.0,0,0,0,0,0,1,-11,0,-12,,,-12.0,0,0,0,1,-3,2,,,
06/30/2010,133,-201,67,295,,295,-28,-11,-12,5,-10,0.0,-19,-41,0,,0.0,-41,-41,0,0,0.0,0,0,0,0,0,22,-64,0,-5,-5.0,,0.0,0,0,0,-59,-35,15,,,
09/30/2010,50,-140,67,-332,,-332,455,27,-25,1,452,0.0,-32,-51,0,,0.0,-51,-51,0,0,0.0,0,0,0,0,0,19,-118,0,-91,-4.0,,-87.0,0,0,0,-27,39,-61,,,
12/31/2010,154,86,73,-124,,-124,119,-53,5,174,-7,0.0,-76,-92,0,,0.0,-92,-92,0,0,0.0,0,0,0,0,0,16,-40,0,-55,6.0,,-61.0,0,0,0,15,1,39,20.0,5.0,
03/31/2011,-50,39,77,-17,,-17,-149,-122,-41,75,-61,,-54,-54,1,1.0,0.0,-55,-55,0,0,0.0,0,0,0,0,0,0,9,0,0,3.0,,-3.0,0,0,0,9,21,-74,,,
06/30/2011,70,26,85,9,,9,-50,-73,1,4,18,,-67,-62,9,9.0,0.0,-71,-71,0,0,0.0,0,0,0,0,0,-5,26,0,-497,6.0,,-503.0,0,0,0,523,-21,8,,,
09/30/2011,35,41,86,24,,24,-116,63,-10,-96,-73,,-66,-69,0,0.0,0.0,-69,-69,0,0,0.0,0,0,0,0,0,3,-41,0,-5,2.0,,-7.0,0,0,0,-36,-9,-81,,,
12/31/2011,120,-26,68,59,9.0,50,19,21,17,-6,-13,,-144,-73,0,,0.0,-73,-73,0,0,0.0,0,0,0,0,0,-71,3,0,6,6.0,,,0,0,0,-3,-14,-35,,,
03/31/2012,19,-29,65,1,,1,-18,-102,-21,126,-21,,-53,-53,0,,0.0,-53,-53,0,0,0.0,0,0,0,0,0,0,-2,0,-2,0.0,2.0,-4.0,0,0,0,0,9,-27,,,
06/30/2012,-12,75,67,-66,,-66,-88,11,-11,-62,-26,,29,-49,0,,0.0,-49,-49,0,0,0.0,0,0,0,0,0,78,-18,0,4,4.0,0.0,0.0,0,0,0,-22,-14,-15,,,
09/30/2012,156,15,64,41,,41,36,33,-22,-23,48,,64,-44,0,,0.0,-44,-44,0,0,0.0,0,100,100,0,0,8,-13,0,-12,-2.0,810.0,-820.0,0,0,0,-1,13,220,,,
12/31/2012,76,39,63,21,6.0,15,-47,20,28,-67,-28,,-80,-83,0,,0.0,-83,-83,0,0,0.0,0,0,0,0,0,3,-82,-4,-30,3.0,19.0,-52.0,-50,0,-50,2,10,-76,,,
03/31/2013,122,69,67,-54,6.0,-60,40,-42,-51,190,-57,0.0,-46,-63,0,,0.0,-63,-63,0,0,0.0,0,17,17,0,0,0,90,0,11,12.0,0.0,-1.0,-125,0,-125,204,-11,155,,,
06/30/2013,36,65,65,-51,5.0,-56,-43,-45,8,-7,1,,-29,-51,0,,0.0,-51,-51,0,0,0.0,0,22,22,0,0,0,1,-22,231,31.0,204.0,-4.0,0,0,0,-208,-10,-2,,,
09/30/2013,21,43,68,-18,3.0,-21,-72,109,-31,-150,0,,-50,-50,0,,0.0,-50,-50,0,0,0.0,0,0,0,0,0,0,87,0,-1,-1.0,0.0,0.0,-125,0,-125,213,5,63,,,
12/31/2013,133,513,62,-496,1.0,-497,54,-43,25,70,2,0.0,823,-105,0,,0.0,-105,-105,0,0,0.0,0,-49,-39,-10,0,977,-319,0,-115,-62.0,0.0,-53.0,0,0,0,-204,-1,636,,,
03/31/2014,96,19,66,-12,3.0,-15,23,-90,-18,131,0,0.0,-20,-52,0,,0.0,-52,-52,0,0,0.0,0,35,35,0,0,-3,-20,-16,-5,-4.0,0.0,-1.0,1,1,0,0,-5,51,,,
06/30/2014,31,-155,64,208,3.0,205,-86,12,0,-110,12,0.0,-51,-75,0,,0.0,-75,-75,0,0,0.0,0,16,16,0,0,8,-316,-29,207,39.0,590.0,-422.0,-492,8,-500,-2,7,-329,,,
09/30/2014,53,-21,75,8,1.0,7,-9,83,-15,-79,2,0.0,-390,-82,0,,0.0,-82,-82,0,0,0.0,0,-297,11,-308,0,-11,-8,-39,23,7.0,28.0,-12.0,8,8,0,0,-19,-364,,,
12/31/2014,104,-138,65,217,1.0,216,-40,-126,6,80,0,0.0,-279,-131,0,,0.0,-131,-131,0,0,0.0,0,-214,-211,-3,0,66,-15,-13,-423,-3.0,1.0,-421.0,0,0,0,421,-18,-208,,,
