Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBIT,EV/Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,Periodic EV to Shares Outstanding,Trailing 12 Month Values for Ratios,Source: Bloomberg
03/31/1990,6913.80213,-210.195,3.696,49.534,582.315998,7339.153129,2218.674966,26.246116,0.079344,,,,,,41.266668,,
06/30/1990,7251.91629,-219.657997,3.646,48.768002,671.194031,7755.866325,2329.249985,28.815886,0.08654,,,,,,43.849171,,
09/30/1990,6260.498398,-279.369003,3.564,52.685001,640.906982,6678.285378,2405.092004,26.64792,0.095969,,,,,,37.735709,,
12/31/1990,6703.50419,-215.697006,3.539,55.249001,587.114998,7133.710183,2421.989043,24.241026,0.082301,2.361477,11.649175,13.985775,6714.28099,7144.486983,40.438699,,
03/31/1991,8453.58252,-162.029003,5.133,55.165001,619.585976,8971.437493,2516.662007,24.619356,0.069062,2.944043,14.553036,15.754487,,,50.940415,,
06/30/1991,7478.255116,-224.164001,6.742,51.537998,684.415024,7996.786136,2610.029068,26.222506,0.085586,2.577974,12.391932,12.269518,,,45.313219,,
09/30/1991,8297.379684,-242.839993,8.338,52.667999,625.818981,8741.364673,2625.376967,23.8373,0.071593,2.743187,12.924895,13.04769,,,49.514926,,
12/31/1991,7183.814836,-188.117996,8.347,55.518002,657.00798,7716.569822,2717.677974,24.175343,0.085142,2.268379,11.123866,11.973794,7210.977582,7743.732568,44.040579,,
03/31/1992,6527.578232,-150.572998,9.111,55.93,853.279999,7295.326233,2986.751022,28.568836,0.116963,2.099794,10.515422,11.63368,,,41.631198,,
06/30/1992,5605.21582,-191.997002,9.865,56.438999,868.419983,6347.942801,3077.407942,28.219203,0.136803,1.814465,9.431747,12.536195,,,36.240205,,
09/30/1992,5754.485428,-207.742996,299.050995,59.166,853.824982,6758.784409,3192.443924,26.745183,0.126328,1.897897,10.053257,14.639692,,,38.612495,,
12/31/1992,5630.237057,-239.513,298.223999,55.203999,631.473999,6375.626054,2702.221028,23.368703,0.099045,1.781642,9.396219,13.325773,5910.941379,6656.330376,36.519588,,
03/31/1993,5199.11248,-191.266998,298.027008,56.608002,855.067993,6217.548485,2987.905945,28.617634,0.137525,1.718074,9.116921,10.856098,,,35.72711,,
06/30/1993,5200.549795,-408.696991,297.794006,59.681999,1064.823975,6214.152784,3256.863029,32.694773,0.171355,1.711905,8.956834,8.779407,,,35.697728,,
09/30/1993,4948.671272,-181.309998,297.592987,59.848,837.503986,5962.306248,2919.64996,28.685082,0.140466,1.649992,9.147265,8.261101,,,34.337647,,
12/31/1993,5029.528203,-281.131989,297.386993,52.613998,562.464973,5660.862178,2700.728934,20.826413,0.09936,1.694891,9.01786,7.69082,5057.252,5688.585975,32.640239,,
03/31/1994,4691.485548,-298.10199,296.981995,59.303001,850.881008,5600.549562,3073.090992,27.688116,0.151928,1.734783,9.455181,7.227905,,,32.380982,,
06/30/1994,5039.877354,-251.205002,295.911987,63.637001,843.128983,5991.350323,3156.853935,26.707887,0.140724,1.900561,10.439184,8.781919,,,34.623477,,
09/30/1994,5910.040621,-338.269012,295.368011,63.84,844.260014,6775.239634,3246.424995,26.005838,0.12461,2.17638,12.031289,9.429899,,,39.120721,,
12/31/1994,5324.116447,-502.346008,295.07901,5.017,563.06699,5684.933439,2950.701986,19.082476,0.099045,1.835307,11.139939,7.798745,,,32.833937,,
03/31/1995,6160.809288,-366.303986,293.803009,0.0,596.555023,6684.863335,3098.130066,19.255325,0.08924,2.152548,13.101615,11.656551,,,38.655353,,
06/30/1995,6506.679283,-303.914001,292.718994,0.0,575.290005,7070.774281,3077.668941,18.692394,0.081362,2.265088,13.85728,10.560329,,,40.88689,,
09/30/1995,,,,,,,,,,,,,,,,,
09/19/2020,,-303.914001464844,292.718994140625,0.0,575.290004730225,,,,,,,,,,,,
