Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,535.46698,11.867,11.867,0.0,98.459999,,,11.78,,,,,3.089,,,,,125.195999,313.46701,489.929993,-176.462997,0.0,96.804001,,,,,96.804001,410.271011,,70.055,70.055,,,,8.734,,,,,,21.127,,,,21.127,99.916,208.613998,,,,,63.821999,,,,,63.821999,272.435997,372.351997,0.0,88.085999,,,0.0,,75.028999,163.114998,0.0,163.114998,535.466995,
06/30/1990,526.999023,13.154,13.154,0.0,93.083,,,11.687,,,,,2.175,,,,,120.098999,309.669006,490.076996,-180.408005,0.0,97.231003,,,,,97.231003,406.900009,,72.373001,72.373001,,,,9.663,,,,,,16.320002,,,,16.320002,98.356003,198.264999,,,,,65.347,,,,,65.347,263.612,361.968002,0.0,85.531998,,,0.0,,79.499001,165.030998,0.0,165.030998,526.999001,
09/30/1990,532.534973,17.143999,17.143999,0.0,89.179001,,,11.625,,,,,1.866,,,,,119.814003,316.697998,504.993011,-188.294998,0.0,96.023003,,,,,96.023003,412.721001,,78.529999,78.529999,,,,7.818,,,,,,20.766999,,,,20.766999,107.114998,192.063004,,,,,67.144997,,,,,67.144997,259.208,366.322998,0.0,84.175003,,,0.0,,82.037003,166.212006,0.0,166.212006,532.535004,
12/31/1990,535.041016,22.903999,22.903999,0.0,94.475998,,,12.002,,,,,1.95,,,,,131.332001,314.063995,509.686005,-195.621994,0.0,89.644997,,,,,89.644997,403.708992,,23.952,23.952,,,,8.356,,,,,,60.755004,,,,60.755004,93.063004,205.645996,,,,,68.913002,,,,,68.913002,274.558998,367.622002,0.0,84.303001,,,0.0,,83.115997,167.418999,0.0,167.418999,535.041,
03/31/1991,510.92099,13.945,13.945,0.0,107.695999,,,10.656,,,,,3.555,,,,,135.852005,274.778992,462.863007,-188.084,0.0,100.290001,,,,,100.290001,375.068993,,79.662003,79.662003,,,,8.131,,,,,,18.175,,,,18.175,105.968002,161.972,,,,,69.642998,,,,,69.642998,231.614998,337.583,0.0,84.517998,,,0.0,,88.82,173.337997,0.0,173.337997,510.920998,
06/30/1991,503.826996,14.559,14.559,0.0,106.367996,,,11.051,,,,,2.48,,,,,134.457993,270.25,465.106995,-194.856995,0.0,99.119003,,,,,99.119003,369.369003,,82.314003,82.314003,,,,8.292,,,,,,11.667,,,,11.667,102.273003,151.835007,,,,,70.431999,,,,,70.431999,222.267006,324.540009,0.0,84.651001,,,0.0,,94.636002,179.287003,0.0,179.287003,503.827011,
09/30/1991,515.05603,14.082,14.082,0.0,97.917999,,,11.293,,,,,2.723,,,,,126.015999,294.127014,494.855988,-200.729004,0.0,94.913002,,,,,94.913002,389.040016,,85.718002,85.718002,,,,29.969,,,,,,5.324999,,,,5.324999,121.012001,137.643005,,,,,74.471001,,,,,74.471001,212.114006,333.126007,0.0,84.789001,,,0.0,,97.140999,181.93,0.0,181.93,515.056007,
12/31/1991,500.705994,22.697001,22.697001,0.0,104.468002,,,11.291,,,,,2.663,,,,,141.119003,291.93399,485.705994,-193.772003,0.0,67.653,,,,,67.653,359.58699,,26.226,26.226,,,,52.637001,,,,,,47.911001,,,,47.911001,126.774002,127.235001,,,,,62.344002,,,,,62.344002,189.579002,316.353004,0.0,84.907997,,,0.0,,99.445,184.352997,0.0,184.352997,500.706001,
03/31/1992,486.414001,6.864,6.864,0.0,119.634003,,,11.154,,,,,3.361,,,,,141.013,290.946014,491.147003,-200.201004,0.0,54.455002,,,,,54.455002,345.401016,,70.508003,70.508003,,,,13.769,,,,,,18.051999,,,,18.051999,102.329002,125.489998,,,,,66.68,,,,,66.68,192.169998,294.499001,0.0,85.027,,,0.0,,106.888,191.915001,0.0,191.915001,486.414001,
06/30/1992,472.381989,2.014,2.014,0.0,109.060997,,,11.61,,,,,2.318,,,,,125.002998,293.346985,498.483002,-205.136002,0.0,54.032001,,,,,54.032001,347.378986,,76.613998,76.613998,,,,12.092,,,,,,7.391002,,,,7.391002,96.097,110.410004,,,,,67.367996,,,,,67.367996,177.778,273.875,0.0,85.499001,,,0.0,,113.008003,198.507004,0.0,198.507004,472.382004,
