Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Gain on Sale of Secs & Loans,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Net Ch of Investments,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Increase in Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Interest,Source: Bloomberg
03/31/1990,11.87,6.92,1.584,1.529,,,1.529,1.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,5.723,3.375,1.496,0.168,,,0.168,0.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,13.843,6.662,1.705,-1.211,,,-1.211,6.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,0.968,3.964,1.432,1.843,,,1.843,-6.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.968,,
03/31/1991,7.736,5.618,1.629,0.6,,,0.6,-0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,5.89,7.716,1.902,-2.873,,,-2.873,-0.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,18.641001,8.678,1.819,3.542,,,3.542,4.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,2.066,8.425,1.775,0.02,,,0.02,-8.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,13.5,7.441,1.801,-0.416,,,-0.416,4.674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,7.845,8.388,1.828,-0.565,,,-0.565,-1.806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,20.577999,10.309,1.942,-0.851,,,-0.851,9.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,3.186,9.646,1.779,2.156,,,2.156,-10.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.186,,
03/31/1993,21.292,10.221,1.793,2.878,,,2.878,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,8.781,11.536,1.85,1.105,,,1.105,-5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,25.426001,12.038,3.43,5.895,,,5.895,4.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,-17.205999,14.744,0.901,1.189,,,1.189,-34.040001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.205999,,
03/31/1994,25.555,13.753,2.261,3.346,,,3.346,6.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,14.107,15.049,2.405,2.516,,,2.516,-5.863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,33.82,16.261999,2.554,4.389,,,4.389,10.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,37.571999,16.087,2.914,2.427,,,2.427,16.143999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.571999,,
03/31/1995,25.503,14.991,3.09,5.269,,,5.269,2.153,,,,,-3.456,,-3.456,,,,,,,,,,,,3.456,,,,,,,,,,,,,,,,
06/30/1995,14.159,13.811,1.576,0.574,,,0.574,-1.802,,,,,-2.92,,-2.92,,,,,,,,,,,,2.92,,,,,,,,,,,,,,,,
09/30/1995,48.212002,24.913,5.004,9.361,,,9.361,8.934,,,,,-4.47,,-4.47,,,,,,,,,,,,4.47,,,,,,,,,,,,,,,,
12/31/1995,13.878,21.694,3.608,0.925,,,0.925,-12.349,,,,-13.06,-13.06,,-13.06,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.818,,
03/31/1996,35.178001,20.419001,3.513,1.742,,,1.742,9.504,,,,,-7.499,,-7.499,,,,,,,,,,,,7.499,,,,,,,,,,,,,,,,
06/30/1996,33.439999,24.450001,4.062,4.46,,,4.46,0.468,,,,,-13.271,,-13.271,,,,,,,,,,,,13.271,,,,,,,,,,,,,,,,
09/30/1996,57.172001,25.948,5.558,9.299,,,9.299,16.367001,,,,,-16.6,,-16.6,,,,,,,,,,,,16.6,,,,,,,,,,,,,,,,
12/31/1996,15.366,27.636,4.929,-0.883,,,-0.883,-16.316,,,,,-21.400999,,-21.400999,,,,,,,,,,,,21.400999,,,,,,,,,,,,,,,,
03/31/1997,45.577,28.547001,5.071,3.795,,,3.795,8.164,,,,,-14.247,,-14.247,,,,,,,,,,,,14.247,,,,,,,,,,,,,,,,
06/30/1997,38.662998,33.782001,6.031,6.682,,,6.682,-7.832,,,,,-15.58,,-15.58,,,,,,,,,,,,15.58,,,,,,,,,,,,,,,,
09/30/1997,71.824997,41.337002,8.269,4.645,,,4.645,17.573999,,,,,-23.243,,-23.243,,,,,,,,,,,,23.243,,,,,,,,,,,,,,,,
12/31/1997,41.743,40.730999,9.663,3.795,,,3.795,-12.446,,,,,-17.011,,-17.011,,,,,,,,,,,,17.011,,,,,,,,,,,,,,,,
03/31/1998,60.909,41.290001,7.928,5.693,,,5.693,5.998,,,,,-11.13,,-11.13,,,,,,,,,,,,11.13,,,,,,,,,,,,,,,,
06/30/1998,52.424999,44.868999,7.972,4.969,,,4.969,-5.385,,,,,-18.697001,,-18.697001,,,,,,,,,,,,18.697001,,,,,,,,,,,,,,,,
