Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,62.396,1.283,1.283,0.0,7.931,,,2.071,,,,,5.112,,,,,16.396999,45.849998,55.835999,-9.986,0.0,,0.149,,,,,0.149,45.998998,,13.716,13.716,,,,7.113,,,,,,12.194999,,,,12.194999,33.023998,26.104,,,,,1.039,,,,,1.039,27.143,60.166998,0.0,0.711,,,0.0,,1.518,2.229,0.0,2.229,62.395998,
12/31/1992,65.153,0.765,0.765,0.0,9.573,,,1.833,,,,,5.925,,,,,18.096001,46.905998,58.181,-11.275,0.0,,0.151,,,,,0.151,47.056998,,13.662,13.662,,,,7.873,,,,,,12.16,,,,12.16,33.695,20.177,,,,,1.073,,,,,1.073,21.25,54.945,0.006,7.985,,,0.0,,2.217,10.208,0.0,10.208,65.153,
03/31/1993,69.815002,3.873,3.873,0.0,7.375,,,1.042,,,,,7.674,,,,,19.964001,49.620998,62.452999,-12.832,0.0,,0.23,,,,,0.23,49.850998,,9.319,9.319,,,,5.436,,,,,,6.623,,,,6.623,21.378,11.899,,,,,1.434,,,,,1.434,13.333,34.711,0.006,32.896,,,0.0,,2.202,35.104,0.0,35.104,69.815,
06/30/1993,77.846001,4.851,4.851,0.0,9.987,,,3.404,,,,,2.128,,,,,20.370001,57.327,67.744003,-10.417,0.0,,0.149,,,,,0.149,57.476,,9.663,9.663,,,,7.812,,,,,,14.786002,,,,14.786002,32.261002,13.19,,,,,0.963,,,,,0.963,14.153,46.414001,0.006,32.755001,,,0.0,,-1.329,31.432001,0.0,31.432001,77.846002,
09/30/1993,80.709,4.175,4.175,0.0,10.94,,,3.243,,,,,1.229,,,,,19.587,60.825001,73.100998,-12.276,0.0,,0.297,,,,,0.297,61.122001,,12.806,12.806,,,,8.947,,,,,,13.954001,,,,13.954001,35.707001,12.345,,,,,1.11,,,,,1.11,13.455,49.162001,0.006,32.755001,,,0.0,,-1.214,31.547001,0.0,31.547001,80.709002,
12/31/1993,81.362999,2.666,2.666,0.0,8.716,,,2.724,,,,,1.111,,,,,15.217,65.038002,79.279999,-14.242,0.0,,1.108,,,,,1.108,66.146002,,11.065,11.065,,,,9.279,,,,,,14.266001,,,,14.266001,34.610001,13.482,,,,,1.376,,,,,1.376,14.858,49.468001,0.006,32.755001,,,0.0,,-0.866,31.895001,0.0,31.895001,81.363002,
03/31/1994,113.481003,22.141001,22.141001,0.0,12.358,,,2.661,,,,,2.534,,,,,39.694,70.036003,87.107002,-17.070999,0.0,,3.751,,,,,3.751,73.787003,,9.166,9.166,,,,13.489,,,,,,12.735998,,,,12.735998,35.390999,48.040001,,,,,1.552,,,,,1.552,49.592001,84.983,0.0,28.299,,,0.0,,0.199,28.498,0.0,28.498,113.481,
06/30/1994,125.690002,16.225,16.225,0.0,3.427,,,7.162,,,,,16.965,,,,,43.778999,78.446999,97.596001,-19.149,0.0,,3.464,,,,,3.464,81.910999,,17.459999,17.459999,,,,7.576,,,,,,16.352001,,,,16.352001,41.388,47.877998,,,,,5.164,,,,,5.164,53.041998,94.429998,0.0,28.299,,,0.0,,2.961,31.26,0.0,31.26,125.689998,
09/30/1994,135.893005,10.801,10.801,0.0,24.385,,,4.637,,,,,3.628,,,,,43.451,89.167,112.547997,-23.381001,0.0,,3.275,,,,,3.275,92.442,,24.034,24.034,,,,4.866,,,,,,19.266999,,,,19.266999,48.167,47.764999,,,,,6.358,,,,,6.358,54.122999,102.289999,0.0,28.306,,,0.0,,5.297,33.603,0.0,33.603,135.892999,
12/31/1994,168.798996,23.825001,23.825001,0.0,27.586,,,5.172,,,,,1.751,,,,,58.334,107.001999,135.619003,-28.617001,0.0,,3.463,,,,,3.463,110.464999,,29.618,29.618,,,,5.456,,,,,,22.585001,,,,22.585001,57.659,65.508003,,,,,8.328,,,,,8.328,73.836003,131.495004,0.0,28.759001,,,0.0,,8.545,37.304001,0.0,37.304001,168.799005,
03/31/1995,182.863998,4.692,4.692,0.0,33.759998,,,4.845,,,,,2.005,,,,,45.301998,134.143997,169.888,-35.743999,0.0,,3.418,,,,,3.418,137.561997,,35.455002,35.455002,,,,9.515,,,,,,23.378997,,,,23.378997,68.348999,64.775002,,,,,9.852,,,,,9.852,74.627002,142.976001,0.0,29.038,,,0.0,,10.85,39.888,0.0,39.888,182.864001,
06/30/1995,276.692993,55.535,55.535,0.0,10.644,,,8.926,,,,,31.336,,,,,106.441002,163.800995,209.742004,-45.941002,0.0,,6.451,,,,,6.451,170.251995,,33.438,33.438,,,,9.993,,,,,,31.473999,,,,31.473999,74.904999,145.753998,,,,,11.059,,,,,11.059,156.812998,231.717997,0.0,30.353001,,,0.0,,14.622,44.975001,0.0,44.975001,276.692998,
09/30/1995,276.654999,29.281,29.281,0.0,7.167,,,4.881,,,,,33.741001,,,,,75.07,195.248993,252.223007,-56.973999,0.0,,6.336,,,,,6.336,201.584993,,34.786999,34.786999,,,,5.443,,,,,,30.432004,,,,30.432004,70.662003,145.136002,,,,,12.853,,,,,12.853,157.989001,228.651004,0.0,30.466999,,,0.0,,17.537001,48.004,0.0,48.004,276.655004,
12/31/1995,323.475006,28.913,28.913,0.0,17.198,,,5.598,,,,,35.844002,,,,,87.553001,228.921005,298.186005,-69.264999,0.0,,7.001,,,,,7.001,235.922005,,50.426998,50.426998,,,,7.178,,,,,,35.363004,,,,35.363004,92.968002,159.714996,,,,,15.951,,,,,15.951,175.665997,268.633999,0.0,31.844,,,0.0,,22.997,54.841,0.0,54.841,323.474998,
03/31/1996,384.718994,25.948,25.948,0.0,18.431,,,7.066,,,,,30.783001,,,,,82.227997,295.552002,378.437988,-82.886002,0.0,,6.939,,,,,6.939,302.491002,,62.491001,62.491001,,,,8.496,,,,,,46.140997,,,,46.140997,117.127998,184.084,,,,,18.75,,,,,18.75,202.834,319.961998,0.0,34.138,,,0.0,,30.618999,64.757,0.0,64.757,384.718998,
06/30/1996,572.335022,51.638,51.638,0.0,19.669001,,,5.163,,,,,32.702999,,,,,109.172997,451.174011,546.815979,-95.641998,0.0,,11.988,,,,,11.988,463.162011,,54.514,54.514,,,,6.755,,,,,,47.565,,,,47.565,108.834,268.431,,,,,17.302999,,,,,17.302999,285.733999,394.567999,0.0,139.789993,,,0.0,,37.977001,177.766994,0.0,177.766994,572.334993,
03/31/1997,595.551025,2.444,2.444,0.0,22.822001,,,10.461,,,,,27.523001,,,,,63.25,520.335999,633.442993,-113.107002,0.0,,11.965,,,,,11.965,532.300999,,56.945999,56.945999,,,,10.642,,,,,,42.068998,,,,42.068998,109.656998,277.322998,,,,,21.914,,,,,21.914,299.236998,408.893995,0.0,140.475998,,,0.0,,46.181,186.656998,0.0,186.656998,595.550993,
06/30/1997,860.596985,169.830997,140.738998,29.091999,36.105999,,,7.071,,,,,37.264999,,,,,250.272995,598.549011,731.392029,-132.843002,0.0,,11.775,,,,,11.775,610.324011,,72.255997,72.255997,,,,6.718,,,,,,48.118006,,,,48.118006,127.092003,220.149002,,,,,29.294001,,,,,29.294001,249.443003,376.535006,0.0,427.606995,,,0.0,,56.455002,484.061996,0.0,484.061996,860.597002,
09/30/1997,1190.046021,362.812996,300.809998,62.002998,26.014,,,7.454,,,,,42.696999,,,,,438.977997,733.370972,891.406006,-158.035004,0.0,,17.697001,,,,,17.697001,751.067972,,86.691002,86.691002,,,,4.375,,,,,,50.247993,,,,50.247993,141.313995,508.960999,,,,,36.715,,,,,36.715,545.675999,686.989994,0.0,430.673004,,,0.0,,72.383003,503.056007,0.0,503.056007,1190.046001,
12/31/1997,952.783997,136.430001,123.860001,12.57,31.146999,,,5.493,,,,,44.651001,,,,,217.720993,679.187012,1288.151001,-608.963989,0.0,,55.875999,,,,,55.875999,735.063011,,81.775002,81.775002,,,,0.0,,,,,,71.704994,,,,71.704994,153.479996,508.992004,,,,,10.106,,,,,10.106,519.098004,672.578,0.0,461.476013,,,0.0,,-181.270004,280.206009,0.0,280.206009,952.784009,
03/31/1998,1065.334961,37.821,31.945,5.876,28.145,,,5.217,,,,,39.328999,,,,,110.512001,896.150024,1787.411987,-891.262024,0.0,,58.673,,,,,58.673,954.823024,,100.135002,100.135002,,,,0.0,,,,,,79.538994,,,,79.538994,179.673996,654.013,,,,,10.551,,,,,10.551,664.564,844.237996,0.0,660.869019,,,0.0,,-439.772003,221.097016,0.0,221.097016,1065.335012,
