Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
01/31/2004,87.511,35.812,10.463,25.349,26.536,26.536,,,,,,,11.798,,,,,74.146,5.069,,,0.0,,0.0,8.296,,,,8.296,13.365,,2.035,2.035,,,,0.078,0.0,0.078,0.078,,,67.893,,,67.893,70.006,0.0,0.0,0.0,0.0,,2.605,,,,,,2.605,2.605,72.611,61.137,35.612,,,,-71.934,-9.915,14.9,,14.9,87.511,
07/31/2004,226.513,116.149998,61.092999,55.056999,29.944,29.944,,0.0,0.0,0.0,0.0,0.0,10.874,,,,,156.968002,5.986,14.001,-8.015,56.477001,,56.477,7.082,0.0,,,7.082,69.545001,,1.947,1.947,,,,0.558,0.0,0.558,0.558,,,87.175,,,87.175,89.68,1.004,0.0,1.004,1.004,,1.689,,,,,,1.689,2.693,92.373,0.0,213.423996,,,0.0,-70.327003,-9.909997,133.186996,0.953,134.139996,226.512996,
10/31/2004,246.703003,114.397,22.756001,91.640999,37.535,37.535,,0.0,0.0,0.0,0.0,0.0,10.988,,,,,162.919998,6.525,15.312,-8.787,70.616997,,70.617,6.641011,0.0,,,6.641011,83.783008,,3.844,3.844,,,,0.561,0.0,0.561,0.561,,,101.409003,,,101.409003,105.814003,2.504,1.642,0.862,0.862,,0.0,,,,,,0.0,2.504,108.318003,0.0,213.973007,,,0.0,-68.174004,-8.443992,137.355011,1.03,138.385011,246.703014,
01/31/2005,280.499,118.818,35.731,83.087,48.874,48.874,,0.0,0.0,0.0,0.0,0.0,11.023,,,,,178.715,7.637,17.166,-9.529,87.12,,87.12,7.027,0.0,0.0,0.0,7.027,101.784,,2.525,2.525,,,,0.563,0.0,0.563,0.563,,,128.583,,,128.583,131.671,0.721,0.0,0.721,0.721,,1.596,,,,,,1.596,2.317,133.988,0.0,217.353,,,0.0,-64.588,-7.634,145.131,1.38,146.511,280.499,
04/30/2005,294.634,125.545,40.604,84.941,42.383,42.383,,0.0,0.0,0.0,0.0,0.0,12.676,,,,,180.604,15.289,25.81,-10.521,91.459,,91.459,7.282,,,,7.282,114.03,,3.635,3.635,,,,0.566,0.0,0.566,0.566,,,134.016,,,134.016,138.217,0.578,0.0,0.578,0.578,,1.237,,,,,,1.237,1.815,140.032,0.0,219.528,,,0.0,-60.208,-6.322,152.998,1.604,154.602,294.634,
07/31/2005,323.675,134.41,25.14,109.27,50.184,50.184,,0.0,0.0,0.0,0.0,0.0,15.227,,,,,199.821,17.28,29.098,-11.818,98.3,,98.3,8.274,,,,8.274,123.854,,3.941,3.941,,,,0.606,0.0,0.606,0.606,,,150.26,,,150.26,154.807,0.489,0.0,0.489,0.489,,1.171,,,,,,1.171,1.66,156.467,0.0,226.726,,,0.0,-55.168,-6.156,165.402,1.806,167.208,323.675,
10/31/2005,359.44,172.725,87.355,85.37,53.407,53.407,,0.0,0.0,0.0,0.0,0.0,18.732,,,,,244.864,20.853,34.027,-13.174,84.128,,84.128,9.595,,,,9.595,114.576,,5.868,5.868,,,,0.61,0.0,0.61,0.61,,,167.382,,,167.382,173.86,0.34,0.0,0.34,0.34,,1.114,,,,,,1.114,1.454,175.314,0.0,229.824,,,0.0,-42.071,-5.774,181.979,2.147,184.126,359.44,
01/31/2006,434.749,207.565,99.842,107.723,76.128,76.128,,0.0,0.0,0.0,0.0,0.0,19.524,,,,,303.217,24.216,39.215,-14.999,89.227,,89.227,18.089,,0.0,,18.089,131.532,,10.212,10.212,,,,0.615,0.0,0.615,0.615,,,223.798,,,223.798,234.625,0.184,0.0,0.184,0.184,,1.155,,,,,,1.155,1.339,235.964,0.0,237.121,,,,-36.114,-4.636,196.371,2.414,198.785,434.749,
04/30/2006,457.456,233.157,128.573,104.584,72.337,72.337,,0.0,0.0,0.0,0.0,0.0,23.122,,,,,328.616,24.786,41.898,-17.112,65.156,,65.156,38.898,13.55,7.239,6.311,25.348,128.84,,7.72,7.72,,,,0.62,0.0,0.62,0.62,,,230.619,,,230.619,238.959,0.028,0.0,0.028,0.028,,3.694,,,,,,3.694,3.722,242.681,0.0,250.478,,,0.0,-36.343,-2.258,211.877,2.898,214.775,457.456,
07/31/2006,501.351,266.689,149.992,116.697,75.704,75.704,,0.0,0.0,0.0,0.0,0.0,27.271,,,,,369.664,24.842,43.853,-19.011,67.418,,67.418,39.427,7.239,7.239,0.0,32.188,131.687,,6.026,6.026,,,,0.475,0.0,0.475,0.475,,,260.215,,,260.215,266.716,0.02,0.0,0.02,0.02,,1.138,,,,,,1.138,1.158,267.874,0.0,268.967,,,0.0,-36.488,-2.36,230.119,3.358,233.477,501.351,
