Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
08/31/1989,63.537998,75.853996,3.841,2.083,,,2.083,-18.24,,,-18.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/1989,22.364,36.777,4.109,0.963,,,0.963,-19.485001,,,-19.485001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1990,-51.702999,63.105,4.299,1.542,,,1.542,-120.649002,,,-120.649002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/1990,92.875999,67.222,4.881,0.057,,,0.057,20.716,,,20.716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/1990,-23.216999,99.653999,4.652,-0.87,,,-0.87,-126.653,,,-126.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/1990,-49.953999,58.081001,8.94,2.434,,,2.434,-119.408997,,,-119.408997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1991,-66.935997,70.667999,9.853,2.533,,,2.533,-149.990005,,,-149.990005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/1991,154.272995,58.643002,11.028,-1.139,,,-1.139,85.740997,,,85.740997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/1991,97.267998,114.436996,10.498,3.802,,,3.802,-31.469,,,-31.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/1991,109.859001,61.535,11.31,0.27,,,0.27,36.743999,,,36.743999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/29/1992,10.425,82.516998,11.746,-4.2,,,-4.2,-79.638,,,-79.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/1992,219.070999,70.728996,14.111,27.697001,,,27.697001,106.533997,,,106.533997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/1992,61.908001,122.593002,12.174,6.14,,,6.14,-78.999001,,,-78.999001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/1992,94.190002,76.044998,13.244,11.303,,,11.303,-6.402,,,-6.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
