Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
11/30/1989,66.511002,,-50.676998,,15.834003,,-17.416,,,,-1.582,1.649,,,,0.0,-1.649,0.067,-0.024,,0.043,0.0,,,0.043,0.0,0.043,0.0,,0.043,0.043,,371.720009,0.0,,,371.720009,,,,
03/01/1990,77.450996,,-62.314999,,15.135998,,-18.934999,,,,-3.799,-0.562,,,,0.0,0.562,-4.361,4.374,,0.013,0.0,,,0.013,0.0,0.013,0.0,,0.013,0.013,,369.440002,0.0,,,369.440002,,,,
05/31/1990,84.077003,,-61.700001,,22.377003,,-18.611,,,,3.766,-0.922,,,,0.0,0.922,2.844,-1.035,,1.809,0.0,,,1.809,0.0,1.809,0.0,,1.809,1.809,,373.250008,0.005,0.005,,373.250008,0.005,0.005,0.005,
08/30/1990,105.301003,,-81.387001,,23.914002,,-18.528999,,,,5.385,9.109,,,,0.0,-9.109,14.494,-1.505,,3.043,0.0,,,12.989,0.0,3.043,0.0,,3.043,3.043,,372.66998,0.008,0.008,0.008,372.66998,0.008,0.008,0.008,
11/29/1990,80.290001,,-75.044998,,5.245003,,-21.055,,,,-15.81,-0.76,,,,0.0,0.76,-16.57,7.303,,-9.267,0.0,,,-9.267,0.0,-9.267,0.0,,-9.267,-9.267,,369.230003,-0.025,-0.025,,369.230003,-0.025,-0.025,-0.025,
02/28/1991,94.524002,,-78.234001,,16.290001,,-18.139999,,,,-1.85,-1.587,,,,0.0,1.587,-3.437,1.2,,-2.237,0.0,,,-2.237,0.0,-2.237,0.0,,-2.237,-2.237,,369.780006,-0.006,-0.006,,369.780006,-0.006,-0.006,-0.006,
05/30/1991,126.793999,,-89.431,,37.362999,,-24.569,,,,12.794,-1.83,,,,0.0,1.83,10.964,-3.947,,7.017,0.0,,,7.017,0.0,7.017,0.0,,7.017,7.017,,385.550003,0.018,0.018,,385.550003,0.018,0.018,0.018,
08/29/1991,123.753998,,-89.957001,,33.796997,,-17.17,,,,16.627001,8.935,,,,0.0,-8.935,25.562001,-5.38,,9.566,0.0,,,20.182001,0.0,9.566,0.0,,9.566,9.566,,382.72999,0.025,0.025,0.025,382.72999,0.025,0.025,0.025,
12/05/1991,111.795998,,-85.084,,26.711998,,-24.830999,,,,1.881,-0.904,,,,0.0,0.904,0.977,-0.35,,0.627,0.0,,,0.627,0.0,0.627,0.0,,0.627,0.627,,386.090012,0.002,0.002,,386.090012,0.002,0.002,0.002,
03/05/1992,128.156006,,-99.581001,,28.575005,,-25.483,,,,3.092,-0.806,,,,0.0,0.806,2.286,-0.825,,1.461,0.0,,,1.461,0.0,1.461,0.0,,1.461,1.461,,391.360016,0.004,0.004,,391.360016,0.004,0.004,0.004,
06/04/1992,131.132996,,-100.883003,,30.249992,,-26.478001,,,,3.772,-1.185,,,,0.0,1.185,2.587,-0.931,,1.656,0.0,,,1.656,0.0,1.656,0.0,,1.656,1.656,,390.369987,0.004,0.004,,390.369987,0.004,0.004,0.004,
09/03/1992,135.214996,,-104.733002,,30.481994,,-25.511,,,,4.971,7.133,,,,0.0,-7.133,12.104,-0.87,,2.882,0.0,,,11.234,0.0,2.882,0.0,,2.882,2.882,,382.54002,0.007,0.007,0.007,382.54002,0.007,0.007,0.007,
12/03/1992,130.968002,,-97.775002,,33.193001,,-27.934999,,,,5.258,-1.044,,,,0.0,1.044,4.214,-1.517,,2.697,0.0,,,2.697,0.0,2.697,0.0,,2.697,2.697,,397.5,0.007,0.007,,397.5,0.007,0.007,0.007,
03/04/1993,176.410004,,-123.737999,,52.672005,,-37.405998,,,,15.266,-1.149,,,,0.0,1.149,14.117,-5.082,,9.035,0.0,,,9.035,0.0,9.035,0.0,,9.035,9.035,,403.520012,0.022,0.022,,403.520012,0.022,0.022,0.022,
06/03/1993,214.925995,,-132.322998,,82.602997,,-35.745998,,,,46.856998,-0.776,,,,0.0,0.776,46.080998,-16.589001,,29.492001,0.0,,,29.491998,0.0,29.492001,0.0,,29.492001,29.492001,,405.600014,0.073,0.073,,405.600014,0.073,0.073,0.073,
09/02/1993,305.966003,,-163.302002,,142.664001,,-44.098999,,,,98.565002,-0.377,,,,0.0,0.377,98.188002,-35.347,,62.841,0.0,,,62.841002,0.0,62.841,0.0,,62.841,62.841,,414.03999,0.152,0.152,0.152,414.03999,0.152,0.152,0.152,
12/02/1993,320.138,,-166.587997,,153.550003,,-48.424999,,,,105.125,0.427,,,,0.0,-0.427,105.552,-37.999001,,67.553001,0.0,,,67.552999,0.0,67.553001,0.0,,67.553001,67.553001,,414.109993,0.163,0.163,,414.109993,0.163,0.163,0.163,
03/03/1994,390.459015,,-204.104996,,186.354019,,-51.807999,,,,134.546005,1.012,,,,0.0,-1.012,135.558005,-48.799999,,86.758003,0.0,,,86.758006,0.0,86.758003,0.0,,86.758003,86.758003,,415.180016,0.209,0.209,,415.180016,0.209,0.209,0.209,
06/02/1994,426.391998,,-206.966995,,219.425003,,-58.706001,,,,160.718994,2.293,,,,0.0,-2.293,163.011994,-58.685001,,104.327003,0.0,,,104.326993,0.0,104.327003,0.0,,104.327003,104.327003,,422.519989,0.2475,0.2475,,422.519989,0.2475,0.2475,0.2475,
09/01/1994,491.610992,,-211.740005,,279.870987,,-60.160999,,,,219.710007,1.968,,,,0.0,-1.968,221.678007,-79.816002,,141.862,0.0,,,141.862005,0.0,141.862,0.0,,141.862,141.862,,423.200012,0.335,0.335,0.335,423.200012,0.335,0.335,0.335,
12/01/1994,535.0,,-224.5,,310.5,,-63.599998,,,,246.899994,3.6,,,,0.0,-3.6,250.499994,-89.599998,,160.899994,0.0,,,160.899995,-1.6,159.300003,0.0,,159.300003,159.300003,,421.600006,0.3775,0.3775,0.3775,421.600006,0.3775,0.3775,0.3775,
03/02/1995,628.5,,-267.5,,361.0,,-65.199997,,,,295.799988,6.5,,,,0.0,-6.5,302.299988,-116.099998,,186.199997,0.0,,,186.199989,-2.7,183.5,0.0,,183.5,183.5,,425.600006,0.43,0.43,0.43,425.600006,0.43,0.43,0.43,
