Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2005,87.303,,-44.807,,42.496,,-29.632,,,12.864,-0.791,,0.791,,0.0,0.0,12.073,-5.079,,6.994,0.0,,,6.994,0.0,6.994,0.0,-3.511,3.483,3.483,,328.632,0.01,0.01,0.02,352.664,0.01,0.01,0.02,
03/31/2006,87.696,,-43.384,,44.312,,-30.132,30.132,0.0,14.18,0.498,0.205,0.205,,0.0,-0.703,14.678,-5.944,,8.734,0.0,,,8.734,0.0,8.734,0.0,0.0,8.734,8.734,,371.888,0.02375,0.02375,0.02375,395.992,0.0225,0.0225,0.0225,
06/30/2006,79.965,,-41.758,,38.207,,-34.838,34.838,0.0,3.369,0.383,-0.383,,,0.0,0.0,3.752,-1.328,,2.424,0.0,,,2.424,0.0,2.424,0.0,0.0,2.424,2.424,,375.152,0.00625,0.00625,0.00625,395.488,0.00625,0.00625,0.00625,
09/30/2006,127.745,,-63.07,,64.675,,-42.692,42.692,0.0,21.983,0.177,-0.177,0.0,-0.177,0.0,0.0,22.16,-6.19,,15.97,0.0,,,15.97,0.0,15.97,0.0,0.0,15.97,15.97,,377.312,0.0425,0.0425,0.0425,396.792,0.04,0.04,0.04,
12/31/2006,135.283,,-66.877,,68.406,,-50.661,50.661,0.0,17.745,0.752,0.392,0.392,,0.0,-1.144,18.497,-6.646,,11.851,0.0,,,11.851,0.0,11.851,0.0,0.0,11.851,11.851,,379.096,0.03125,0.03125,0.02875,398.512,0.03,0.03,0.0275,
03/31/2007,124.329,,-63.748,,60.581,,-44.544,44.544,0.0,16.037,0.694,-0.753,,-0.753,0.0,0.059,16.731,-6.79,,9.941,0.0,,,9.941,0.0,9.941,0.0,0.0,9.941,9.941,,380.952,0.02625,0.02625,0.02625,398.544,0.025,0.025,0.025,
06/30/2007,120.531,,-61.432,,59.099,,-50.934,50.934,0.0,8.165,1.5,-0.495,,-0.495,0.0,-1.005,9.665,-3.953,,5.712,0.0,,,5.712,0.0,5.712,0.0,0.0,5.712,5.712,,383.8,0.015,0.015,0.015,399.08,0.01375,0.01375,0.01375,
09/30/2007,186.863,,-92.346,,94.517,,-60.708,60.708,0.0,33.809,0.674,-0.106,,-0.106,0.0,-0.568,34.483,-14.453,,20.03,0.0,,,20.03,0.0,20.03,0.0,0.0,20.03,20.03,,385.464,0.0525,0.0525,0.0525,400.68,0.05,0.05,0.05,
12/31/2007,174.838,,-83.991,,90.847,,-62.593,62.593,0.0,28.254,-0.09,,,,,0.09,28.164,-11.289,,16.875,,,,16.875,,16.875,,,16.875,16.875,,386.456,0.04375,0.04375,0.04375,400.392,0.0425,0.0425,0.0425,
03/31/2008,157.342,,-82.507,,74.835,,-70.536,70.536,0.0,4.299,0.51,0.09,0.303,-0.213,0.0,-0.6,4.809,-1.939,,2.87,0.0,,,2.87,0.0,2.87,0.0,0.0,2.87,2.87,,387.296,0.0075,0.0075,0.0075,399.592,0.0075,0.0075,0.0075,
06/30/2008,156.677,,-85.773,,70.904,,-67.63,67.63,0.0,3.274,-0.786,0.297,0.358,-0.061,0.0,0.489,2.488,-1.113,,1.375,0.0,,,1.375,0.0,1.375,0.0,0.0,1.375,1.375,,388.224,0.00375,0.00375,0.00375,398.736,0.00375,0.00375,0.00375,
09/30/2008,231.946,,-113.679,,118.267,0.0,-71.788,71.788,0.0,46.479,-1.736,0.111,0.195,-0.084,,1.625,44.743,-19.08,,25.663,,,,25.663,,25.663,,0.0,25.663,25.663,,389.176,0.06625,0.06625,0.06625,399.472,0.06375,0.06375,0.06375,
12/31/2008,179.279,,-88.337,,90.942,,-68.069,,,22.873,-5.013,0.352,,,0.0,4.661,17.86,-9.539,,8.321,0.0,,,8.321,0.0,8.321,0.0,0.0,8.321,8.321,,389.528,0.02125,0.02125,0.02125,398.672,0.02125,0.02125,0.02125,
03/31/2009,200.0,200.0,-110.776,110.776,89.224,0.0,-81.328,81.328,0.0,7.896,-0.847,0.86,,,1.934,-1.947,7.049,-3.087,,3.962,0.0,0.0,0.0,3.962,0.0,3.962,0.0,0.0,3.962,4.0894,0.1274,395.36,0.01,0.01,0.010344,403.44,0.01,0.01,0.010316,
06/30/2009,164.648,164.648,-90.919,90.919,73.729,0.0,-70.348,70.348,0.0,3.381,-0.945,0.583,,,-4.098,4.46,2.436,-0.997,,1.439,0.0,0.0,0.0,1.439,0.0,1.439,0.0,0.0,1.439,1.33565,-0.10335,397.808,0.00375,0.00375,0.003357,404.616,0.00375,0.00375,0.003357,
09/30/2009,269.546,269.546,-136.226,136.226,133.32,0.0,-86.257,86.257,0.0,47.063,-0.37,0.466,,,-3.631,3.535,46.693,-20.511,,26.182,0.0,0.0,0.0,26.182,0.0,26.182,0.0,0.262,26.444,26.444,0.0,400.368,0.065,0.065,0.065,405.992,0.065,0.065,0.065,
12/31/2009,222.217,222.217,-108.365,108.365,113.852,0.0,-86.919,86.919,0.0,26.933,-0.693,0.435,,,0.834,-0.576,26.24,-11.038,,15.202,0.0,0.0,0.0,15.202,0.0,15.202,0.0,0.0,15.202,15.202,0.0,401.592,0.0375,0.0375,0.0375,406.768,0.0375,0.0375,0.0375,
03/31/2010,229.407,229.407,-121.776,121.776,107.631,0.0,-94.047,94.047,0.0,13.584,-1.231,0.546,,,3.397,-2.712,12.353,-5.183,,7.17,0.0,0.0,0.0,7.17,0.0,7.17,0.0,0.065,7.235,7.248,0.013,403.352,0.0175,0.0175,0.017969,407.304,0.0175,0.0175,0.017532,
06/30/2010,204.786,204.786,-104.86,104.86,99.926,0.0,-93.034,93.034,0.0,6.892,-0.747,0.58,,,5.963,-5.796,6.145,-2.643,,3.502,0.0,0.0,0.0,3.502,0.0,3.502,0.0,0.032,3.534,3.53465,0.00065,406.112,0.00875,0.00875,0.008704,408.472,0.00875,0.00875,0.008704,
09/30/2010,328.568,328.568,-161.196,161.196,167.372,0.0,-110.683,110.683,0.0,56.689,-0.726,0.542,,,-6.34,6.524,55.963,-21.106,,34.857,0.0,0.0,0.0,34.857,0.0,34.857,0.0,0.279,35.136,35.15095,0.01495,407.408,0.085,0.085,0.086279,409.344,0.085,0.085,0.085037,
12/31/2010,301.166,301.166,-145.588,145.588,155.578,0.0,-120.388,120.388,0.0,35.19,-0.732,0.59,,,0.898,-0.756,34.458,-11.51,,22.948,0.0,0.0,0.0,22.948,0.0,22.948,0.0,0.0,22.948,20.86856,-2.07944,408.64,0.05625,0.05625,0.051068,415.888,0.055,0.055,0.05,
03/31/2011,312.699,312.699,-167.648,167.648,145.051,0.0,-123.909,123.909,0.0,21.142,-1.089,0.579,,,-2.377,2.887,20.053,-7.914,,12.139,0.0,0.0,0.0,12.139,0.0,12.139,0.0,0.109,12.248,12.2493,0.0013,411.552,0.03,0.03,0.029764,419.088,0.02875,0.02875,0.028753,
06/30/2011,291.336,291.336,-156.557,156.557,134.779,0.0,-123.421,123.421,0.0,11.358,-0.659,0.297,,,-0.929,1.291,10.699,-4.458,,6.241,0.0,0.0,0.0,6.241,0.0,6.241,0.0,0.044,6.285,6.29605,0.01105,412.68,0.015,0.015,0.015256,420.136,0.015,0.015,0.015026,
09/30/2011,465.523,465.523,-240.422,240.422,225.101,0.0,-150.136,150.136,0.0,74.965,-2.745,1.552,,,6.556,-5.363,72.22,-26.233,,45.987,0.0,0.0,0.0,45.987,0.0,45.987,0.0,0.236,46.223,45.313,-0.91,412.464,0.1125,0.1125,0.109859,420.22,0.11,0.11,0.107834,
12/31/2011,403.126,403.126,-195.221,195.221,207.905,0.0,-152.603,152.603,0.0,55.302,-1.412,1.413,,,0.479,-0.48,53.89,-21.338,,32.552,0.0,0.0,0.0,32.552,0.0,32.552,0.0,0.0,32.552,30.41805,-2.13395,414.952355,0.077236,0.077236,0.073305,422.975664,0.077236,0.077236,0.072191,
03/31/2012,384.389,384.389,-209.185,209.185,175.204,0.0,-150.801,150.801,0.0,24.403,-1.273,1.355,,,-2.468,2.386,23.13,-8.469,,14.661,0.0,0.0,0.0,14.661,0.0,14.661,0.0,0.059,14.72,14.9735,0.2535,415.384,0.035,0.035,0.036047,422.824,0.035,0.035,0.035599,
06/30/2012,369.473,369.473,-200.006,200.006,169.467,0.0,-157.747,157.747,0.0,11.72,-0.81,1.32,,,2.111,-2.621,10.91,-4.242,,6.668,0.0,0.0,0.0,6.668,0.0,6.668,0.0,0.025,6.693,6.6995,0.0065,417.296,0.015,0.015,0.016054,423.888,0.015,0.015,0.015015,
09/30/2012,575.196,575.196,-294.805,294.805,280.391,0.0,-189.411,189.411,0.0,90.98,-1.334,1.303,,,-2.047,2.078,89.646,-32.329,,57.317,0.0,0.0,0.0,57.317,0.0,57.317,0.0,0.098,57.415,57.47025,0.05525,418.06,0.1375,0.1375,0.137469,427.18,0.135,0.135,0.135129,
12/31/2012,505.863,505.863,-251.628,251.628,254.235,0.0,-172.643,172.643,0.0,81.592,-1.839,1.205,,,0.122,0.512,79.753,-29.621,,50.132,0.0,0.0,0.0,50.132,,50.132,0.0,0.15,50.282,50.30735,0.02535,418.748,0.12,0.12,0.120137,428.484,0.1175,0.1175,0.117559,
03/31/2013,471.608,471.608,-255.057,255.057,216.551,0.0,-203.059,203.059,0.0,13.492,-0.485,0.725,,,1.2,-1.44,13.007,-5.193,,7.814,0.0,0.0,0.0,7.814,0.0,7.814,0.0,0.008,7.822,7.8584,0.0364,419.592,0.02,0.02,0.018729,428.384,0.02,0.02,0.018729,
06/30/2013,454.541,454.541,-234.91,234.91,219.631,0.0,-187.321,187.321,0.0,32.31,-1.508,0.711,,,0.623,0.174,30.802,-13.236,,17.566,0.0,0.0,0.0,17.566,0.0,17.566,0.0,0.018,17.584,17.584,0.0,421.06,0.04,0.04,0.04,429.668,0.04,0.04,0.04,
09/30/2013,723.146,723.146,-373.011,373.011,350.135,0.0,-229.306,229.306,0.0,120.829,-0.804,0.691,,,-0.97,1.083,120.025,-47.241,,72.784,0.0,0.0,0.0,72.784,0.0,72.784,0.0,0.073,72.857,73.2457,0.3887,422.108,0.1725,0.1725,0.173523,431.072,0.17,0.17,0.170902,
12/31/2013,682.756,682.756,-332.403,332.403,350.353,0.0,-251.886,251.886,0.0,98.467,-1.308,0.806,,,0.575,-0.073,97.159,-32.993,,64.166,0.0,0.0,0.0,64.166,0.0,64.166,0.0,0.047,64.213,64.0401,-0.1729,422.784,0.1525,0.1525,0.151473,433.304,0.1475,0.1475,0.147101,
03/31/2014,641.607,641.607,-340.917,340.917,300.69,0.0,-273.834,273.834,0.0,26.856,-1.72,0.846,,,0.204,0.67,25.136,-11.598,,13.538,0.0,0.0,0.0,13.538,0.0,13.538,0.0,0.0,13.538,13.538,0.0,424.766,0.03,0.03,0.03,433.824,0.03,0.03,0.03,
06/30/2014,609.654,609.654,-309.702,309.702,299.952,0.0,-265.258,265.258,0.0,34.694,-0.98,1.227,,,-0.984,0.737,33.714,-16.024,,17.69,0.0,0.0,0.0,17.69,0.0,17.69,0.0,0.0,17.69,17.69,0.0,426.376,0.04,0.04,0.04,434.588,0.04,0.04,0.04,
09/30/2014,937.908,937.908,-472.608,472.608,465.3,0.0,-319.194,319.194,0.0,146.106,-4.89,1.535,,,4.9,-1.545,141.216,-52.111,,89.105,0.0,0.0,0.0,89.105,0.0,89.105,0.0,0.0,89.105,89.105,0.0,427.044,0.21,0.21,0.21,435.964,0.205,0.205,0.205,
12/31/2014,895.201,895.201,-448.937,448.937,446.264,0.0,-299.965,299.965,0.0,146.299,-4.155,1.727,,,4.914,-2.486,142.144,-54.435,,87.709,0.0,0.0,0.0,87.709,0.0,87.709,0.0,0.0,87.709,87.709,0.0,427.59,0.205,0.205,0.205,439.49,0.2,0.2,0.2,
