Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2009,16658,709,709,0,248,248,0,0,0,0,0,0,114,,114,1071,6833,6927.0,-94.0,0,8754,8558,951,7607,196,15587,,898,113.0,0.0,0.0,785,70,0.0,0.0,0.0,,70.0,0,0.0,148.0,0,968,13252,13252,0.0,0.0,,520,0.0,0.0,0.0,0.0,,372,13772,14740,0,1914,,,0,2,0.0,1916,2.0,1918,16658,
03/31/2010,16199,221,221,0,223,223,0,0,0,0,0,0,102,,102,546,6859,,,0,8794,8474,951,7523,320,15653,,958,,,,958,0,0.0,,,,,0,,,0,958,12762,12762,,,,716,,,,,,716,13478,14436,0,1737,,,0,26,,1763,0.0,1763,16199,
06/30/2010,16007,40,40,0,249,249,0,0,0,0,0,0,84,,84,373,6902,,,0,8732,8387,951,7436,345,15634,,1014,136.0,,,878,0,0.0,,,,0.0,0,,,0,1014,12657,12657,,,,704,,,,,,704,13361,14375,0,1737,,,0,-55,-50.0,1632,0.0,1632,16007,
09/30/2010,16535,655,655,0,241,241,0,0,0,0,0,0,123,,123,1019,6867,,,0,8649,8289,951,7338,360,15516,,1015,148.0,,,867,589,0.0,,,,589.0,0,,,0,1604,12585,12585,,,,823,,,,,,823,13408,15012,0,1757,,,0,-150,-84.0,1523,,1523,16535,
12/31/2010,15737,4,4,0,247,247,0,0,0,0,0,0,105,0.0,105,356,6819,8009.0,-1190.0,0,8562,8208,951,7257,354,15381,,1049,168.0,0.0,0.0,881,0,0.0,0.0,0.0,,,0,0.0,57.0,0,1049,12306,12306,0.0,0.0,,904,0.0,0.0,0.0,0.0,568.0,279,13210,14259,0,1776,,,-6,-235,-57.0,1478,0.0,1478,15737,
03/31/2011,15705,26,26,0,223,223,0,0,0,0,0,0,84,,84,333,6870,,,0,8502,8131,951,7180,371,15372,,1028,166.0,,,862,0,0.0,,,,,0,,,0,1028,12554,12554,,,,941,,,,,,941,13495,14523,0,1786,,,-213,-345,-46.0,1182,0.0,1182,15705,
06/30/2011,15809,166,166,0,243,243,0,0,0,0,0,0,81,,81,490,6879,,,0,8440,8054,951,7103,386,15319,,1087,155.0,,,932,0,,,,,,0,,,0,1087,12620,12620,,,,1038,,,,,,1038,13658,14745,0,1795,,,-213,-452,-66.0,1064,,1064,15809,
09/30/2011,15638,5,5,0,253,253,0,0,0,0,0,0,77,,77,335,6903,,,0,8400,8020,954,7066,380,15303,,1081,167.0,,,914,0,0.0,,,,,0,,,0,1081,12581,12581,,,,1112,,,,,,1112,13693,14774,0,1807,,,-329,-537,-77.0,864,,864,15638,
12/31/2011,15601,2,2,0,268,268,0,0,0,0,0,0,87,0.0,87,357,6897,9261.0,-2364.0,0,8347,7946,954,6992,401,15244,,1157,80.0,0.0,0.0,1077,0,0.0,0.0,0.0,,,0,0.0,65.0,0,1157,12856,12856,0.0,0.0,,1179,0.0,0.0,0.0,0.0,847.0,267,14035,15192,0,1556,,,0,-1082,-65.0,409,0.0,409,15601,
03/31/2012,15519,4,4,0,231,231,0,0,0,0,0,0,103,,103,338,6906,9588.0,-2682.0,0,8275,7879,954,6925,396,15181,,1140,161.0,,,979,0,0.0,,,,,0,,,0,1140,12802,12802,,,,1251,,,,,917.0,334,14053,15193,0,1568,,,0,-1178,-64.0,326,0.0,326,15519,
06/30/2012,15596,7,7,0,234,234,0,0,0,0,0,0,89,,89,330,7206,,,0,8060,7664,953,6711,396,15266,,1224,107.0,,,1117,0,0.0,,,,,0,,,0,1224,12808,12808,,,,1415,,,,,1321.0,94,14223,15447,0,1616,,,0,-1392,-75.0,149,0.0,149,15596,
09/30/2012,16497,868,868,0,254,254,0,0,0,0,0,0,107,,107,1229,7159,10479.0,-3320.0,0,8109,7732,953,6779,377,15268,,1246,157.0,,,1089,870,0.0,,,,870.0,0,,,0,2116,12820,12820,,,,1388,,,,,1054.0,334,14208,16324,0,1605,,,-1,-1348,-83.0,173,0.0,173,16497,
12/31/2012,15599,7,7,0,234,234,0,0,0,0,0,0,92,,92,333,7206,10769.0,-3563.0,0,8060,7664,953,6711,396,15266,,1216,107.0,,,1109,0,0.0,0.0,0.0,,,8,0.0,67.0,0,1224,12808,12808,0.0,0.0,,1418,0.0,0.0,0.0,0.0,1122.0,229,14226,15450,0,1616,,,0,-1392,-75.0,149,0.0,149,15599,
03/31/2013,15639,65,65,0,208,208,0,0,0,0,0,0,101,,101,374,7259,11227.0,-3968.0,0,8006,7599,953,6646,407,15265,,1290,89.0,,,1201,0,0.0,,,,,0,,,0,1290,12816,12816,,,,1404,,,,,1279.0,125,14220,15510,0,1632,,,-5,-1434,-64.0,129,0.0,129,15639,
06/30/2013,15589,44,44,0,223,223,0,0,0,0,0,0,66,,66,333,7313,11616.0,-4303.0,0,7943,7534,953,6581,409,15256,,1280,86.0,,,1194,0,0.0,,,,,0,,,0,1280,12812,12812,,,,1436,,,,,1374.0,62,14248,15528,0,1657,,,-10,-1530,-56.0,61,0.0,61,15589,
09/30/2013,17250,41,41,0,235,235,0,0,0,0,0,0,81,,81,357,7838,12511.0,-4673.0,0,9055,8633,1159,7474,422,16893,,1382,81.0,,,1301,0,0.0,,,,,0,,,0,1382,14306,14306,,,,1501,,,,,1432.0,69,15807,17189,0,1720,,,-11,-1600,-48.0,61,0.0,61,17250,
12/31/2013,17295,21,21,0,234,234,0,0,0,0,0,0,67,0.0,67,322,7981,12768.0,-4787.0,0,8992,8823,1177,7646,169,16973,,1459,91.0,0.0,0.0,1368,0,0.0,0.0,0.0,,,8,0.0,22.0,0,1467,14181,14181,0.0,0.0,,1496,0.0,0.0,0.0,0.0,1431.0,43,15677,17144,0,1760,,,0,-1568,-41.0,151,0.0,151,17295,
03/31/2014,17297,4,4,0,217,217,0,0,0,0,0,0,83,,83,304,8079,13027.0,-4948.0,0,8914,8503,1177,7326,411,16993,,1523,125.0,,,1398,0,0.0,,,,,0,,,0,1523,14090,14090,,,,1557,,,,,1492.0,65,15647,17170,0,1778,,,-11,-1605,-35.0,127,0.0,127,17297,
06/30/2014,17369,9,9,0,252,252,0,0,0,0,0,0,76,,76,337,8197,13763.0,-5566.0,0,8835,8424,1170,7254,411,17032,,1599,110.0,,,1489,0,0.0,,,,,7,,20.0,0,1606,14019,14019,,,,1625,,,,,1554.0,51,15644,17250,0,1816,,,-17,-1650,-30.0,119,0.0,119,17369,
09/30/2014,20950,10,10,0,270,270,0,0,0,0,0,0,90,,90,370,8305,14273.0,-5968.0,0,12275,8354,1170,7184,3921,20580,,1582,105.0,,,1477,0,0.0,,,,,4,,13.0,0,1586,17595,17595,,,,1672,,,,,1610.0,49,19267,20853,0,1843,,,-18,-1703,-25.0,97,0.0,97,20950,
12/31/2014,24388,3,3,0,285,285,0,0,0,0,0,0,57,0.0,57,345,8373,13857.0,-5484.0,0,15670,8279,1168,7111,7391,24043,,1633,140.0,0.0,0.0,1493,0,0.0,0.0,0.0,,,2,0.0,16.0,0,1635,20887,20887,0.0,0.0,,1720,0.0,0.0,0.0,0.0,1648.0,56,22607,24242,0,1930,0.112,1929.888,0,-1762,-22.0,146,0.0,146,24388,
03/31/2015,24410,20,20,0,264,264,0,0,0,0,0,0,7218,,7218,7502,8275,14075.0,-5800.0,0,8633,8216,1168,7048,417,16908,,1586,128.0,,,1458,6983,0.0,,,,6983.0,0,,21.0,0,8569,13981,13981,,,,1783,,,,,1706.0,56,15764,24333,0,1955,0.112099,1954.887901,-16,-1843,-19.0,77,0.0,77,24410,
06/30/2015,17319,30,30,0,321,321,0,0,0,0,0,0,105,,105,456,8244,14436.0,-6192.0,0,8619,8152,1168,6984,467,16863,,1636,124.0,,,1512,0,0.0,,,,,0,,18.0,0,1636,13896,13896,,,,1818,,,,,1745.0,55,15714,17350,0,1974,0.112138,1973.887862,-23,-1965,-17.0,-31,0.0,-31,17319,
09/30/2015,36873,0,0,0,292,292,0,0,0,0,0,0,114,,114,406,8281,14873.0,-6592.0,0,28186,8090,1168,6922,20096,36467,,1829,121.0,,,1708,0,0.0,,,,,0,,,0,1829,33281,33281,,,,1703,,,,,1616.0,87,34984,36813,0,2010,0.112366,2009.887634,-24,-1911,-15.0,60,0.0,60,36873,
12/31/2015,39316,5,5,0,279,279,0,0,0,0,0,0,61,0.0,61,345,8345,14863.0,-6518.0,0,30626,8030,1168,6862,22596,38971,,1969,134.0,0.0,0.0,1835,0,0.0,0.0,0.0,,,3,0.0,10.0,0,1972,35723,35723,0.0,0.0,,1667,0.0,0.0,0.0,0.0,1590.0,67,37390,39362,0,2028,0.112439,2027.887561,0,-2061,-13.0,-46,0.0,-46,39316,
03/31/2016,40524,1278,1278,0,253,253,0,0,0,0,0,0,81,,81,1612,8294,15222.0,-6928.0,0,30618,8227,1168,7059,22391,38912,,1923,140.0,,,1783,0,0.0,,,,,2,,14.0,0,1925,37124,37124,,,,1694,,,,,1618.0,62,38818,40743,0,2057,,,-16,-2249,-11.0,-219,0.0,-219,40524,
06/30/2016,149195,555,555,0,1340,1340,0,0,0,0,0,0,430,,430,2325,33358,41257.0,-7899.0,0,113512,112091,29692,82399,1421,146870,,6736,448.0,,,6288,2071,0.0,,,,2071.0,0,,,0,8807,60132,60132,,,,29224,,,,,26339.0,2885,89356,98163,0,39530,0.2714,39529.7286,-99,818,-9.0,40240,10792.0,51032,149195,
09/30/2016,148897,1165,1165,0,1242,1242,0,0,0,0,0,0,374,,374,2781,32881,42380.0,-9499.0,0,113235,111849,30165,81684,1386,146116,,6596,478.0,,,6118,2050,0.0,,,,2050.0,1,,240.0,0,8647,59946,59946,,,,29229,,,,,26260.0,2729,89175,97822,0,39726,0.27249,39725.72751,-448,1007,-8.0,40277,10798.0,51075,148897,
12/31/2016,149067,1535,1535,0,1432,1432,0,0,0,0,0,0,333,0.0,333,3300,32963,44066.0,-11103.0,0,112804,111433,29509,81924,1371,145767,,7539,454.0,0.0,0.0,7085,2028,0.0,0.0,0.0,,2028.0,5,,251.0,0,9572,59719,59719,0.0,0.0,,29410,0.0,0.0,0.0,0.0,26665.0,2494,89129,98701,0,39413,0.268898,39412.731102,0,733,-7.0,40139,10227.0,50366,149067,
03/31/2017,149444,2920,2920,0,1311,1311,0,0,0,0,0,0,435,,435,4666,32699,45565.0,-12866.0,0,112079,110746,29526,81220,1333,144778,,7513,522.0,,,6991,2007,0.0,,,,2007.0,0,,,0,9520,60837,60837,,,,29183,,,,,26576.0,2607,90020,99540,0,39602,0.270347,39601.729653,-895,1019,-6.0,39720,10184.0,49904,149444,
06/30/2017,146960,694,694,0,1489,1489,0,0,0,0,0,0,381,,381,2564,32948,47639.0,-14691.0,0,111448,110101,29554,80547,1347,144396,,8123,584.0,,,7539,0,0.0,,,,0.0,0,,,0,8123,63248,63248,,,,29156,,,,,26574.0,2582,92404,100527,0,39697,0.270735,39696.729265,-4223,1158,-4.0,36628,9805.0,46433,146960,
09/30/2017,148228,2164,2164,0,1652,1652,0,0,0,0,0,0,316,,316,4132,33300,49675.0,-16375.0,0,110796,109459,29554,79905,1337,144096,,8350,572.0,,,7778,2068,0.0,,,,2068.0,1,,125.0,0,10419,66064,66064,,,,29167,,,,,26576.0,2466,95231,105650,0,39773,0.271017,39772.728983,-7748,1206,-2.0,33229,9349.0,42578,148228,
12/31/2017,146623,621,621,0,1635,1635,0,0,0,0,0,0,299,0.0,299,2555,33888,51965.0,-18077.0,0,110180,108824,29554,79270,1356,144068,,9020,740.0,0.0,0.0,8280,2045,0.0,0.0,0.0,,2045.0,25,0.0,0.0,0,11090,68186,68186,0.0,0.0,,19816,0.0,0.0,0.0,0.0,17314.0,2502,88002,99092,0,35253,0.238506,35252.761494,0,3832,-1.0,39084,8447.0,47531,146623,
03/31/2018,146151,576,576,0,1409,1409,0,0,0,0,0,0,413,,413,2398,34002,53798.0,-19796.0,0,109751,108188,29554,78634,1563,143753,,8262,622.0,,,7640,3340,0.0,,,,3340.0,0,,,0,11602,67609,67609,,,,19815,,,,,17351.0,2464,87424,99026,0,35352,0.239234,35351.760766,-617,4034,-1.0,38768,8357.0,47125,146151,
06/30/2018,146251,773,773,0,1619,1619,0,0,0,0,0,0,358,,358,2750,34411,54462.0,-20051.0,0,109090,107583,29554,78029,1507,143501,,8637,732.0,,,7905,5387,0.0,,,,5387.0,0,,,0,14024,66730,66730,,,,19855,,,,,17376.0,2479,86585,100609,0,35419,0.23937,35418.76063,-2281,4307,-2.0,37443,8199.0,45642,146251,
09/30/2018,146085,612,612,0,1736,1736,0,0,0,0,0,0,381,,381,2729,34740,56253.0,-21513.0,0,108616,107009,29554,77455,1607,143356,,8511,604.0,,,7907,3339,0.0,,,,3339.0,0,,,0,11850,69135,69135,,,,19872,,,,,17421.0,2451,89007,100857,0,35493,0.239492,35492.760508,-3214,4828,-2.0,37105,8123.0,45228,146085,
12/31/2018,146130,551,551,0,1733,1733,0,0,0,0,0,0,446,0.0,446,2730,35126,58201.0,-23075.0,0,108274,106438,29554,76884,1836,143400,,8568,758.0,0.0,0.0,7810,3290,0.0,,,,3290.0,237,0.0,0.0,0,12095,69537,69537,,,,20226,0.0,0.0,0.0,0.0,17389.0,2837,89763,101858,0,33507,0.225354,33506.774646,0,2780,-2.0,36285,7987.0,44272,146130,
03/31/2019,147257,1451,1451,0,1578,1578,0,0,0,0,0,0,722,,722,3751,34859,54655.0,-19796.0,0,108647,105870,29554,76316,2777,143506,,8207,661.0,,,7546,3743,0.0,211.0,6.0,205.0,3532.0,0,,,0,11950,71646,70567,1079.0,98.0,981.0,20018,,,,,17473.0,2545,91664,103614,0,33643,0.226333,33642.773667,-940,3033,-2.0,35734,7909.0,43643,147257,
06/30/2019,146085,696,696,0,2070,2070,0,0,0,0,0,0,574,,574,3340,35641,60645.0,-25004.0,0,107104,105334,29554,75780,1770,142745,,8139,790.0,,,7349,1736,0.0,214.0,6.0,208.0,1522.0,0,,,0,9875,72933,71784,1149.0,97.0,1052.0,20183,,,,,17522.0,2661,93116,102991,0,33742,0.226804,33741.773196,-1801,3347,-2.0,35286,7808.0,43094,146085,
09/30/2019,145267,508,508,0,2284,2284,0,0,0,0,0,0,596,,596,3388,35321,61686.0,-26365.0,0,106558,104832,29554,75278,1726,141879,,8256,663.0,,,7593,3726,0.0,217.0,7.0,210.0,3509.0,0,,,0,11982,72432,71390,1042.0,51.0,991.0,20331,,,,,17609.0,2722,92763,104745,0,33810,0.227123,33809.772877,-4568,3734,-2.0,32974,7548.0,40522,145267,
12/31/2019,148188,3483,3483,0,2227,2227,0,0,0,0,0,0,761,0.0,761,6471,35683,63339.0,-27656.0,0,106034,104329,29554,74775,1705,141717,,8443,786.0,0.0,0.0,7657,3718,0.0,218.0,4.0,214.0,3500.0,224,0.0,0.0,0,12385,76615,75578,1037.0,58.0,979.0,20377,0.0,0.0,0.0,0.0,17711.0,2666,96992,109377,0,31405,0.209976,31404.790024,0,40,0.0,31445,7366.0,38811,148188,
