Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1991,12.498,10.312,10.312,0.0,0.0,,,0.0,,,,,0.071,,,,,10.383,1.882,,,0.0,,0.233,,,,,,0.233,2.115,,0.342,0.342,,,,0.328,,,,,,1.138,,,1.138,1.808,0.481,,,,,0.0,,,,,,0.0,0.481,2.289,19.913,0.05,,,0.0,,-9.754,10.209,0.0,10.209,12.498,
03/31/1992,108.690002,105.418997,87.922997,17.496,0.0,,,0.0,,,,,0.77,,,,,106.189003,2.19,4.531,-2.341,0.0,,0.311,,,,,,0.311,2.501,,0.371,0.371,,,,0.339,,,,,,1.703,,,1.703,2.413,0.686,,,,,0.0,,,,,,0.0,0.686,3.099,0.0,119.862,,,0.0,,-14.271,105.591,0.0,105.591,108.69,
06/30/1992,106.565002,102.866003,17.885,84.981003,0.0,,,0.0,,,,,0.937,,,,,103.803001,2.452,,,0.0,,0.31,,,,,,0.31,2.762,,0.531,0.531,,,,0.359,,,,,,0.939,,,0.939,1.829,0.732,,,,,0.0,,,,,,0.0,0.732,2.561,0.0,120.033997,,,0.0,,-16.030001,104.003996,0.0,104.003996,106.564996,
09/30/1992,107.072998,103.789001,2.263,101.526001,0.0,,,0.0,,,,,0.416,,,,,104.205002,2.478,,,0.0,,0.39,,,,,,0.39,2.868,,0.279,0.279,,,,0.455,,,,,,3.795,,,3.795,4.529,0.982,,,,,0.0,,,,,,0.0,0.982,5.511,0.0,120.327003,,,0.0,,-18.764999,101.562004,0.0,101.562004,107.073004,
12/30/1992,144.785995,140.878998,47.808998,93.07,0.0,,,0.0,,,,,0.321,,,,,141.199997,3.201,,,0.0,,0.385,,,,,,0.385,3.586,,1.232,1.232,,,,0.513,,,,,,3.273,,,3.273,5.018,1.055,,,,,0.0,,,,,,0.0,1.055,6.073,0.0,161.347,,,0.0,,-22.634001,138.712999,0.0,138.712999,144.785999,
03/31/1993,146.809006,139.352997,2.125,137.227997,0.0,,,0.0,,,,,0.799,,,,,140.151993,6.263,9.584,-3.321,0.0,,0.394,,,,,,0.394,6.657,,1.092,1.092,,,,0.582,,,,,,4.577,,,4.577,6.251,1.156,,,,,0.0,,,,,,0.0,1.156,7.407,0.0,170.794006,,,0.0,,-31.392,139.402006,0.0,139.402006,146.809006,
06/30/1993,141.559753,132.267475,3.546802,128.720673,0.0,,,0.0,,,,,1.151282,,,,,133.418762,7.55745,,,0.0,,0.583546,,,,,,0.583546,8.140996,,0.93566,0.93566,,,,0.674843,,,,,,3.401375,,,3.401375,5.011878,1.361609,,,,,0.0,,,,,,0.0,1.361609,6.373487,0.0,171.157516,,,0.0,,-35.971245,135.186272,0.0,135.186272,141.559759,
09/30/1993,139.764999,128.102,2.074,126.028,0.0,,,0.0,,,,,2.08,,,,,130.181,8.864,,,0.0,,0.72,,,,,,0.72,9.584,,1.04,1.04,,,,0.876,,,,,,6.25,,,6.25,8.166,1.983,,,,,0.0,,,,,,0.0,1.983,10.149,0.0,171.179001,,,0.0,,-41.563999,129.615002,0.0,129.615002,139.764002,
12/31/1993,133.882996,122.298997,8.655,113.643997,0.0,,,0.0,,,,,1.807,,,,,124.106003,9.034,,,0.0,,0.743,,,,,,0.743,9.777,,0.947,0.947,,,,1.053,,,,,,5.794,,,5.794,7.794,2.641,,,,,0.0,,,,,,0.0,2.641,10.435,0.0,171.766006,,,0.0,,-48.318001,123.448006,0.0,123.448006,133.883006,
03/31/1994,126.601997,114.967997,13.018,101.949997,0.0,,,0.0,,,,,1.946,,,,,116.914001,8.855,14.14,-5.285,0.0,,0.833,,,,,,0.833,9.688,,1.068,1.068,,,,1.051,,,,,,6.724,,,6.724,8.843,2.479,,,,,0.0,,,,,,0.0,2.479,11.322001,0.0,171.785995,,,0.0,,-56.506001,115.279995,0.0,115.279995,126.601995,
