Date,Cash From Operating Activities,Net Income,Depreciation Expense,Amortization - Nuclear Fuel,AFC - Debts & Equity,Deferred Income Taxes,Investment Tax Credits,Other Non-Cash Adjustments,Changes In Restricted Bond Proceeds,Accts Receivable & Unbilled Revenue,Changes in Fossil Fuel,Change In Inventories,Prepayments & Others,Accounts Payable & Accruals,Accrued Taxes,Change in Other Working Capital,Cash From Investing Activities,Additions to Utility Plant Less AFC,Changes in Decommissioning Funds,Non-Utility Cap Expenditure,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/1990,209,71,99,0,-3.0,25,,-7,0,2.0,0.0,128.0,0.0,-273.0,52.0,115,,,,,,0,,,,,,,,,,0,,,,
06/30/1990,83,-228,87,0,-4.0,3,,291,0,142.0,0.0,-37.0,0.0,-36.0,29.0,-164,,,,,,0,,,,,,,,,,0,,,,
09/30/1990,115,58,91,0,-3.0,15,,-3,0,44.0,0.0,3.0,0.0,12.0,-59.0,-43,,,,,,0,,,,,,,,,,0,,,,
12/31/1990,155,48,97,0,-4.0,33,,-16,0,-224.0,0.0,-56.0,0.0,218.0,91.0,-32,,,,,,0,,,,,,,,,,0,,,,
03/31/1991,241,43,88,0,,3,,-16,0,48.0,0.0,-5.0,0.0,-60.0,51.0,89,,,,,,0,,,,,,,,,,0,,,,
06/30/1991,58,42,22,0,,6,,65,0,190.0,0.0,-1.0,0.0,-27.0,-117.0,-122,,,,,,0,,,,,,,,,,0,,,,
09/30/1991,-4,24,57,0,,4,,66,0,-91.0,0.0,-47.0,0.0,-38.0,70.0,-49,,,,,,0,,,,,,,,,,0,,,,
12/31/1991,139,-190,58,0,,4,,302,0,-178.0,0.0,24.0,0.0,135.0,7.0,-23,,,,,,0,,,,,,,,,,0,,,,
03/31/1992,282,-462,83,0,,-2,,422,0,127.0,0.0,45.0,0.0,-177.0,103.0,143,,,,,,0,,,,,,,,,,0,,,,
06/30/1992,134,-116,34,0,,-3,,232,0,71.0,0.0,-14.0,0.0,22.0,18.0,-110,,,,,,0,,,,,,,,,,0,,,,
09/30/1992,17,34,59,0,,28,,26,0,63.0,0.0,-46.0,0.0,-7.0,-130.0,-10,,,,,,0,,,,,,,,,,0,,,,
12/31/1992,-48,1,60,0,,3,,188,0,-237.0,0.0,30.0,0.0,27.0,9.0,-129,,,,,,0,,,,,,,,,,0,,,-48.0,
03/31/1993,495,40,59,0,,-2,,91,0,,0.0,,0.0,,,307,,,,,,0,,,,,,,,,,0,,,,
06/30/1993,-86,45,61,0,,39,,-114,0,,0.0,,0.0,,,-117,,,,,,0,,,,,,,,,,0,,,,
09/30/1993,-43,56,61,0,,6,,-2,0,,0.0,,0.0,,,-164,,,,,,0,,,,,,,,,,0,,,,
12/31/1993,120,50,62,0,,52,,131,0,,0.0,,0.0,,,-175,,,,,,0,,,,,,,,,,0,,,,
03/31/1994,172,40,61,0,,61,,-7,0,,0.0,,0.0,,,17,,,,,,0,,,,,,,,,,0,,,,
06/30/1994,154,45,62,0,,-21,,2,0,,0.0,,0.0,,,66,,,,,,0,,,,,,,,,,0,,,,
09/30/1994,-94,45,55,0,,-59,,27,0,,0.0,,0.0,,,-162,,,,,,0,,,,,,,,,,0,,,,
12/31/1994,29,52,61,0,,-18,,8,0,,0.0,,0.0,,,-74,,,,,,0,,,,,,,,,,0,,,,
03/31/1995,428,48,60,0,,9,,-6,0,,0.0,,0.0,,,317,,-40.0,0.0,0.0,,-40,,,,,,,,,,0,,,,
06/30/1995,153,48,61,0,,5,,8,0,,0.0,,0.0,,,31,,-59.0,0.0,0.0,,-59,,,,,,,,,,0,,,,
09/30/1995,109,50,60,0,,13,,-29,0,,0.0,,0.0,,,15,,-51.0,0.0,0.0,,-51,,,,,,,,,,0,,,,
12/31/1995,11,51,62,0,,44,,15,0,,0.0,,0.0,,,-161,,-83.0,0.0,0.0,,-83,,,,,,,,,,0,,,,
03/31/1996,304,52,62,0,,15,,-16,0,,0.0,,0.0,,,191,,-43.0,0.0,0.0,,-43,,,,,,,,,,0,,,,
06/30/1996,121,58,64,0,,-4,,-8,0,,0.0,,0.0,,,11,,-43.0,0.0,0.0,,-43,,,,,,,,,,0,,,,
