Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,9824.0,,-5479.0,,4345.0,,-2615.0,,,,,1730.0,-390.0,,,0.0,,390.0,1340.0,-565.0,775.0,0.0,,,775.0,0.0,775.0,,,775.0,775.0,,2778.0,0.28,0.28,,2778.0,0.28,0.28,0.28,
06/30/1990,11081.0,,-5968.0,,5113.0,,-3049.0,,,,,2064.0,-395.0,,,0.0,,395.0,1669.0,-721.0,948.0,0.0,,,948.0,0.0,948.0,,,948.0,948.0,,2772.0,0.343333,0.343333,,2772.0,0.343333,0.343333,0.343333,
09/30/1990,11098.0,,-6012.0,,5086.0,,-3000.0,,,,,2086.0,-407.0,,,0.0,,407.0,1679.0,-742.0,937.0,0.0,,,937.0,0.0,937.0,,,937.0,937.0,,2775.0,0.336667,0.336667,,2775.0,0.336667,0.336667,0.336667,
12/31/1990,12320.0,,-6971.0,,5349.0,,-3283.0,,,,,2066.0,-443.0,,,0.0,,443.0,1623.0,-743.0,880.0,0.0,,,880.0,0.0,880.0,,,880.0,880.0,,2776.985962,0.316667,0.316667,,2776.985962,0.316667,0.316667,0.316667,
03/31/1991,11953.0,,-6554.0,,5399.0,,-3355.0,,,,,2044.0,-430.0,,,0.0,,430.0,1614.0,-694.0,920.0,921.0,,,-1.0,0.0,-1.0,,,-1.0,-1.0,,2781.0,0.0,0.33,,2781.0,0.0,0.33,0.33,
06/30/1991,12531.0,,-6570.0,,5961.0,,-3531.0,,,,,2430.0,-419.0,,,0.0,,419.0,2011.0,-880.0,1131.0,0.0,,,1131.0,0.0,1131.0,,,1131.0,1131.0,,2781.0,0.406667,0.406667,,2781.0,0.406667,0.406667,0.406667,
09/30/1991,11791.0,,-6304.0,,5487.0,,-3139.0,,,,,2348.0,-388.0,,,0.0,,388.0,1960.0,-851.0,1109.0,0.0,,,1109.0,,1109.0,,,1109.0,1109.0,,2775.0,0.4,0.4,,2775.0,0.4,0.4,0.4,
12/31/1991,11789.0,,-6184.0,,5605.0,,-3805.0,,,,,1800.0,-414.0,,,0.0,,414.0,1386.0,-619.0,767.0,0.0,,,767.0,0.0,767.0,,,767.0,767.0,,2766.0,0.276667,0.276667,,2766.0,0.276667,0.276667,0.276667,
03/31/1992,11854.0,,-6332.0,,5522.0,,-3226.0,,,,,2296.0,-384.0,,,0.0,,384.0,1912.0,-813.0,1099.0,0.0,,,1099.0,0.0,1099.0,0.0,,1099.0,1099.0,,2754.0,0.4,0.4,,2754.0,0.4,0.4,0.4,
06/30/1992,12935.0,,-6553.0,,6382.0,,-3640.0,,,,,2742.0,-389.0,,,0.0,,389.0,2353.0,-1000.0,1353.0,0.0,,,1353.0,0.0,1353.0,0.0,,1353.0,1353.0,,2736.0,0.493333,0.493333,,2736.0,0.493333,0.493333,0.493333,
09/30/1992,12657.0,,-6559.0,,6098.0,,-3496.0,,,,,2602.0,-355.0,,,0.0,,355.0,2247.0,-956.0,1291.0,0.0,,,1291.0,0.0,1291.0,0.0,,1291.0,1291.0,,2697.0,0.48,0.48,,2697.0,0.48,0.48,0.48,
12/31/1992,12649.0,,-6638.0,,6011.0,,-3592.0,,,,,2419.0,-323.0,,,0.0,,323.0,2096.0,-900.0,1196.0,0.0,,,1196.0,0.0,1196.0,0.0,,1196.0,1196.0,,2686.248047,0.446667,0.443333,,2686.248047,0.446667,0.443333,0.443333,
03/31/1993,12565.0,,-6630.0,,5935.0,,-3477.0,,,,,2458.0,-382.0,,,0.0,,382.0,2076.0,-862.0,1214.0,477.0,,,737.0,0.0,737.0,0.0,,737.0,737.0,,2649.0,0.28,0.46,,2649.0,0.28,0.46,0.46,
06/30/1993,13156.0,,-6879.0,,6277.0,,-4158.0,,,,,2119.0,-343.0,,,0.0,,343.0,1776.0,-728.0,1048.0,0.0,,,1048.0,0.0,1048.0,0.0,,1048.0,1048.0,,2628.0,0.396667,0.396667,,2628.0,0.396667,0.396667,0.396667,
09/30/1993,12584.0,,-6658.0,,5926.0,,-3872.0,,,,,2054.0,-343.0,,,0.0,,343.0,1711.0,-744.0,967.0,0.0,,,967.0,0.0,967.0,0.0,,967.0,967.0,,2631.0,0.37,0.37,,2631.0,0.37,0.37,0.37,
12/31/1993,12316.0,,-6604.0,,5712.0,,-4756.0,,,,,956.0,-323.0,,,0.0,,323.0,633.0,-294.0,339.0,-594.0,,,933.0,0.0,339.0,0.0,,339.0,339.0,,2631.0,0.126667,0.126667,,2631.0,0.126667,0.126666,0.126667,
03/31/1994,12727.0,,-6798.0,,5929.0,,-3567.0,,,,,2362.0,-323.0,,,4.0,,319.0,2039.0,-872.0,1171.0,0.0,,,1167.0,0.0,1171.0,0.0,,1171.0,1171.0,,2631.0,0.446667,0.446667,,2631.0,0.446667,0.446667,0.446667,
