Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Funds From Operations - Basic,Funds From Operations - Diluted,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/1994,53.346001,53.306,53.306,,0.443046,0.406821,0.406821,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.295445,,0.295,0.295,0.300416,5.049226,,
06/30/1994,53.338001,53.34,53.34,,0.475984,0.441057,0.441057,0.25,0.25,0.25,0.25,0.25,0.25,0.245,0.297,,0.325,0.325,0.179459,5.05137,,
09/30/1994,53.341999,53.344002,53.344002,,0.459752,0.426046,0.426046,0.23,0.23,0.23,0.23,0.23,0.23,0.25,0.325004,,0.315,0.315,0.049361,5.034907,,
12/31/1994,53.467999,53.470001,53.470001,,0.476248,0.435328,0.435328,0.245,0.245,0.245,0.245,0.245,0.245,0.255,0.310286,,0.32,0.32,0.054762,5.038584,,
03/31/1995,57.018002,55.501999,55.501999,,0.481568,0.433822,0.443065,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.30543,,0.315,0.315,0.036182,5.572766,,
06/30/1995,57.088001,57.063999,57.063999,,0.454069,0.411871,0.425505,0.665,0.665,0.665,0.665,0.665,0.665,0.265,0.261724,,0.32,0.32,0.043004,5.981993,,
09/30/1995,57.091999,57.088001,57.088001,,0.460237,0.427638,0.437833,0.255,0.255,0.255,0.255,0.255,0.255,0.27,0.42953,,0.33,0.33,0.036257,5.968612,,
12/31/1995,57.147999,57.130001,57.130001,,0.468808,0.427639,0.438911,0.245,0.245,0.245,0.245,0.245,0.245,0.275,0.258288,,0.32,0.32,0.034997,5.940015,,
03/31/1996,57.330002,57.214001,57.214001,,0.505873,0.465585,0.475251,0.255,0.255,0.255,0.255,0.255,0.255,0.28,0.46188,-0.853917,0.335,0.335,0.420652,5.933368,,
06/30/1996,57.33783,57.324001,57.324001,,0.533564,0.491086,0.502128,0.27,0.27,0.27,0.27,0.27,0.27,0.285,0.332897,0.105035,0.355,0.355,0.261119,5.924518,,
09/30/1996,57.355068,57.334,57.334,,0.521104,0.482489,0.492988,0.26,0.26,0.26,0.26,0.26,0.26,0.29,0.501971,0.233055,0.35,0.35,0.300043,5.89437,,
12/31/1996,57.355148,57.349998,57.349998,,0.540314,0.499843,0.511369,0.27,0.27,0.27,0.27,0.27,0.27,0.295,0.28415,0.082825,0.365,0.365,0.04901,5.872289,,
03/31/1997,57.416,63.026001,57.402,,0.537734,0.493606,0.506707,0.3,0.3,0.3,0.295,0.295,0.295,0.3,0.419376,0.104108,0.355,0.355,0.189181,5.88289,,
06/30/1997,57.428001,57.424,57.424,,0.552922,0.506496,0.520619,0.27,0.27,0.27,0.27,0.27,0.27,0.305,0.309627,-0.763723,0.36,,0.058438,5.847983,,
09/30/1997,57.453999,57.442001,57.442001,,0.562428,0.515355,0.529787,0.27,0.27,0.27,0.27,0.27,0.27,0.31,0.445423,0.154295,0.365,,0.052564,5.810927,,
12/31/1997,60.432636,57.981998,57.981998,,0.579111,0.529181,0.543496,0.265,0.265,0.265,0.265,0.265,0.265,0.315,0.346746,-1.439602,0.37,,0.067579,6.361778,,
03/31/1998,61.918642,66.442002,60.474,,0.60082,0.543837,0.556686,0.27,0.27,0.27,0.27,0.27,0.27,0.32,0.45145,0.262228,0.375,0.375,0.051438,6.179028,,
06/30/1998,61.926092,63.418,61.578,,0.616259,0.557862,0.569489,0.27,0.27,0.27,0.265,0.265,0.265,0.325,0.390627,-1.465621,0.385,0.38,0.033734,6.498731,,
09/30/1998,61.973472,67.737998,61.93,,0.680865,0.603229,0.617019,0.37,0.37,0.37,0.36,0.36,0.36,0.33,0.628774,-0.337591,0.39,0.385,1.339718,6.535441,,
12/31/1998,61.959999,67.718002,61.970001,,0.727788,0.651702,0.661368,0.37,0.37,0.37,0.365,0.365,0.365,0.335,0.355269,-3.293723,0.415,0.405,0.072692,6.577986,,
03/31/1999,62.088352,62.237999,62.042,,0.799797,0.686067,0.698801,0.245,0.245,0.245,0.245,0.245,0.245,0.34,0.587247,-0.343606,,,0.068483,6.493972,,
06/30/1999,64.090352,63.582,63.36,,0.81774,0.851326,0.715578,0.245,0.245,0.245,0.245,0.245,0.245,0.345,1.295896,-0.488479,,,0.084506,6.652452,,
09/30/1999,102.996101,70.912003,64.089996,,0.814761,0.69936,0.711858,0.405,0.405,0.405,0.4,0.4,0.4,0.35,0.542113,-0.296864,,,0.079605,4.175187,,
12/31/1999,102.842003,88.627998,88.585999,,0.803069,0.699287,0.707117,0.245,0.245,0.245,0.245,0.245,0.245,0.355,0.304123,-0.530366,0.415,0.41,0.074833,8.99648,,
03/31/2000,102.211804,102.6,102.57,,0.765623,0.666004,,0.225,0.225,0.225,0.225,0.225,0.225,0.36,0.553729,0.490641,,,0.048497,8.916729,,
06/30/2000,101.924004,102.185997,102.138,,0.823317,0.725675,0.757201,0.295,0.295,0.295,0.295,0.295,0.295,0.365,0.4345,0.4345,0.425,0.42,0.070415,8.779276,,
09/30/2000,101.924004,102.054001,101.924004,,0.821082,0.684922,0.730809,0.245,0.245,0.245,0.24,0.24,0.24,0.37,0.528521,0.432891,0.41,0.41,0.048114,8.637896,,
12/31/2000,101.748001,102.0,101.0,,0.823545,0.721149,0.753396,0.295,0.295,0.295,0.3,0.3,0.3,0.375,0.497604,0.444733,0.425,0.425,0.576159,8.551205,,
03/31/2001,102.124628,102.386,101.926,,0.751428,0.65058,,0.195,0.195,0.195,0.195,0.195,0.195,0.38,0.492495,0.267341,,,0.060837,8.371859,,
06/30/2001,110.566918,106.778,106.324,,0.784527,,,0.27,0.27,0.27,0.27,0.27,0.27,0.385,,,,,0.145894,8.888174,,
09/30/2001,111.527188,111.248,110.72,,0.753116,,,0.16,0.16,0.16,0.16,0.16,0.16,0.39,,,,,0.088194,8.681264,,
12/31/2001,112.774002,112.206002,111.919998,,0.76401,0.663939,0.693004,0.27,0.27,0.27,0.265,0.265,0.265,0.395,0.441137,0.312616,0.445,0.445,0.074556,8.691587,,
03/31/2002,114.43231,114.05,113.474,,0.702399,0.606694,0.638173,0.215,0.215,0.215,0.21,0.21,0.21,0.4,0.456078,-0.650537,,,0.057825,8.497067,,
06/30/2002,116.554042,115.252,114.638,,0.764223,0.667519,,0.3,0.275,0.275,0.295,0.27,0.27,0.405,0.467637,-0.120946,,,0.076497,8.44096,,
09/30/2002,118.020188,116.832,116.408,,0.76822,0.665848,,0.265,0.25,0.25,0.265,0.25,0.25,0.41,0.588954,0.276691,,,0.099254,8.526482,,
