Date,Level 1 Assets,Level 2 Assets,Total FV Assets,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
12/31/2011,69.0,,69.0,23.201076,,23.201076,8.254714,,8.254714,
03/31/2012,69.088,,69.088,19.47732,,19.47732,7.555324,,7.555324,
06/30/2012,69.121,,69.121,11.024646,,11.024646,5.821927,,5.821927,
09/30/2012,269.147,,269.147,39.083619,,39.083619,21.373035,,21.373035,
12/31/2012,356.512,229.221,585.733,49.040948,31.531099,80.572047,27.441013,17.643323,45.084337,
03/31/2013,169.468,427.554,597.022,21.176565,53.426753,74.603317,12.631049,31.86711,44.498158,
06/30/2013,165.738,450.222,615.96,19.453753,52.845501,72.299254,11.38635,30.930657,42.317007,
09/30/2013,44.958,,44.958,5.42443,,5.42443,3.104506,,3.104506,
12/31/2013,351.148,319.558,670.706,40.595145,36.943121,77.538266,23.838968,21.694365,45.533333,
03/31/2014,319.0,0.0,319.0,33.792373,0.0,33.792373,19.752322,0.0,19.752322,
06/30/2014,587.0,134.0,721.0,57.212476,13.060429,70.272904,32.058984,7.318405,39.377389,
09/30/2014,491.0,123.0,614.0,45.211786,11.325967,56.537753,25.102249,6.288344,31.390593,
12/31/2014,455.0,139.0,594.0,40.444444,12.355556,52.8,23.35729,7.135524,30.492813,
03/31/2015,505.0,137.0,642.0,42.832909,11.620017,54.452926,24.116523,6.542502,30.659026,
06/30/2015,583.0,163.0,746.0,46.978243,13.134569,60.112812,25.603865,7.158542,32.762407,
09/30/2015,566.0,164.0,730.0,42.684766,12.368024,55.05279,25.750682,7.461328,33.212011,
12/31/2015,609.0,89.0,698.0,43.130312,6.303116,49.433428,28.618421,4.182331,32.800752,
03/31/2016,652.0,57.0,709.0,44.535519,3.893443,48.428962,29.448961,2.574526,32.023487,
06/30/2016,758.0,133.0,891.0,50.365449,8.837209,59.202658,31.781971,5.57652,37.358491,
09/30/2016,608.0,148.0,756.0,38.481013,9.367089,47.848101,26.701801,6.49978,33.201581,
12/31/2016,612.0,134.0,746.0,40.745672,8.921438,49.667111,27.345845,5.987489,33.333333,
03/31/2017,731.0,18.0,749.0,52.817919,1.300578,54.118497,32.145998,0.791557,32.937555,
06/30/2017,886.0,22.0,908.0,65.435746,1.624815,67.060561,35.841424,0.889968,36.731392,
09/30/2017,749.0,20.0,769.0,52.858151,1.411433,54.269584,31.899489,0.851789,32.751278,
12/31/2017,664.0,71.0,735.0,48.716067,5.209098,53.925165,29.225352,3.125,32.350352,
03/31/2018,635.0,20.0,655.0,45.683453,1.438849,47.122302,28.348214,0.892857,29.241071,
06/30/2018,666.0,14.0,680.0,49.443207,1.039347,50.482554,28.90625,0.607639,29.513889,
09/30/2018,663.0,,663.0,45.977809,,45.977809,30.24635,,30.24635,
12/31/2018,522.0,128.0,650.0,35.486064,8.701564,44.187627,24.088602,5.906784,29.995385,
03/31/2019,672.0,79.0,751.0,44.591904,5.242203,49.834107,28.058455,3.298539,31.356994,
06/30/2019,870.0,96.0,966.0,55.238095,6.095238,61.333333,33.90491,3.741231,37.646142,
09/30/2019,828.0,10.0,838.0,50.242718,0.606796,50.849515,33.549433,0.405186,33.954619,
12/31/2019,,,,0.0,,0.0,0.0,,0.0,
03/31/2020,57.0,450.0,507.0,5.550146,43.816943,49.367089,2.348578,18.541409,20.889988,
06/30/2020,,115.0,115.0,0.0,12.609649,12.609649,0.0,5.113384,5.113384,
