Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1991,,2.8,2.8,-1.1,-4.8,-0.3,,,,,,,,,,,,,,,,,
06/30/1991,,5.1,2.8,-0.2,6.4,14.1,,,,,,,,,,,,,,,,,
09/30/1991,,-4.7,2.7,13.8,9.8,21.6,,,,,,,,,,,,,,,,,
12/31/1991,,4.5,2.9,3.3,-1.2,9.5,,,,,,,,,,,,,,,,,
03/31/1992,,4.9,3.2,0.2,2.8,11.1,,,,,,,,,,,,,,,,,
06/30/1992,,6.5,3.4,0.2,-3.8,6.3,,,,,,,,,,,,,,,,,
09/30/1992,,8.3,3.1,-0.9,7.7,18.200001,,,,,,,,,,,,,,,,,
12/31/1992,,7.1,3.1,-4.7,7.1,12.6,,,,,,,,,,,,,,,,,
03/31/1993,,6.0,4.8,3.3,1.9,16.0,,,,,,,,,,,,,,,,,
06/30/1993,,8.6,4.6,-5.7,-6.5,1.0,,,,,,,,,,,,,,,,,
09/30/1993,,9.7,4.6,-5.7,12.2,20.799999,,,,,,,,,,,,,,,,,
12/31/1993,,8.3,6.0,1.6,2.8,18.700001,,,,,,,,,,,,,,,,,
03/31/1994,,6.6,5.0,-1.2,-10.3,0.1,,,,,,,,,,,,,,,,,
06/30/1994,,10.1,4.6,-1.0,-20.4,-6.7,,,,,,,,,,,,,,,,,
09/30/1994,,10.1,5.9,-3.1,-12.5,0.4,,,,,,,,,,,,,,,,,
12/31/1994,,8.9,3.9,-3.9,-2.5,6.4,,,,,,,,,,,,,,,,,
03/31/1995,,6.8,5.6,-3.8,-5.3,3.3,,,-4.7,,,,,,,,,,,,,,
06/30/1995,,10.2,6.3,-1.0,-22.299999,-6.8,,,-4.9,,,,,,,,,,,,,,
09/30/1995,,-15.8,5.8,17.5,-6.0,1.5,,,-7.6,,,,,,,,,,,,,,
12/31/1995,,2.0,11.2,-5.4,49.099998,56.900002,,,-7.4,,,,,,,,,,,,,,
03/31/1996,,4.5,10.7,-0.3,-28.0,-13.1,,,-5.1,,,,,,,,,,,,,,
06/30/1996,,8.4,11.2,4.4,-6.9,17.1,,,-6.5,,,,,,,,,,,,,,
09/30/1996,,11.5,10.5,1.8,-6.5,17.299999,,,-12.8,,,,,,,,,,,,,,
12/31/1996,,12.4,12.2,-1.9,5.0,27.700001,,,-16.299999,,,,,,,,,,,,,,
03/31/1997,,11.0,10.6,-4.9,-34.5,-17.799999,-26.700001,0.0,-24.700001,0.0,0.0,-2.0,35.299999,-0.4,0.0,87.300003,-53.400002,1.8,0.0,0.0,-9.2,,
06/30/1997,,9.6,11.7,-15.5,19.799999,25.6,-12.5,0.0,-7.7,0.0,0.0,-4.8,-12.3,-0.4,0.0,1.8,-15.9,2.2,0.0,0.0,0.8,,
09/30/1997,,3.9,11.9,2.2,14.4,32.400002,-6.4,18.4,-16.9,0.0,0.0,-7.9,-12.2,-0.4,0.0,9.2,-22.700001,1.7,0.0,0.0,13.8,,
12/31/1997,,-55.0,12.8,46.200001,1.9,5.9,-5.1,0.7,-9.9,0.0,0.0,4.1,-12.7,0.0,0.0,9.0,-22.700001,1.0,0.0,0.0,-11.9,,
03/31/1998,,-41.900002,13.8,41.099998,26.9,39.900002,-12.8,0.0,-12.0,0.0,0.0,-0.8,-9.4,0.0,0.0,694.5,-154.300003,303.0,-955.099976,102.5,17.700001,,
06/30/1998,,2.4,13.4,8.4,14.5,38.700001,-19.5,0.0,-14.9,0.0,0.0,-4.6,-2.6,0.0,0.0,5.2,-0.9,0.5,0.0,-7.4,16.6,,
09/30/1998,,6.7,13.2,-4.8,-4.7,10.4,-78.5,1.6,-16.799999,0.0,0.0,-63.299999,37.799999,0.0,0.0,36.599998,-5.7,0.0,0.0,6.9,-30.299999,,
12/31/1998,,-16.700001,12.6,14.7,50.299999,60.900002,-121.0,6.5,-23.5,0.0,0.0,-104.0,103.5,0.0,0.0,222.5,-49.5,0.0,-0.5,-69.0,43.400002,,
03/31/1999,,3.5,15.3,-10.3,-51.200001,-42.700001,-47.200001,3.7,-9.0,0.0,0.0,-41.900002,56.700001,0.0,0.0,9.4,-2.2,0.0,0.0,49.5,-33.200001,,
06/30/1999,,5.6,15.5,-3.0,12.1,30.200001,-9.6,2.0,-11.599854,0.0,0.0,0.0,-23.299999,0.0,0.0,2.9,-1.5,0.3,0.0,-25.0,-2.7,,
09/30/1999,,8.4,15.7,3.2,13.3,40.599998,2.6,5.0,-8.9,0.0,0.0,6.5,-39.0,0.0,0.0,5.7,-2.7,0.0,0.0,-42.0,4.2,,
12/31/1999,,5.9,15.9,2.7,68.699997,93.199997,-8.3,5.3,-11.6,0.0,0.0,-2.0,-68.5,0.0,0.0,1.3,-3.7,0.0,-0.1,-66.0,16.4,,
03/31/2000,,8.5,15.9,-3.4,-27.299999,-6.3,-25.0,0.2,-4.7,0.0,0.0,-20.5,36.200001,0.0,-0.7,7.1,-0.7,0.2,0.0,30.299999,4.9,,
06/30/2000,,9.4,15.9,-1.0,4.8,29.1,-13.5,0.3,-7.8,0.0,0.0,-6.0,-19.4,0.0,1.8,0.6,-9.3,0.1,0.0,-12.6,-3.8,,
09/30/2000,,13.1,15.7,-4.8,5.0,29.0,-7.9,0.3,-6.2,0.0,0.0,-2.0,-38.299999,0.0,5.1,0.6,-1.7,0.0,0.0,-42.299999,-17.200001,,
12/31/2000,,-8.3,16.1,13.2,34.400002,55.400002,-10.7,0.9,-10.7,0.0,0.0,-0.9,-12.9,0.0,-4.9,0.0,-9.4,0.1,0.0,1.3,31.799999,,
03/31/2001,,-23.700001,17.9,35.299999,-41.099998,-11.6,-165.5,0.0,-6.0,0.0,0.0,-159.5,156.300003,0.0,3.7,0.0,-1.3,0.0,0.0,153.899994,-20.799999,,
06/30/2001,,12.2,21.1,-1.3,4.1,36.099998,-5.7,0.1,-8.0,0.0,0.0,2.2,124.800003,0.0,1.4,0.0,-11.2,290.399994,-0.5,-155.300003,155.199997,,
09/30/2001,,16.9,20.6,6.6,9.2,53.299999,-25.6,0.0,-9.8,0.0,0.0,-15.8,1.7,0.0,0.7,0.0,-1.3,1.0,-0.2,1.5,29.4,,
12/31/2001,,11.0,22.4,-17.6,65.0,80.800003,-222.800003,0.0,-16.4,0.0,0.0,-206.399994,-12.7,0.0,1.4,0.0,-15.7,1.6,0.0,0.0,-154.699997,,
03/31/2002,,-26.299999,19.1,39.599998,-31.1,1.3,-8.9,0.0,-8.3,0.0,0.0,-0.6,-4.4,0.0,-1.9,0.0,-3.3,1.6,0.0,-0.8,-12.0,,
06/30/2002,,20.1,18.5,-2.5,28.200001,64.300003,-7.5,0.0,-7.6,0.0,0.0,0.1,-74.699997,0.0,-6.1,150.0,-216.600006,3.8,0.0,-5.8,-17.9,,
09/30/2002,,29.9,19.0,2.4,7.3,58.599998,-18.799999,0.0,-10.9,0.0,0.0,-7.9,-7.1,0.0,-0.3,0.0,-7.1,0.8,0.0,-0.5,32.700001,,
