Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,107.910995,,,,,,,,,,,,,,,,,,,,,,,,,4.789999,,,4.789999,4.789999,,764.383972,0.00625,0.00625,,764.383972,0.00625,0.00625,0.00625,
03/31/1990,129.904,,,-79.749,,50.155,,-38.485,,,11.67,-1.349,,1.349,,0.0,0.0,10.321,-3.509,6.812,0.0,,,6.812,-0.084,6.728,0.0,,6.728,6.728,,759.648,0.00875,0.00875,0.00875,919.008,0.008125,0.008125,0.00875,
06/30/1990,150.229,,,-97.922,,52.307,,-38.999,,,13.308,-1.29,,1.29,,0.0,0.0,12.018,-4.088,7.93,0.0,,,7.93,-0.152,7.778,0.0,,7.778,7.778,,775.392,0.01,0.01,,943.584,0.009062,0.009062,0.009062,
09/30/1990,156.831,,,-100.241,,56.59,,-42.234,,,14.356,-0.379,,0.379,,0.0,0.0,13.977,-4.751,9.226,0.0,,,9.226,-0.074,9.152,0.0,,9.152,9.152,,930.688,0.009687,0.009687,0.009687,944.832,0.009687,0.009687,0.009687,
12/31/1990,168.5,,,-105.761,,62.739,,-46.867,,,15.872,-0.323,,0.323,,0.0,0.0,15.549,-5.286,10.263,0.0,,,10.263,0.0,10.271,0.0,,10.271,10.271,,908.864,0.01125,0.01125,0.01125,908.864,0.01125,0.01125,0.01125,
03/31/1991,179.373995,,,-112.041,,67.332995,,-43.317001,,,24.015994,-0.327,,0.327,,0.0,0.0,23.688994,-8.054,15.635,0.0,,,15.634994,-0.08,15.555,0.0,,15.555,15.555,,920.096,0.016875,0.016875,0.016875,920.096,0.016875,0.016875,0.016875,
06/30/1991,186.696004,,,-111.334,,75.362004,,-47.292999,,,28.069005,-0.325,,0.325,,0.0,0.0,27.744005,-9.433,18.311001,0.0,,,18.311005,-0.042,18.268999,0.0,,18.268999,18.268999,,1027.232064,0.017812,0.017812,0.017812,1027.232064,0.017812,0.017812,0.017812,
09/30/1991,220.785005,,,-139.557007,,81.227998,,-50.964001,,,30.263997,-0.292,,0.292,,0.0,0.0,29.971997,-10.189,19.783001,0.0,,,19.782997,-0.052,19.731001,0.0,,19.731001,19.731001,,1031.936032,0.019062,0.019062,0.019062,1031.936032,0.019062,0.019062,0.019062,
12/31/1991,260.275,,,-170.728,,89.547,,-56.79,,,32.757,-0.301,,0.301,,0.0,0.0,32.456,-11.036,21.42,0.0,,,21.42,-0.126,21.294,0.0,,21.294,21.294,,1037.024,0.020625,0.020625,0.020625,1037.024,0.020625,0.020625,0.020625,
03/31/1992,335.276,,,-228.923,,106.353,,-67.317,,,39.036,-0.385,,0.385,,0.0,0.0,38.651,-13.528,25.123,0.0,,,25.123,-0.143,24.98,0.0,,24.98,24.98,,1065.215936,0.023438,0.023438,,1065.215936,0.023438,0.023438,0.023438,
06/30/1992,350.951,,,-235.824,,115.127,,-72.355,,,42.772,-0.203,,0.203,,0.0,0.0,42.569,-14.899,27.67,0.0,,,27.67,-0.07,27.6,0.0,,27.6,27.6,,883.2,0.024688,0.024688,0.024688,883.2,0.024688,0.024688,0.024688,
09/30/1992,447.765,,,-312.689,,135.076,,-85.564,,,49.512,-0.212,,0.212,,0.0,,49.3,-17.073,32.227,0.0,,,32.227,-0.139,32.088,0.0,,32.088,32.088,,1235.76,0.02625,0.02625,0.02625,1125.264032,0.02625,0.02625,0.02625,
12/31/1992,1066.644,,,-800.861,,265.783,,-189.797,,,75.986,-2.172,,2.172,,0.0,0.0,73.814,-26.56,47.254,0.0,,,47.254,-1.331,45.923,0.0,,45.923,45.923,,1131.135872,0.040625,0.040625,0.040625,1131.135872,0.040625,0.040625,0.040625,
03/31/1993,717.030029,,,-519.080017,,197.950012,,-122.487999,,,75.461998,-0.64,,0.64,,0.0,0.0,74.821998,-27.073999,47.748001,0.0,,,47.747999,-0.592,47.155998,0.0,,47.155998,47.155998,,1369.936032,0.035,0.035,,1369.936032,0.035,0.035,0.035,
06/30/1993,771.432007,,,-560.603027,,210.82898,,-130.787994,,,80.041,-0.853,,0.853,,0.0,0.0,79.188,-28.33,50.858002,0.0,,,50.858,-0.348,50.509998,0.0,,50.509998,50.509998,,1374.927984,0.03625,0.03625,,1374.927984,0.03625,0.03625,0.03625,
09/30/1993,799.140015,,,-576.666992,,222.473023,,-135.903,,,86.57,-0.642,,0.764,,0.0,-0.122,85.928,-30.659,55.269001,0.0,,,55.269,-0.444,54.825001,0.0,,54.825001,54.825001,,1375.024048,0.04,0.04,,1375.024048,0.04,0.04,0.04,
12/31/1993,827.599976,,,-580.237976,,247.362,,-153.084,,,94.278,-0.789,,0.789,,0.0,0.0,93.489,-33.316002,60.173,0.0,,,60.172998,-0.586,59.587002,0.0,,59.587002,59.587002,,1386.031984,0.0425,0.0425,,1386.031984,0.0425,0.0425,0.0425,
03/31/1994,903.556025,,,-629.578003,,273.978022,,-159.268997,,,114.709025,-0.568,,0.568,,0.0,0.0,114.141025,-43.067001,71.074024,0.0,,,71.074024,-0.676,70.398024,0.0,,70.398024,70.398024,,1396.056032,0.05,0.05,,1396.056032,0.05,0.05,0.05,
