Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Net Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Source: Bloomberg
03/31/1990,116.948357,,117.900002,,19.957591,5.852417,,1.704835,0.88,0.88,,,,,0.16,1.00933,,4.985106,24.68611,
06/30/1990,114.25708,,117.0,,17.888889,6.444444,,1.692308,0.89,0.89,,,,,0.16,1.025641,,4.761193,25.538899,
09/30/1990,110.96727,,114.5,,22.471616,9.68559,,2.917031,0.55,0.55,,,,,0.16,0.689956,,16.013731,25.665225,
12/31/1990,109.935593,,110.400002,,17.45471,3.931159,,-0.652174,-0.28,-0.28,,,,,0.16,-4.456522,,11.388486,25.678672,
03/31/1991,111.494446,,111.699997,,24.082364,10.590869,,4.359893,2.3,2.3,,,,,0.16,2.444047,,14.529872,27.490159,
06/30/1991,111.99408,,113.199997,,22.155478,8.409894,,2.623675,1.43,1.43,,,,,0.16,1.572438,,7.553971,28.349713,
09/30/1991,112.508362,,113.400002,,21.366843,7.760141,,3.40388,0.6,0.6,,,,,0.16,0.749559,,9.03044,28.220125,
12/31/1991,113.157883,,114.634003,,13.556187,4.553623,,-0.444894,-0.41,-0.41,,,,,0.16,-18.118533,,5.682326,28.305584,
03/31/1992,114.842079,,114.800003,,16.907665,7.970383,,2.883275,1.51,1.51,,,,,0.16,1.655052,,6.234649,29.335937,
06/30/1992,115.108994,,115.599998,,20.467128,11.349481,,5.631488,1.68,1.68,,,,,0.16,1.82526,,9.868907,30.675275,
09/30/1992,115.600754,,115.199997,,15.164931,5.520833,,0.095486,-0.09,-0.09,,,,,0.16,0.052083,,7.707562,29.809494,
12/31/1992,109.800812,,114.544998,,18.700075,8.808765,,2.165088,1.1,1.1,,,,,0.16,-13.365926,,5.646588,31.839473,
03/31/1993,110.348892,,110.099998,,14.4505,3.841962,,-1.02634,-1.1,-0.76,,,,,0.16,-8.210718,,8.844674,29.850775,
06/30/1993,110.594376,,110.900002,,23.309287,13.570784,,6.789901,3.75,3.75,,,,,0.16,-1.839495,,6.510277,32.922108,
09/30/1993,110.836098,,111.199997,,16.717626,5.278777,,0.161871,0.01,0.01,,,,,0.16,-2.994604,,5.647979,34.320948,
12/31/1993,110.560997,,111.099998,,24.878488,15.157516,,7.263726,4.33,4.33,,,,,0.16,-12.070207,,8.212661,39.064409,
03/31/1994,105.933998,,110.599998,,15.994575,6.428572,,1.012658,0.48,0.48,,,,,0.16,0.596745,,6.49461,38.656145,
06/30/1994,105.737,,105.800003,,12.126654,1.616257,,-3.270321,-2.08,-2.08,,,,,0.16,-1.928166,,6.809348,35.777448,
09/30/1994,105.831001,0.0,105.699997,,16.064333,3.859981,,-1.66509,-1.13,-1.13,,0.0,,,0.16,-44.437087,,37.871701,34.706277,
12/31/1994,105.848,,105.800003,,14.442344,0.907372,,-3.979206,-1.65,-1.65,,,,,0.16,0.009452,,33.434737,32.877334,
03/31/1995,106.178001,,106.300003,,19.774223,7.365945,14.34619,1.740357,0.59,0.882,,,,,0.16,-13.631232,-14.365004,14.880672,33.368494,
06/30/1995,106.387001,,106.5,,18.178404,3.661972,14.028169,-0.938967,-0.73,-0.73,,,,,0.16,14.319249,13.605634,22.972731,32.503971,
09/30/1995,106.900002,,106.599998,,23.705441,11.060038,17.232646,4.202627,2.36,2.41,,,,,0.16,5.684803,4.915572,17.960711,34.490177,
12/31/1995,106.446999,,106.599998,,22.401501,7.945591,17.232646,2.49531,1.42,1.61,,,,,0.16,-0.403377,-1.022514,13.65938,35.989742,
03/31/1996,105.189003,121.800003,106.599998,,23.499062,11.613509,17.138837,4.840525,2.44,2.75,2.75,2.21,2.49,2.49,0.16,3.649156,3.36773,20.562986,38.606697,
06/30/1996,105.208,120.599998,105.400002,,22.362429,11.603415,15.597723,4.71537,2.58,2.65,2.65,2.34,2.4,2.4,0.16,-7.703985,-8.074004,17.23253,40.548247,
09/30/1996,109.029999,120.599998,105.5,,18.815166,8.085308,13.194313,2.199052,0.88,1.15,1.15,0.85,1.08,1.08,0.16,-0.047393,-0.379147,14.858296,39.81473,
12/31/1996,109.050003,120.599998,108.099998,,20.342276,9.740981,14.708603,3.376503,-0.71,2.03,2.03,-0.56,1.88,1.88,0.16,-7.696577,-7.927845,11.279229,40.412654,
03/31/1997,108.105003,120.900002,109.5,,19.945205,9.333333,13.378995,2.547945,1.44,1.44,1.44,1.37,1.37,1.37,0.16,-12.073059,-12.173516,11.82184,42.033207,
06/30/1997,107.417999,119.699997,108.199997,,22.689465,10.073937,16.016636,3.234751,1.89,1.89,1.89,1.77,1.77,1.77,0.16,-8.003697,-8.151571,19.372917,43.167812,
09/30/1997,111.171997,119.300003,107.699997,,23.444755,10.287837,16.32312,2.989787,1.77,1.77,1.77,1.66,1.66,1.66,0.16,-15.273909,-15.394615,10.20041,43.320262,
