Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/20/1999,7414,14,14,0.0,821,821,,312,111.0,0.0,201,0.0,190,,,,1337,2078,4469,-2391,0.0,,3999,3854,,,,145,6077,,887,887,,,,106,,,,,12,,,12,1005,3322,,,,3314,,,,3314,6636,7641,0.0,0,,,,,-227,-227,0,-227,7414,
06/12/1999,7730,57,57,0.0,984,984,,341,126.0,0.0,215,0.0,202,,,,1584,2147,4597,-2450,0.0,,3999,3879,,,,120,6146,,1009,1009,,,,43,,,,,0,,,0,1052,3279,,,,1516,,,,1516,4795,5847,0.0,1788,,,0.0,43.0,-215,1616,267,1883,7730,
09/04/1999,7844,164,164,0.0,1058,1058,,309,127.0,0.0,182,0.0,186,,,,1717,2187,4685,-2498,0.0,,3940,3832,,,,108,6127,,1059,1059,,,,28,,,,,0,,,0,1087,3272,,,,1510,,,,1510,4782,5869,0.0,1788,,,0.0,132.0,-223,1697,278,1975,7844,
12/25/1999,7619,190,190,0.0,827,827,,293,110.0,0.0,183,0.0,183,,,,1493,2218,4789,-2571,0.0,,3908,3819,,,,89,6126,,924,924,,,,23,21.0,2.0,2.0,,0,,,0,947,3268,3268.0,0.0,0.0,1563,,,,1563,4831,5778,0.0,1738,,,-90.0,138.0,-223,1563,278,1841,7619,
03/18/2000,7483,81,81,0.0,834,834,,298,106.0,0.0,192,0.0,182,,,,1395,2224,4837,-2613,0.0,,3864,3784,,,,80,6088,,835,835,,,,33,,,,,0,,,0,868,3268,,,,1530,,,,1530,4798,5666,0.0,1738,,,-118.0,152.0,-236,1536,281,1817,7483,
06/10/2000,7730,140,140,0.0,977,977,,340,125.0,0.0,215,0.0,165,,,,1622,2270,4907,-2637,0.0,,3838,3758,,,,80,6108,,1026,1026,,,,22,,,,,0,,,0,1048,3269,,,,1542,,,,1542,4811,5859,0.0,1738,,,-148.0,234.0,-244,1580,291,1871,7730,
09/02/2000,7850,285,285,0.0,1000,1000,,311,119.0,0.0,192,0.0,154,,,,1750,2296,4962,-2666,0.0,,3804,3726,,,,78,6100,,1041,1041,,,,24,,,,,0,,,0,1065,3270,,,,1558,,,,1558,4828,5893,0.0,1738,,,-185.0,354.0,-257,1650,307,1957,7850,
12/30/2000,7736,318,318,0.0,796,796,,281,107.0,0.0,174,0.0,189,,,,1584,2358,5068,-2710,0.0,,3794,3694,,,,100,6152,,344,344,,,,26,25.0,1.0,1.0,,597,,,597,967,3271,3271.0,0.0,0.0,1546,,,,1546,4817,5784,0.0,1738,,,-193.0,355.0,-254,1646,306,1952,7736,
03/24/2001,7555,173,173,0.0,782,782,,313,0.0,0.0,313,0.0,172,,,,1440,2375,5118,-2743,0.0,,3740,3643,,,,97,6115,,809,809,,,,35,,,,,0,,,0,844,3274,,,,1546,,,,1546,4820,5664,0.0,1738,,,-247.0,378.0,-287,1582,309,1891,7555,
06/16/2001,7953,191,191,0.0,1013,1013,,367,127.0,0.0,240,0.0,159,,,,1730,2432,5209,-2777,0.0,,3791,3689,,,,102,6223,,972,972,,,,173,,,,,0,,,0,1145,3282,,,,1563,,,,1563,4845,5990,0.0,1738,,,-301.0,491.0,-287,1641,322,1963,7953,
09/08/2001,8047,223,223,0.0,1074,1074,,340,127.0,0.0,213,0.0,127,,,,1764,2485,5305,-2820,0.0,,3798,3692,,,,106,6283,,1011,1011,,,,93,,,,,0,,,0,1104,3281,,,,1590,,,,1590,4871,5975,0.0,1740,,,-347.0,638.0,-297,1734,338,2072,8047,
