Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2010,8301.0,8301.0,,-4568.0,4568.0,3733.0,0.0,-3872.0,2418.0,1386.0,68.0,-139.0,-795.0,341.0,,,,454.0,-934.0,5.0,-929.0,0.0,0.0,0.0,-929.0,0.0,-929.0,0.0,0.0,-929.0,-886.75,42.25,2991.0,-0.31,-0.31,-0.296473,2991.0,-0.31,-0.31,-0.296473,
09/30/2012,8763.0,,,,,,,,,,,,,,,,,,-720.0,-47.0,,,,,-767.0,,-767.0,,,-767.0,-767.0,14.3,3003.0,-0.26,-0.26,-0.255238,3003.0,-0.26,-0.26,-0.255238,
09/30/2013,8681.0,8681.0,,-4909.0,4909.0,3772.0,0.0,-4170.0,2548.0,1524.0,98.0,-398.0,2379.0,686.0,691.0,-5.0,-2903.0,-162.0,1981.0,-1598.0,383.0,0.0,0.0,0.0,383.0,0.0,383.0,0.0,0.0,383.0,524.05,141.05,3724.2,0.102841,0.102841,0.140715,3784.4,0.101205,0.101205,0.138476,
12/31/2013,9142.0,9142.0,,-5435.0,5435.0,3707.0,0.0,-4283.0,2546.0,1531.0,206.0,-576.0,-447.0,,502.0,,-55.0,0.0,-1023.0,-15.0,-1038.0,0.0,0.0,0.0,-1038.0,0.0,-1038.0,0.0,0.0,-1038.0,-908.65,129.35,3944.0,-0.26,-0.26,-0.230388,3944.0,-0.26,-0.26,-0.230388,
03/31/2014,8875.0,8875.0,,-4660.0,4660.0,4215.0,0.0,-3795.0,2371.0,1297.0,127.0,420.0,-515.0,,516.0,,-1.0,0.0,-95.0,-56.0,-151.0,0.0,0.0,0.0,-151.0,0.0,-151.0,0.0,0.0,-151.0,-68.45,82.55,3949.0,-0.04,-0.04,-0.017334,3949.0,-0.04,-0.04,-0.019096,
06/30/2014,8789.0,8789.0,,-4678.0,4678.0,4111.0,0.0,-3592.0,2284.0,1281.0,27.0,519.0,-511.0,509.0,512.0,-3.0,,2.0,8.0,15.0,23.0,0.0,0.0,0.0,23.0,0.0,23.0,0.0,0.0,23.0,40.55,17.55,3945.0,0.01,0.01,0.010279,4002.0,0.01,0.01,0.010279,
09/30/2014,8488.0,8488.0,,-4801.0,4801.0,3687.0,,-3879.0,2301.0,1294.0,284.0,-192.0,-502.0,506.0,510.0,-4.0,,-4.0,-694.0,-71.0,-765.0,0.0,0.0,0.0,-765.0,0.0,-765.0,0.0,0.0,-765.0,-580.4,184.6,3949.0,-0.19,-0.19,-0.146974,3949.0,-0.19,-0.19,-0.146974,
12/31/2014,8973.0,8973.0,,-5282.0,5282.0,3691.0,0.0,-6231.0,2647.0,1320.0,2264.0,-2540.0,-496.0,503.0,506.0,-3.0,,-7.0,-3036.0,657.0,-2379.0,0.0,0.0,0.0,-2379.0,0.0,-2379.0,0.0,0.0,-2379.0,-907.4,1471.6,3957.0,-0.6,-0.6,-0.229315,3957.0,-0.6,-0.6,-0.229315,
03/31/2015,8282.0,8282.0,,-4208.0,4208.0,4074.0,,-4119.0,2331.0,1817.0,-29.0,-45.0,-515.0,521.0,523.0,-2.0,,-6.0,-560.0,-27.0,-587.0,0.0,0.0,0.0,-587.0,0.0,-587.0,0.0,0.0,-587.0,-612.35,-25.35,3962.0,-0.06,-0.06,-0.154556,3962.0,-0.06,-0.06,-0.154556,
06/30/2015,8027.0,8027.0,,-3758.0,3758.0,4269.0,0.0,-3768.0,2187.0,1588.0,-7.0,501.0,-538.0,539.0,542.0,-3.0,,-1.0,-37.0,17.0,-20.0,0.0,0.0,0.0,-20.0,0.0,-20.0,0.0,0.0,-20.0,-24.55,-4.55,3967.0,-0.01,-0.01,-0.006189,3967.0,-0.01,-0.01,-0.011147,
